date,game_pk,game_time_pt,game_status,abstract_game_state,team,opponent,home_away,player_id,player_name,position,batting_order,plate_appearances,at_bats,hits,singles,doubles,triples,home_runs,runs,rbi,walks,hit_by_pitch,stolen_bases,fantasy_score,data_source,last_updated_pt
2026-07-21,822787,4:07 PM,In Progress,Live,Tampa Bay Rays,Toronto Blue Jays,away,650490,Yandy Díaz,DH,1,2,2,0,0,0,0,0,0,0,0,0,0,0,boxscore_fallback,2026-07-21 04:42:56 PM
2026-07-21,822787,4:07 PM,In Progress,Live,Tampa Bay Rays,Toronto Blue Jays,away,666018,Jonathan Aranda,1B,2,2,2,1,1,0,0,0,0,0,0,0,0,3,boxscore_fallback,2026-07-21 04:42:56 PM
2026-07-21,822787,4:07 PM,In Progress,Live,Tampa Bay Rays,Toronto Blue Jays,away,691406,Junior Caminero,3B,3,1,0,0,0,0,0,0,1,0,1,0,0,4,boxscore_fallback,2026-07-21 04:42:56 PM
2026-07-21,822787,4:07 PM,In Progress,Live,Tampa Bay Rays,Toronto Blue Jays,away,656775,Cedric Mullins,CF,4,1,1,1,0,1,0,0,1,0,0,0,0,7,boxscore_fallback,2026-07-21 04:42:56 PM
2026-07-21,822787,4:07 PM,In Progress,Live,Tampa Bay Rays,Toronto Blue Jays,away,676356,Jonny DeLuca,RF,5,1,1,1,1,0,0,0,1,2,0,0,1,14,boxscore_fallback,2026-07-21 04:42:56 PM
2026-07-21,822787,4:07 PM,In Progress,Live,Tampa Bay Rays,Toronto Blue Jays,away,802415,Chandler Simpson,LF,6,1,1,1,1,0,0,0,0,1,0,0,0,5,boxscore_fallback,2026-07-21 04:42:56 PM
2026-07-21,822787,4:07 PM,In Progress,Live,Tampa Bay Rays,Toronto Blue Jays,away,810938,Ben Williamson,2B,7,1,1,1,1,0,0,0,0,0,0,0,0,3,boxscore_fallback,2026-07-21 04:42:56 PM
2026-07-21,822787,4:07 PM,In Progress,Live,Tampa Bay Rays,Toronto Blue Jays,away,670764,Taylor Walls,SS,8,1,1,0,0,0,0,0,0,0,0,0,0,0,boxscore_fallback,2026-07-21 04:42:56 PM
2026-07-21,822787,4:07 PM,In Progress,Live,Tampa Bay Rays,Toronto Blue Jays,away,663743,Nick Fortes,C,9,1,1,0,0,0,0,0,0,0,0,0,0,0,boxscore_fallback,2026-07-21 04:42:56 PM
2026-07-21,822787,4:07 PM,In Progress,Live,Toronto Blue Jays,Tampa Bay Rays,home,664770,Nathan Lukes,RF,1,1,1,1,1,0,0,0,0,0,0,0,0,3,boxscore_fallback,2026-07-21 04:42:56 PM
2026-07-21,822787,4:07 PM,In Progress,Live,Toronto Blue Jays,Tampa Bay Rays,home,665489,Vladimir Guerrero Jr.,1B,2,1,1,0,0,0,0,0,0,0,0,0,0,0,boxscore_fallback,2026-07-21 04:42:56 PM
2026-07-21,822787,4:07 PM,In Progress,Live,Toronto Blue Jays,Tampa Bay Rays,home,676391,Ernie Clement,2B,3,1,1,1,1,0,0,0,0,0,0,0,0,3,boxscore_fallback,2026-07-21 04:42:56 PM
2026-07-21,822787,4:07 PM,In Progress,Live,Toronto Blue Jays,Tampa Bay Rays,home,543807,George Springer,DH,4,1,1,1,1,0,0,0,0,0,0,0,0,3,boxscore_fallback,2026-07-21 04:42:56 PM
2026-07-21,822787,4:07 PM,In Progress,Live,Toronto Blue Jays,Tampa Bay Rays,home,662139,Daulton Varsho,CF,5,1,1,0,0,0,0,0,0,0,0,0,0,0,boxscore_fallback,2026-07-21 04:42:56 PM
2026-07-21,822787,4:07 PM,In Progress,Live,Toronto Blue Jays,Tampa Bay Rays,home,672960,Kazuma Okamoto,3B,6,1,1,0,0,0,0,0,0,0,0,0,0,0,boxscore_fallback,2026-07-21 04:42:56 PM
2026-07-21,824085,4:40 PM,In Progress,Live,San Francisco Giants,Kansas City Royals,away,671218,Heliot Ramos,LF,1,1,0,0,0,0,0,0,0,0,0,1,0,2,boxscore_fallback,2026-07-21 04:42:57 PM
