Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-09,Houston Astros @ San Diego Padres,Petco Park,0.965,1.004,77.5,72.0,7.3,SW,232.0,5.0,Mainly clear,1.7,2.4,53.7,C,75.0,San Diego Padres,Fernando Tatis Jr.,Cristian Javier,0.25,1,4,5.0,1.2,1.55,1.13,0.51,3.18,53.3,3.0,2|4|3|3|3,08/08|08/07|08/06|08/05|08/04,2.0,2|4|3|3|3|0|0|3|1|1,08/08|08/07|08/06|08/05|08/04|08/03|08/01|07/31|07/30|07/29,2.07,2|4|3|3|3|0|0|3|1|1|8|0|1|0|2,08/08|08/07|08/06|08/05|08/04|08/03|08/01|07/31|07/30|07/29|07/28|07/26|07/25|07/24|07/23,92.6,76.7,56.6,38.7,23.8,13.9,7.7,2.45,127.4
2026-08-09,Colorado Rockies @ St. Louis Cardinals,Busch Stadium,0.995,1.009,91.9,53.0,12.6,S,173.0,1.0,Overcast,4.3,6.2,59.4,B,92.0,Colorado Rockies,Jake McCarthy,Michael McGreevy,0.0,0,0,4.2,0.93,1.43,0.89,0.82,3.16,66.7,4.8,11|3|1|5|4,08/08|08/07|08/05|08/04|08/03,3.6,11|3|1|5|4|5|4|0|0|3,08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28,3.07,11|3|1|5|4|5|4|0|0|3|0|3|2|1|4,08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/26|07/25|07/24|07/22|07/21,92.7,76.1,56.5,37.7,23.5,14.0,7.4,3.73,176.7
2026-08-09,Colorado Rockies @ St. Louis Cardinals,Busch Stadium,0.995,1.009,91.9,53.0,12.6,S,173.0,1.0,Overcast,4.3,6.2,59.4,B,92.0,St. Louis Cardinals,Alec Burleson,Michael Lorenzen,0.8,4,5,5.0,1.2,1.57,0.74,0.84,3.15,26.7,2.8,1|0|1|0|12,08/08|08/07|08/05|08/04|08/03,2.0,1|0|1|0|12|1|2|1|1|1,08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/30|07/29,2.0,1|0|1|0|12|1|2|1|1|1|1|0|4|5|0,08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24,92.5,76.4,56.1,37.3,23.2,13.5,7.7,2.41,116.6
2026-08-09,Houston Astros @ San Diego Padres,Petco Park,0.965,1.004,77.5,72.0,7.3,SW,232.0,5.0,Mainly clear,1.7,2.4,53.7,C,75.0,Houston Astros,Jeremy Peña,Unknown,0.0,0,0,4.0,1.0,1.51,0.95,0.68,3.12,66.7,0.6,0|0|1|0|2,08/08|08/07|08/05|08/04|08/03,2.2,0|0|1|0|2|5|3|7|3|1,08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28,3.07,0|0|1|0|2|5|3|7|3|1|3|6|5|4|6,08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24|07/22,92.5,75.9,56.0,37.3,23.1,13.0,6.7,3.68,174.9
2026-08-09,Los Angeles Dodgers @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,Gabriel Moreno,Justin Wrobleski,0.0,0,3,4.8,0.85,1.28,0.57,1.21,3.08,73.3,2.0,2|1|4|3|0,08/08|08/07|08/06|08/05|08/02,2.2,2|1|4|3|0|1|2|5|4|0,08/08|08/07|08/06|08/05|08/02|08/01|07/31|07/29|07/28|07/27,2.87,2|1|4|3|0|1|2|5|4|0|5|3|3|6|4,08/08|08/07|08/06|08/05|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24|07/23|07/22,92.1,75.0,55.1,36.6,22.2,13.0,7.0,3.59,173.8
2026-08-09,Cleveland Guardians @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Chicago White Sox,Chase Meidroth,Joey Cantillo,0.333,1,3,4.6,1.04,1.09,0.84,1.0,2.91,60.0,3.0,3|1|9|0|2,08/08|08/07|08/06|08/05|08/04,2.2,3|1|9|0|2|4|0|0|1|2,08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29,2.33,3|1|9|0|2|4|0|0|1|2|4|2|4|0|3,08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24,91.7,74.0,52.3,32.7,19.3,10.6,5.4,2.93,145.8
2026-08-09,Los Angeles Dodgers @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Arizona Diamondbacks,James McCann,Justin Wrobleski,0.0,0,0,4.4,0.85,1.37,0.52,0.98,2.89,53.3,2.8,0|0|4|3|7,08/08|08/05|08/04|08/03|08/01,4.0,0|0|4|3|7|6|2|8|2|8,08/08|08/05|08/04|08/03|08/01|07/28|07/25|07/22|07/18|07/11,2.93,0|0|4|3|7|6|2|8|2|8|1|1|0|1|1,08/08|08/05|08/04|08/03|08/01|07/28|07/25|07/22|07/18|07/11|07/07|05/18|05/16|05/10|05/07,91.3,72.4,51.7,32.6,19.1,10.5,5.9,3.59,166.0
2026-08-09,Toronto Blue Jays @ Philadelphia Phillies,Citizens Bank Park,1.028,1.008,91.3,48.0,7.7,WSW,255.0,0.0,Mainly clear,3.8,5.5,58.3,B,92.0,Philadelphia Phillies,Trea Turner,Shane Bieber,0.0,0,3,3.7,1.2,1.5,0.88,0.56,2.93,53.3,3.2,5|1|3|1|6,08/08|08/07|08/06|08/05|08/04,2.9,5|1|3|1|6|0|1|2|6|4,08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/29,2.47,5|1|3|1|6|0|1|2|6|4|0|1|5|2|0,08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24,91.2,73.3,51.6,33.4,19.7,11.2,6.2,2.92,142.8
2026-08-09,Athletics @ Boston Red Sox,Fenway Park,1.03,1.008,89.5,51.0,13.3,WSW,253.0,2.0,Mainly clear,3.5,5.1,57.8,B,92.0,Boston Red Sox,Caleb Durbin,J.T. Ginn,0.5,1,2,4.7,0.88,1.32,0.82,0.75,2.88,60.0,4.4,3|3|6|2|8,08/08|08/07|08/06|08/05|08/04,3.4,3|3|6|2|8|3|0|4|1|4,08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29,2.6,3|3|6|2|8|3|0|4|1|4|1|1|3|0|0,08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24,90.9,72.8,51.5,32.7,18.7,10.5,5.7,3.15,153.1
2026-08-09,Colorado Rockies @ St. Louis Cardinals,Busch Stadium,0.995,1.009,91.9,53.0,12.6,S,173.0,1.0,Overcast,4.3,6.2,59.4,B,92.0,St. Louis Cardinals,Iván Herrera,Michael Lorenzen,0.0,0,2,4.2,1.2,1.41,0.71,0.71,2.86,46.7,2.6,6|3|2|1|1,08/08|08/07|08/05|08/04|08/03,2.1,6|3|2|1|1|0|2|0|1|5,08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/30|07/29,2.13,6|3|2|1|1|0|2|0|1|5|0|1|4|5|1,08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/26|07/25|07/24,90.6,72.5,50.8,32.5,19.4,10.4,5.3,2.56,127.7
2026-08-09,Cleveland Guardians @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Cleveland Guardians,Nathaniel Lowe,Davis Martin,1.0,2,2,3.8,1.03,1.37,0.41,1.03,2.81,66.7,3.6,6|4|0|7|1,08/06|08/05|08/04|08/02|08/01,2.6,6|4|0|7|1|3|2|0|0|3,08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/28,2.73,6|4|0|7|1|3|2|0|0|3|5|2|0|3|5,08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/28|07/26|07/24|07/22|07/21|07/19,90.3,71.1,49.9,31.4,18.1,9.7,5.3,3.35,161.9
2026-08-09,Chicago Cubs @ Kansas City Royals,Kauffman Stadium,0.995,1.01,93.5,44.0,14.2,SSW,202.0,1.0,Overcast,4.8,6.9,60.5,B,92.0,Chicago Cubs,Alex Bregman,Randy Dobnak,0.0,0,2,5.0,0.85,1.34,0.89,0.52,2.79,60.0,2.4,1|2|5|2|2,08/08|08/07|08/06|08/05|08/04,2.2,1|2|5|2|2|2|0|2|1|5,08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/30,2.47,1|2|5|2|2|2|0|2|1|5|1|5|9|0|0,08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/30|07/29|07/28|07/27|07/25|07/24,90.8,70.9,49.4,31.0,17.8,9.6,4.9,2.94,145.2
2026-08-09,Toronto Blue Jays @ Philadelphia Phillies,Citizens Bank Park,1.028,1.008,91.3,48.0,7.7,WSW,255.0,0.0,Mainly clear,3.8,5.5,58.3,B,92.0,Philadelphia Phillies,Alec Bohm,Shane Bieber,0.0,0,0,5.0,1.2,1.28,0.54,0.97,2.79,53.3,1.2,0|0|2|2|2,08/08|08/07|08/06|08/05|08/04,1.4,0|0|2|2|2|1|3|2|0|2,08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/29,1.73,0|0|2|2|2|1|3|2|0|2|1|4|7|0|0,08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/26|07/25|07/24,90.2,71.4,49.3,31.3,17.7,9.4,4.7,2.13,114.6
2026-08-09,Houston Astros @ San Diego Padres,Petco Park,0.965,1.004,77.5,72.0,7.3,SW,232.0,5.0,Mainly clear,1.7,2.4,53.7,C,75.0,Houston Astros,Christian Walker,Unknown,0.0,0,0,4.7,1.0,1.38,0.72,0.72,2.77,60.0,2.6,2|3|4|3|1,08/08|08/07|08/05|08/04|08/03,2.7,2|3|4|3|1|1|4|3|2|4,08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28,2.33,2|3|4|3|1|1|4|3|2|4|1|0|5|1|1,08/08|08/07|08/05|08/04|08/03|08/02|08/01|07/31|07/29|07/28|07/27|07/25|07/24|07/22|07/21,90.0,71.1,49.0,30.5,18.0,9.3,4.9,2.81,140.7
2026-08-09,Minnesota Twins @ Milwaukee Brewers,American Family Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Milwaukee Brewers,Andrew Vaughn,Connor Prielipp,0.5,1,2,5.0,1.08,1.23,0.57,0.94,2.73,60.0,2.8,4|2|3|3|2,08/08|08/06|08/05|08/04|08/03,1.7,4|2|3|3|2|0|0|0|2|1,08/08|08/06|08/05|08/04|08/03|08/02|08/01|07/29|07/28|07/27,1.93,4|2|3|3|2|0|0|0|2|1|4|1|2|0|5,08/08|08/06|08/05|08/04|08/03|08/02|08/01|07/29|07/28|07/27|07/26|07/24|07/22|07/21|07/20,89.7,69.7,48.8,30.6,17.3,9.1,4.4,2.39,125.6
2026-08-09,New York Mets @ Pittsburgh Pirates,PNC Park,0.982,1.006,83.7,47.0,4.9,W,270.0,0.0,Clear,2.8,4.1,56.2,C,92.0,Pittsburgh Pirates,Endy Rodríguez,Sean Manaea,0.0,0,0,4.7,1.08,1.32,0.61,0.79,2.75,46.7,2.4,0|1|4|3|4,08/07|08/06|08/05|08/04|08/03,1.9,0|1|4|3|4|0|2|1|3|1,08/07|08/06|08/05|08/04|08/03|08/02|07/31|07/30|07/28|07/27,2.07,0|1|4|3|4|0|2|1|3|1|1|0|3|1|7,08/07|08/06|08/05|08/04|08/03|08/02|07/31|07/30|07/28|07/27|07/05|07/03|07/02|06/30|06/29,90.5,70.8,48.4,30.1,17.3,9.3,4.7,2.51,125.4
