Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
1,2026-07-28,822703,2026-07-28T22:45:00Z,Scheduled,Nationals Park,Toronto Blue Jays @ Washington Nationals,Home,682928,CJ Abrams,Washington Nationals,Toronto Blue Jays,SS,L,No,,103,440,386,114,21,2,27,66,82,38,10,95,0.295,0.368,0.57,0.938,10,45,41,19,7,0.463,0.1556,21,94,84,31,10,0.369,0.1064,30,30,16.7,33.3,47.4,31.6,21.1,16.7,33.3,60.0,43.3,16.7,13.3,16.7,100.0,85.4,18.5,0.918,70.8,66.8,Above Average,3.5,Barrel Machine,A,Excellent HR swing plane,66.8,Above Average,1.047,Good,4.15,-22.85,Strong negative regression,Above Average Barrel Machine profile. 16.7% barrel rate; 85.4 mph average exit velocity; 33.3% air-ball rate; 60.0% pull-air rate; 16.7% HR-launch rate.,0.0614,0.0551,4.17,2,1,14.3,0.14,14.0,Very recent HR,669456.0,Shane Bieber,R,LHB vs RHP,6,6,30.2,4.7,1.43,7,2.05,6.46,3.52,1.35,1.066,1.025,1.03,1.047,1.078,0.98,21.04,31.21,84.5,66.1,B,Lineup unconfirmed
2,2026-07-28,823350,2026-07-28T22:40:00Z,Scheduled,PNC Park,Arizona Diamondbacks @ Pittsburgh Pirates,Home,699013,Esmerlyn Valdez,Pittsburgh Pirates,Arizona Diamondbacks,RF,R,No,,38,145,124,36,7,1,14,26,36,19,1,54,0.29,0.386,0.702,1.088,10,40,30,7,4,0.233,0.1,23,100,82,25,9,0.305,0.09,17,17,17.6,23.5,75.0,0.0,25.0,11.8,29.4,60.0,35.3,11.8,5.9,11.8,66.7,81.7,10.5,1.524,71.9,52.5,Average,3.0,Pull Power,A,Excellent HR swing plane,52.5,Average,1.007,Small Statcast sample,2.19,-11.81,Strong negative regression,Average Pull Power profile. 17.6% barrel rate; 81.7 mph average exit velocity; 29.4% air-ball rate; 60.0% pull-air rate; 11.8% HR-launch rate.,0.0966,0.0673,4.25,1,1,8.9,0.11,11.3,Very recent HR,694297.0,Brandon Pfaadt,R,RHB vs RHP,18,8,65.0,4.43,1.32,8,1.11,6.23,2.77,1.167,1.001,0.985,1.08,1.007,1.088,0.98,25.64,30.69,70.4,65.0,B-,Lineup unconfirmed
3,2026-07-28,824003,2026-07-29T01:38:00Z,Scheduled,Angel Stadium,Houston Astros @ Los Angeles Angels,Away,670541,Yordan Alvarez,Houston Astros,Los Angeles Angels,DH,L,No,,106,464,384,124,20,0,34,73,78,71,6,80,0.323,0.433,0.641,1.074,10,44,35,13,3,0.371,0.0682,22,98,82,30,9,0.366,0.0918,19,19,10.5,47.4,64.3,21.4,14.3,21.1,26.3,40.0,15.8,10.5,5.3,10.5,100.0,91.3,22.9,0.804,75.7,49.6,Average,3.0,Contact-First Profile,A-,Elevated power plane,49.6,Average,0.999,Small Statcast sample,1.85,-32.15,Strong negative regression,Average Contact-First Profile profile. 10.5% barrel rate; 91.3 mph average exit velocity; 26.3% air-ball rate; 40.0% pull-air rate; 10.5% HR-launch rate.,0.0733,0.0648,4.31,12,4,11.3,1.06,106.2,Near normal interval,672282.0,Reid Detmers,L,LHB vs LHP,21,21,120.0,4.05,1.1,13,0.98,10.2,2.78,1.087,0.981,0.985,1.08,0.999,1.079,1.0,25.08,28.0,84.8,64.1,B-,Lineup unconfirmed
4,2026-07-28,823275,2026-07-29T01:40:00Z,Scheduled,Petco Park,Colorado Rockies @ San Diego Padres,Away,696100,Hunter Goodman,Colorado Rockies,San Diego Padres,C,R,No,,98,408,366,95,16,0,31,64,60,36,4,133,0.26,0.331,0.557,0.888,8,32,28,9,4,0.321,0.125,20,80,69,23,6,0.333,0.075,21,21,4.8,28.6,40.0,20.0,40.0,28.6,38.1,50.0,33.3,9.5,4.8,9.5,100.0,80.5,25.9,0.619,74.4,33.9,Weak,2.5,Pull Power,A-,Elevated power plane,33.9,Weak,0.955,Good,1.02,-29.98,Strong negative regression,Weak Pull Power profile. 4.8% barrel rate; 80.5 mph average exit velocity; 38.1% air-ball rate; 50.0% pull-air rate; 9.5% HR-launch rate.,0.076,0.066,4.15,12,4,11.8,1.02,101.6,Near normal interval,650633.0,Michael King,R,RHB vs RHP,21,21,119.1,3.24,1.17,11,0.83,7.77,3.7,1.221,0.957,0.985,1.03,0.955,0.984,1.0,24.67,27.55,83.4,60.5,B-,Lineup unconfirmed
5,2026-07-28,823838,2026-07-28T22:40:00Z,Scheduled,loanDepot park,Philadelphia Phillies @ Miami Marlins,Home,665052,Griffin Conine,Miami Marlins,Philadelphia Phillies,RF,L,No,,40,124,109,29,5,0,8,18,18,13,2,37,0.266,0.355,0.532,0.887,10,33,30,8,3,0.267,0.0909,23,77,67,20,6,0.299,0.0779,21,21,9.5,38.1,45.5,45.5,9.1,14.3,23.8,40.0,28.6,9.5,4.8,9.5,0.0,85.1,4.0,0.607,71.6,35.0,Below Average,2.5,Contact-First Profile,D,Ground-ball heavy,35.0,Below Average,0.958,Good,1.68,-6.32,Strong negative regression,Below Average Contact-First Profile profile. 9.5% barrel rate; 85.1 mph average exit velocity; 23.8% air-ball rate; 40.0% pull-air rate; 9.5% HR-launch rate.,0.0645,0.0485,4.09,0,0,13.6,0.0,0.0,Very recent HR,605400.0,Aaron Nola,R,LHB vs RHP,21,21,108.1,5.82,1.45,25,2.08,9.3,2.99,1.301,1.157,1.025,1.03,0.958,0.987,0.98,18.41,26.46,67.0,55.3,C+,Lineup unconfirmed
6,2026-07-28,823275,2026-07-29T01:40:00Z,Scheduled,Petco Park,Colorado Rockies @ San Diego Padres,Home,664034,Ty France,San Diego Padres,Colorado Rockies,1B,R,No,,80,273,248,71,13,2,16,31,46,13,8,64,0.286,0.338,0.548,0.886,10,44,42,16,5,0.381,0.1136,21,92,83,29,6,0.349,0.0652,37,37,8.1,37.8,55.0,25.0,20.0,13.5,32.4,66.7,35.1,8.1,8.1,8.1,66.7,88.0,16.5,0.686,69.8,46.9,Below Average,3.0,Pull Power,A,Excellent HR swing plane,46.9,Below Average,0.991,Good,2.96,-13.04,Strong negative regression,Below Average Pull Power profile. 8.1% barrel rate; 88.0 mph average exit velocity; 32.4% air-ball rate; 66.7% pull-air rate; 8.1% HR-launch rate.,0.0586,0.0505,4.09,12,3,15.5,0.77,77.4,Recently homered,547179.0,Michael Lorenzen,R,RHB vs RHP,22,21,100.2,6.53,1.79,16,1.43,6.97,3.49,1.317,1.053,0.985,1.03,0.991,1.021,1.0,19.09,25.8,78.9,56.0,C+,Lineup unconfirmed
7,2026-07-28,823838,2026-07-28T22:40:00Z,Scheduled,loanDepot park,Philadelphia Phillies @ Miami Marlins,Home,691788,Joe Mack,Miami Marlins,Philadelphia Phillies,C,L,No,,62,202,184,43,6,0,10,27,30,12,2,52,0.234,0.288,0.429,0.717,9,30,29,5,3,0.172,0.1,21,65,60,12,6,0.2,0.0923,16,16,25.0,43.8,72.7,9.1,18.2,31.2,31.2,80.0,31.2,25.0,25.0,25.0,75.0,85.9,0.2,1.352,70.7,68.6,Above Average,3.5,Barrel Machine,D,Ground-ball heavy,68.6,Above Average,1.052,Small Statcast sample,3.31,-6.69,Strong negative regression,Above Average Barrel Machine profile. 25.0% barrel rate; 85.9 mph average exit velocity; 31.2% air-ball rate; 80.0% pull-air rate; 25.0% HR-launch rate.,0.0495,0.043,3.93,7,2,18.4,0.38,38.0,Recently homered,605400.0,Aaron Nola,R,LHB vs RHP,21,21,108.1,5.82,1.45,25,2.08,9.3,2.99,1.35,1.157,1.025,1.0,1.052,1.052,1.0,15.86,25.57,71.6,51.9,C,Lineup unconfirmed
8,2026-07-28,822949,2026-07-28T22:40:00Z,Scheduled,Tropicana Field,Texas Rangers @ Tampa Bay Rays,Away,592626,Joc Pederson,Texas Rangers,Tampa Bay Rays,DH,L,No,,95,322,279,71,11,2,19,44,40,36,3,71,0.254,0.343,0.513,0.856,7,28,28,12,4,0.429,0.1429,17,59,55,17,6,0.309,0.1017,23,23,0.0,30.4,38.5,23.1,38.5,21.7,39.1,33.3,39.1,0.0,0.0,0.0,,85.8,21.2,0.493,69.8,17.8,Weak,1.5,Contact-First Profile,A-,Elevated power plane,17.8,Weak,0.91,Good,0.18,-18.82,Strong negative regression,Weak Contact-First Profile profile. 0.0% barrel rate; 85.8 mph average exit velocity; 39.1% air-ball rate; 33.3% pull-air rate; 0.0% HR-launch rate.,0.059,0.0517,4.15,0,0,14.7,0.0,0.0,Very recent HR,643377.0,Griffin Jax,R,LHB vs RHP,27,16,81.0,3.89,1.22,13,1.44,9.11,3.0,1.35,1.054,1.025,1.0,0.91,0.91,0.98,19.76,25.08,79.7,54.4,C+,Lineup unconfirmed
9,2026-07-28,824569,2026-07-28T23:40:00Z,Scheduled,Rate Field,New York Yankees @ Chicago White Sox,Away,700250,Ben Rice,New York Yankees,Chicago White Sox,1B,L,No,,101,433,378,104,18,3,31,69,73,50,3,105,0.275,0.363,0.585,0.948,10,43,41,10,2,0.244,0.0465,23,99,88,25,9,0.284,0.0909,27,27,11.1,33.3,57.1,21.4,21.4,14.8,29.6,37.5,44.4,7.4,7.4,7.4,66.7,86.7,20.4,0.752,71.8,42.9,Below Average,2.5,Contact-First Profile,A-,Elevated power plane,42.9,Below Average,0.98,Good,2.41,-28.59,Strong negative regression,Below Average Contact-First Profile profile. 11.1% barrel rate; 86.7 mph average exit velocity; 29.6% air-ball rate; 37.5% pull-air rate; 7.4% HR-launch rate.,0.0716,0.063,4.23,4,1,12.2,0.33,32.8,Very recent HR,641743.0,Anthony Kay,L,LHB vs LHP,21,19,98.1,4.21,1.37,14,1.28,7.32,3.66,1.022,1.029,0.985,1.03,0.98,1.01,0.98,24.06,24.6,84.9,55.7,C+,Lineup unconfirmed
10,2026-07-28,822703,2026-07-28T22:45:00Z,Scheduled,Nationals Park,Toronto Blue Jays @ Washington Nationals,Home,695578,James Wood,Washington Nationals,Toronto Blue Jays,RF,L,No,,107,503,412,112,25,1,30,96,72,84,4,147,0.272,0.398,0.556,0.954,10,49,43,9,2,0.209,0.0408,22,107,86,28,10,0.326,0.0935,27,27,14.8,37.0,52.9,17.6,29.4,18.5,37.0,20.0,33.3,3.7,0.0,3.7,50.0,91.2,12.1,0.921,73.5,35.7,Below Average,2.5,Contact-First Profile,A,Excellent HR swing plane,35.7,Below Average,0.96,Good,3.06,-26.94,Strong negative regression,Below Average Contact-First Profile profile. 14.8% barrel rate; 91.2 mph average exit velocity; 37.0% air-ball rate; 20.0% pull-air rate; 3.7% HR-launch rate.,0.0596,0.0543,4.25,3,1,13.7,0.22,21.8,Very recent HR,669456.0,Shane Bieber,R,LHB vs RHP,6,6,30.2,4.7,1.43,7,2.05,6.46,3.52,1.075,1.066,1.025,1.055,0.96,1.013,0.98,21.13,24.26,85.0,55.3,C+,Lineup unconfirmed
