Overall Rank,Date,Player,Team,Opponent,Game,Side,Position,Analytical Projected FS,Projected FS,Sim Mean,Sim Median,Historical FS Std,Target FS Std,Raw Sim Std,Volatility-Calibrated Sim Std,Volatility Multiplier,Last 5 Avg FS,Last 10 Avg FS,Last 15 Avg FS,Last 5 Fantasy Scores,Last 10 Fantasy Scores,Last 15 Fantasy Scores,P Over 2.5 FS %,P Over 3.0 FS %,P Over 3.5 FS %,P Over 4.0 FS %,P Over 4.5 FS %,P Over 5.0 FS %,P Over 5.5 FS %,P Over 6.0 FS %,P Over 6.5 FS %,P Over 7.0 FS %,P Over 7.5 FS %,P Over 8.0 FS %,P Over 8.5 FS %,P Over 9.0 FS %,P Over 9.5 FS %,P Over 10.0 FS %,P Over 10.5 FS %,P Over 11.0 FS %,P Over 11.5 FS %,P Over 12.0 FS %,P Over 12.5 FS %,P Over 13.0 FS %,P Over 13.5 FS %,P Over 14.0 FS %,P Over 14.5 FS %,P Over 15.0 FS %,P Over 15.5 FS %,AI Score,Grade,Suggested Lean,Recommended Direction,Recommended Line,Recommended Probability %,Projection Edge,Even-Money EV %,Recommendation Strength,Lineup Spot,Lineup Source,Today Lineup Spot,Last 7 Mode Spot,Starts in Last 7,Last 7 Lineup Spots,Lineup Consistency %,Start Probability %,Expected PA,Rest/Usage Note,Recent Start Guess 14,Usage Factor,Opp Pitcher,Opp Pitcher Hand,Pitcher ERA,Pitcher WHIP,Pitcher H/BF,Pitcher HR/BF,Pitcher BB/BF,Bullpen ERA,Bullpen WHIP,Bullpen H/BF,Bullpen HR/BF,Venue,Park Factor,Weather Factor,Temp F,Wind MPH,Wind Direction,Precip %,Weather Note,PA,AB,AVG,OBP,SLG,OPS,Hand Split PA,Hand Split OPS,Season H,Season 2B,Season 3B,Season HR,Season R,Season RBI,Season BB,Season HBP,Season SB,Last 5 Fantasy Score Details,Last 10 Fantasy Score Details,Last 15 Fantasy Score Details,Recent FS Games Available,Historical Volatility Games,Historical FS Mean,Historical FS Median,Volatility Source,Last 7 FS/G,Last 14 FS/G,Last 14 AVG,14-Game Batter Status,Last 30 FS/G,Last 14 FS/PA,Last 14 Hit Rate,Last 14 XBH Rate,Last 14 HR Rate,Last 14 BB Rate,Last 14 SB Rate,Season Projected FS,Last 30 Projected FS,Last 14 Projected FS,Last 7 Projected FS,Hand Split Projected FS,Season Weight %,Last 30 Weight %,Last 14 Weight %,Last 7 Weight %,Hand Split Weight %,Model Version,Starter Expected BF,Starter Exposure %,Bullpen Exposure %,Starter Workload Source,Opener Risk,Recent Contact Reliability %,Recent Power Reliability %,Hand Split Reliability %,Statcast Reliability %,Pitch Location Matchup Factor,Pitch Location Samples,Pitcher Velo Trend,V6 Park Walk Factor,V6 Park Run Factor,V6 Weather HR Factor,V6 Weather Confidence,Statcast Samples,Avg Exit Velo,Hard Hit %,Barrel %,Sweet Spot %,Statcast xwOBA,Statcast Quality Factor,Elite Single Floor Boost,Walk Floor Boost,Run Scoring Boost,Pitch-Type Matchup Factor,Pitch-Type Samples,Pitch-Type Data Source,Release/Movement Matchup Factor,Release/Movement Samples,Release/Movement Source,Contact Quality Samples,Contact EV Mean,Contact EV Std,Contact LA Mean,Contact LA Std,Pull %,Center %,Oppo %,Directional Weather Factor,Park Single Factor,Park Double Factor,Park Triple Factor,Park HR Factor,EWMA Form Factor,EWMA Fantasy Score,EWMA Trend,Umpire,Umpire Source,Umpire Run Factor,Umpire BB Factor,Umpire K Factor,Defense Factor,Outfield Defense Factor,Infield Defense Factor,Defense Source,Bullpen Fatigue Factor,Bullpen Recent Games,Bullpen Recent Innings Proxy,Running Matchup Factor,Sprint Speed,Matchup DNA Factor,Single Rate,Double Rate,Triple Rate,HR Rate,BB Rate,HBP Rate,K Rate Model,Groundout Share,Flyout Share,Lineout Share,Run Rate Model,RBI Rate Model,SB Rate,_run_scoring_boost,Confirmed Starter,Full Game Projected FS,Sim Std,P25,P75,P90,Simulated PA,Zero PA Probability %,Probability Calibration,Confidence,Raw P Over 2.5 FS %,Raw P Over 3.0 FS %,Raw P Over 3.5 FS %,Raw P Over 4.0 FS %,Raw P Over 4.5 FS %,Raw P Over 5.0 FS %,Raw P Over 5.5 FS %,Raw P Over 6.0 FS %,Raw P Over 6.5 FS %,Raw P Over 7.0 FS %,Raw P Over 7.5 FS %,Raw P Over 8.0 FS %,Raw P Over 8.5 FS %,Raw P Over 9.0 FS %,Raw P Over 9.5 FS %,Raw P Over 10.0 FS %,Raw P Over 10.5 FS %,Raw P Over 11.0 FS %,Raw P Over 11.5 FS %,Raw P Over 12.0 FS %,Raw P Over 12.5 FS %,Raw P Over 13.0 FS %,Raw P Over 13.5 FS %,Raw P Over 14.0 FS %,Raw P Over 14.5 FS %,Raw P Over 15.0 FS %,Raw P Over 15.5 FS %,Floor Uplift 2.5 FS,Floor Uplift 3.0 FS,Floor Uplift 3.5 FS,Floor Uplift 4.0 FS,Floor Uplift 4.5 FS,Floor Uplift 5.0 FS,Floor Uplift 5.5 FS,Floor Uplift 6.0 FS,Floor Uplift 6.5 FS,Floor Uplift 7.0 FS,Floor Uplift 7.5 FS,Floor Uplift 8.0 FS,Floor Uplift 8.5 FS,Floor Uplift 9.0 FS,Floor Uplift 9.5 FS,Floor Uplift 10.0 FS,Floor Uplift 10.5 FS,Floor Uplift 11.0 FS,Floor Uplift 11.5 FS,Floor Uplift 12.0 FS,Floor Uplift 12.5 FS,Floor Uplift 13.0 FS,Floor Uplift 13.5 FS,Floor Uplift 14.0 FS,Floor Uplift 14.5 FS,Floor Uplift 15.0 FS,Floor Uplift 15.5 FS
1,2026-08-03,Yordan Alvarez,HOU,TOR,TOR @ HOU,HOME,DH,13.5,14.2,14.2,12.25,9.34,8.25,9.29,8.25,0.888,14.8,12.1,12.67,24|13|14|2|21,24|13|14|2|21|11|4|4|9|19,24|13|14|2|21|11|4|4|9|19|8|31|7|9|14,98.6,98.6,96.4,96.2,93.6,93.1,90.5,90.2,85.2,81.7,81.2,73.4,72.4,67.9,67.9,62.8,58.0,58.0,53.9,53.9,48.8,48.8,45.8,45.8,41.3,38.8,38.8,333.17,A+,MORE 11.0 | 58.0% | Edge +3.2,MORE,11.0,58.0,3.2,16.0,Playable,2,Last 7 Confirmed,,2.0,7,2-2-2-2-2-2-2,100.0,97.0,5.02,Regular,14,1.04,Shane Bieber,R,5.74,1.63,0.234,0.0496,0.1277,4.07,1.31,0.2139,0.028,Daikin Park,1.0,1.0,,,,,Weather unavailable,489,403,0.33,0.442,0.65,1.092,364,1.163,133,24,0,35,77,84,77,6,1,2026-08-02 vs Texas Rangers: 24 FS|2026-08-01 vs Texas Rangers: 13 FS|2026-07-31 vs Texas Rangers: 14 FS|2026-07-29 @ Los Angeles Angels: 2 FS|2026-07-28 @ Los Angeles Angels: 21 FS,2026-08-02 vs Texas Rangers: 24 FS|2026-08-01 vs Texas Rangers: 13 FS|2026-07-31 vs Texas Rangers: 14 FS|2026-07-29 @ Los Angeles Angels: 2 FS|2026-07-28 @ Los Angeles Angels: 21 FS|2026-07-27 @ Los Angeles Angels: 11 FS|2026-07-26 @ Chicago White Sox: 4 FS|2026-07-25 @ Chicago White Sox: 4 FS|2026-07-24 @ Chicago White Sox: 9 FS|2026-07-22 vs Miami Marlins: 19 FS,2026-08-02 vs Texas Rangers: 24 FS|2026-08-01 vs Texas Rangers: 13 FS|2026-07-31 vs Texas Rangers: 14 FS|2026-07-29 @ Los Angeles Angels: 2 FS|2026-07-28 @ Los Angeles Angels: 21 FS|2026-07-27 @ Los Angeles Angels: 11 FS|2026-07-26 @ Chicago White Sox: 4 FS|2026-07-25 @ Chicago White Sox: 4 FS|2026-07-24 @ Chicago White Sox: 9 FS|2026-07-22 vs Miami Marlins: 19 FS|2026-07-21 vs Miami Marlins: 8 FS|2026-07-20 vs Miami Marlins: 31 FS|2026-07-19 vs Baltimore Orioles: 7 FS|2026-07-18 vs Baltimore Orioles: 9 FS|2026-07-17 vs Baltimore Orioles: 14 FS,15,30,11.5,9.5,Last 30 games + shrinkage,12.71,12.57,0.392,Hot,11.5,2.75,0.3125,0.1562,0.0625,0.1875,0.0,13.61,13.65,13.45,12.85,12.54,28.0,16.0,20.0,16.0,20.0,6.0,18.59,54.7,45.3,Recent workload,No,51.3,39.6,68.2,71.7,1.15,146,0.13,1.0,1.0,1.0,75.0,279,86.24,32.26,1.43,30.82,0.521,1.078,1.0,1.0,1.0,1.1061,565,Statcast,1.14,121,Statcast,279,86.24,12.0,25.44,27.74,19.7,58.1,22.2,1.0,1.0096,1.0353,1.0193,1.0642,1.0169,12.91,1.41,Unknown/neutral,Neutral fallback,1.0,1.0,1.0,1.0,1.0,1.0,Neutral fallback,1.072,3,27.0,0.8625,27.0,1.0,0.2023,0.0891,0.0001,0.0742,0.17,0.0098,0.1781,0.324,0.3943,0.2817,0.0626,0.2032,0.0001,1.0,Projected,,8.25,7.81,19.35,25.56,4.78,0.0,Raw,High,97.6,97.6,94.2,94.2,90.8,90.8,87.8,87.8,82.0,78.7,78.7,72.4,72.4,67.9,67.9,62.8,58.0,58.0,53.9,53.9,48.8,48.8,45.8,45.8,41.3,38.8,38.8,1.0,1.0,2.2,2.0,2.8,2.3,2.7,2.4,3.1,3.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2026-08-03,Junior Caminero,TB,COL,TB @ COL,AWAY,3B,13.43,15.12,15.12,14.28,8.21,7.46,10.0,7.46,0.746,5.6,5.5,6.8,6|2|18|2|0,6|2|18|2|0|15|0|7|5|0,6|2|18|2|0|15|0|7|5|0|8|14|19|3|3,99.5,99.5,99.5,97.6,97.4,97.2,95.3,95.1,91.4,89.9,89.6,83.0,79.6,79.6,74.4,69.9,69.9,66.1,60.9,60.9,57.6,53.0,53.0,50.1,46.0,46.0,43.1,330.13,A+,MORE 12.0 | 60.9% | Edge +3.1,MORE,12.0,60.9,3.12,21.8,Playable,3,Last 7 Confirmed,,3.0,7,3-3-3-3-3-3-3,100.0,97.0,4.92,Regular,14,1.04,Michael Lorenzen,R,6.54,1.81,0.2968,0.0319,0.0797,5.46,1.51,0.2574,0.0356,Coors Field,1.15,1.055,101.7,8.9,78.0,0.0,hot,483,419,0.282,0.373,0.544,0.917,345,0.895,118,18,1,30,66,66,60,2,2,2026-08-02 vs Chicago White Sox: 6 FS|2026-08-01 vs Chicago White Sox: 2 FS|2026-07-31 vs Chicago White Sox: 18 FS|2026-07-30 vs Texas Rangers: 2 FS|2026-07-29 vs Texas Rangers: 0 FS,2026-08-02 vs Chicago White Sox: 6 FS|2026-08-01 vs Chicago White Sox: 2 FS|2026-07-31 vs Chicago White Sox: 18 FS|2026-07-30 vs Texas Rangers: 2 FS|2026-07-29 vs Texas Rangers: 0 FS|2026-07-28 vs Texas Rangers: 15 FS|2026-07-26 vs Cleveland Guardians: 0 FS|2026-07-25 vs Cleveland Guardians: 7 FS|2026-07-24 vs Cleveland Guardians: 5 FS|2026-07-23 @ Toronto Blue Jays: 0 FS,2026-08-02 vs Chicago White Sox: 6 FS|2026-08-01 vs Chicago White Sox: 2 FS|2026-07-31 vs Chicago White Sox: 18 FS|2026-07-30 vs Texas Rangers: 2 FS|2026-07-29 vs Texas Rangers: 0 FS|2026-07-28 vs Texas Rangers: 15 FS|2026-07-26 vs Cleveland Guardians: 0 FS|2026-07-25 vs Cleveland Guardians: 7 FS|2026-07-24 vs Cleveland Guardians: 5 FS|2026-07-23 @ Toronto Blue Jays: 0 FS|2026-07-22 @ Toronto Blue Jays: 8 FS|2026-07-21 @ Toronto Blue Jays: 14 FS|2026-07-20 @ Toronto Blue Jays: 19 FS|2026-07-19 @ Boston Red Sox: 3 FS|2026-07-18 @ Boston Red Sox: 3 FS,15,30,8.73,5.5,Last 30 games + shrinkage,6.14,7.07,0.288,Neutral,8.73,1.65,0.25,0.1,0.0167,0.1167,0.0,14.37,14.03,13.43,13.49,13.26,28.0,16.0,20.0,16.0,20.0,6.0,21.29,62.6,37.4,Recent workload,No,50.8,39.0,67.0,70.7,1.1395,134,1.21,1.0,1.08,1.0,75.0,265,87.0,36.6,3.77,30.57,0.445,1.0614,1.0,1.0,1.0,1.053,566,Statcast,1.127,59,Statcast,265,87.0,12.0,12.32,34.34,30.9,58.1,10.9,1.0237,1.0577,1.1772,1.2175,1.2345,0.9811,7.16,-1.57,Unknown/neutral,Neutral fallback,1.0,1.0,1.0,1.0,1.0,1.0,Neutral fallback,1.072,3,27.0,0.9093,27.0,1.0,0.2415,0.0962,0.0097,0.078,0.0967,0.0072,0.1762,0.5141,0.2465,0.2394,0.0355,0.186,0.0033,1.0,Projected,,7.46,9.06,19.51,25.47,4.62,0.0,Raw,High,100.0,100.0,100.0,96.3,96.3,96.3,93.9,93.9,89.6,88.1,88.1,82.1,79.6,79.6,74.4,69.9,69.9,66.1,60.9,60.9,57.6,53.0,53.0,50.1,46.0,46.0,43.1,0.0,0.0,0.0,1.3,1.1,0.9,1.4,1.2,1.8,1.8,1.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2026-08-03,Jeremy Peña,HOU,TOR,TOR @ HOU,HOME,SS,12.29,12.84,12.84,11.44,7.51,6.98,9.14,6.98,0.764,14.8,15.7,14.13,21|15|21|14|3,21|15|21|14|3|9|28|13|11|22,21|15|21|14|3|9|28|13|11|22|16|20|3|14|2,99.5,99.5,96.6,96.4,96.2,94.1,89.0,88.6,86.5,78.7,78.2,73.0,66.4,66.4,60.3,56.7,56.7,50.9,47.6,47.6,43.8,40.6,40.6,36.2,33.8,33.8,30.6,318.18,A+,MORE 9.5 | 60.3% | Edge +3.3,MORE,9.5,60.3,3.34,20.6,Playable,1,Last 7 Confirmed,,1.0,7,1-1-1-1-1-1-1,100.0,97.0,5.04,Regular,13,1.04,Shane Bieber,R,5.74,1.63,0.234,0.0496,0.1277,4.07,1.31,0.2139,0.028,Daikin Park,1.0,1.0,,,,,Weather unavailable,280,255,0.322,0.375,0.529,0.904,222,0.956,82,12,1,13,53,36,17,6,8,2026-08-02 vs Texas Rangers: 21 FS|2026-08-01 vs Texas Rangers: 15 FS|2026-07-31 vs Texas Rangers: 21 FS|2026-07-29 @ Los Angeles Angels: 14 FS|2026-07-28 @ Los Angeles Angels: 3 FS,2026-08-02 vs Texas Rangers: 21 FS|2026-08-01 vs Texas Rangers: 15 FS|2026-07-31 vs Texas Rangers: 21 FS|2026-07-29 @ Los Angeles Angels: 14 FS|2026-07-28 @ Los Angeles Angels: 3 FS|2026-07-27 @ Los Angeles Angels: 9 FS|2026-07-26 @ Chicago White Sox: 28 FS|2026-07-25 @ Chicago White Sox: 13 FS|2026-07-24 @ Chicago White Sox: 11 FS|2026-07-22 vs Miami Marlins: 22 FS,2026-08-02 vs Texas Rangers: 21 FS|2026-08-01 vs Texas Rangers: 15 FS|2026-07-31 vs Texas Rangers: 21 FS|2026-07-29 @ Los Angeles Angels: 14 FS|2026-07-28 @ Los Angeles Angels: 3 FS|2026-07-27 @ Los Angeles Angels: 9 FS|2026-07-26 @ Chicago White Sox: 28 FS|2026-07-25 @ Chicago White Sox: 13 FS|2026-07-24 @ Chicago White Sox: 11 FS|2026-07-22 vs Miami Marlins: 22 FS|2026-07-21 vs Miami Marlins: 16 FS|2026-07-20 vs Miami Marlins: 20 FS|2026-07-18 vs Baltimore Orioles: 3 FS|2026-07-17 vs Baltimore Orioles: 14 FS|2026-07-12 @ Texas Rangers: 2 FS,15,30,11.93,12.0,Last 30 games + shrinkage,15.86,15.0,0.433,Hot,11.93,3.281,0.4062,0.1719,0.1094,0.0312,0.0,11.84,12.93,12.92,11.86,10.45,28.0,16.0,20.0,16.0,20.0,6.0,18.59,54.7,45.3,Recent workload,No,49.0,37.4,56.6,67.3,1.0477,106,0.13,1.0,1.0,1.0,75.0,226,84.57,30.97,0.88,26.55,0.416,0.9703,1.0,1.0,1.0,1.0527,399,Statcast,1.0237,41,Statcast,226,84.57,12.0,11.81,35.0,26.1,61.5,12.4,1.0,1.0005,1.0019,1.001,1.0034,1.0276,14.23,2.3,Unknown/neutral,Neutral fallback,1.0,1.0,1.0,1.0,1.0,1.0,Neutral fallback,1.072,3,27.0,1.3,27.0,1.0,0.2431,0.0473,0.0066,0.0684,0.062,0.0251,0.188,0.4913,0.1983,0.3103,0.1218,0.1445,0.0055,1.0,Projected,,6.98,7.62,17.54,22.89,4.86,0.0,Raw,High,100.0,100.0,94.5,94.5,94.5,92.1,85.8,85.8,83.6,75.7,75.7,72.0,66.4,66.4,60.3,56.7,56.7,50.9,47.6,47.6,43.8,40.6,40.6,36.2,33.8,33.8,30.6,0.0,0.0,2.1,1.9,1.7,2.0,3.2,2.8,2.9,3.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2026-08-03,James Wood,WSH,PHI,WSH @ PHI,AWAY,RF,12.29,12.83,12.83,11.34,8.77,7.84,9.62,7.84,0.815,6.8,8.8,7.67,2|4|3|13|12,2|4|3|13|12|4|12|32|3|3,2|4|3|13|12|4|12|32|3|3|2|16|9|0|0,96.5,96.5,96.4,96.2,91.8,88.2,87.8,83.9,76.7,76.2,72.4,70.9,63.2,59.3,59.3,54.3,54.3,50.3,47.1,47.1,43.6,41.5,41.5,36.7,36.7,35.1,31.2,298.34,A+,MORE 9.5 | 59.3% | Edge +3.3,MORE,9.5,59.3,3.33,18.6,Playable,1,Last 7 Confirmed,,1.0,7,1-1-1-1-1-1-1,100.0,97.0,5.13,Regular,14,1.04,Aaron Nola,R,5.61,1.45,0.253,0.0522,0.0783,4.22,1.31,0.2272,0.0319,Citizens Bank Park,1.04,1.03,84.1,3.3,318.0,0.0,warm,531,433,0.266,0.394,0.538,0.932,353,0.984,115,26,1,30,100,73,90,4,17,2026-08-02 @ Atlanta Braves: 2 FS|2026-08-01 @ Atlanta Braves: 4 FS|2026-07-31 @ Atlanta Braves: 3 FS|2026-07-30 @ Atlanta Braves: 13 FS|2026-07-29 vs Toronto Blue Jays: 12 FS,2026-08-02 @ Atlanta Braves: 2 FS|2026-08-01 @ Atlanta Braves: 4 FS|2026-07-31 @ Atlanta Braves: 3 FS|2026-07-30 @ Atlanta Braves: 13 FS|2026-07-29 vs Toronto Blue Jays: 12 FS|2026-07-28 vs Toronto Blue Jays: 4 FS|2026-07-27 vs Toronto Blue Jays: 12 FS|2026-07-26 vs Arizona Diamondbacks: 32 FS|2026-07-25 vs Arizona Diamondbacks: 3 FS|2026-07-24 vs Arizona Diamondbacks: 3 FS,2026-08-02 @ Atlanta Braves: 2 FS|2026-08-01 @ Atlanta Braves: 4 FS|2026-07-31 @ Atlanta Braves: 3 FS|2026-07-30 @ Atlanta Braves: 13 FS|2026-07-29 vs Toronto Blue Jays: 12 FS|2026-07-28 vs Toronto Blue Jays: 4 FS|2026-07-27 vs Toronto Blue Jays: 12 FS|2026-07-26 vs Arizona Diamondbacks: 32 FS|2026-07-25 vs Arizona Diamondbacks: 3 FS|2026-07-24 vs Arizona Diamondbacks: 3 FS|2026-07-22 @ Colorado Rockies: 2 FS|2026-07-21 @ Colorado Rockies: 16 FS|2026-07-20 @ Colorado Rockies: 9 FS|2026-07-19 @ Athletics: 0 FS|2026-07-18 @ Athletics: 0 FS,15,30,12.3,12.5,Last 30 games + shrinkage,7.14,8.21,0.2,Neutral,12.3,1.716,0.1642,0.0746,0.0299,0.1493,0.0299,13.94,14.03,12.1,11.47,11.8,28.0,16.0,20.0,16.0,20.0,6.0,23.17,68.2,31.8,Recent workload,No,53.4,41.6,67.5,68.4,1.15,143,-1.9,1.0,1.0,1.0,75.0,238,86.93,35.71,3.36,31.51,0.534,1.1216,1.0,1.0,1.0,1.0462,632,Statcast,1.0571,37,Statcast,238,86.93,12.0,10.63,30.37,17.2,57.6,25.2,1.0002,1.0064,1.0236,1.0128,1.0427,0.9614,9.08,-3.22,Unknown/neutral,Neutral fallback,1.0,1.0,1.0,1.0,1.0,1.0,Neutral fallback,1.072,3,27.0,1.3,27.0,0.9878,0.1402,0.0667,0.0041,0.0772,0.1688,0.0049,0.269,0.496,0.2481,0.2559,0.0777,0.1339,0.0138,1.0,Projected,,7.84,6.45,17.86,23.56,4.81,0.0,Raw,High,94.2,94.2,94.2,94.2,88.3,84.2,84.2,79.9,73.2,73.2,69.9,69.9,63.2,59.3,59.3,54.3,54.3,50.3,47.1,47.1,43.6,41.5,41.5,36.7,36.7,35.1,31.2,2.3,2.3,2.2,2.0,3.5,3.9,3.6,4.0,3.5,3.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2026-08-03,CJ Abrams,WSH,PHI,WSH @ PHI,AWAY,SS,12.29,11.6,11.6,9.08,10.5,9.0,9.3,9.0,0.968,6.2,12.2,14.4,0|7|20|0|4,0|7|20|0|4|5|14|33|31|8,0|7|20|0|4|5|14|33|31|8|21|34|16|23|0,91.8,91.8,86.3,85.8,81.9,80.9,72.0,71.5,67.0,66.5,59.9,58.4,52.5,52.5,48.6,48.6,44.3,44.3,41.6,38.9,38.9,37.0,37.0,32.9,32.9,31.5,31.5,294.66,A+,MORE 8.0 | 58.4% | Edge +3.6,MORE,8.0,58.4,3.6,16.8,Playable,4,Last 7 Confirmed,,4.0,7,4-4-4-4-4-4-4,100.0,97.0,4.82,Regular,14,1.04,Aaron Nola,R,5.61,1.45,0.253,0.0522,0.0783,4.22,1.31,0.2272,0.0319,Citizens Bank Park,1.04,1.03,84.1,3.3,318.0,0.0,warm,466,408,0.287,0.363,0.554,0.917,323,0.991,117,21,2,28,69,85,42,10,19,2026-08-02 @ Atlanta Braves: 0 FS|2026-08-01 @ Atlanta Braves: 7 FS|2026-07-31 @ Atlanta Braves: 20 FS|2026-07-30 @ Atlanta Braves: 0 FS|2026-07-29 vs Toronto Blue Jays: 4 FS,2026-08-02 @ Atlanta Braves: 0 FS|2026-08-01 @ Atlanta Braves: 7 FS|2026-07-31 @ Atlanta Braves: 20 FS|2026-07-30 @ Atlanta Braves: 0 FS|2026-07-29 vs Toronto Blue Jays: 4 FS|2026-07-28 vs Toronto Blue Jays: 5 FS|2026-07-27 vs Toronto Blue Jays: 14 FS|2026-07-26 vs Arizona Diamondbacks: 33 FS|2026-07-25 vs Arizona Diamondbacks: 31 FS|2026-07-24 vs Arizona Diamondbacks: 8 FS,2026-08-02 @ Atlanta Braves: 0 FS|2026-08-01 @ Atlanta Braves: 7 FS|2026-07-31 @ Atlanta Braves: 20 FS|2026-07-30 @ Atlanta Braves: 0 FS|2026-07-29 vs Toronto Blue Jays: 4 FS|2026-07-28 vs Toronto Blue Jays: 5 FS|2026-07-27 vs Toronto Blue Jays: 14 FS|2026-07-26 vs Arizona Diamondbacks: 33 FS|2026-07-25 vs Arizona Diamondbacks: 31 FS|2026-07-24 vs Arizona Diamondbacks: 8 FS|2026-07-22 @ Colorado Rockies: 21 FS|2026-07-21 @ Colorado Rockies: 34 FS|2026-07-20 @ Colorado Rockies: 16 FS|2026-07-19 @ Athletics: 23 FS|2026-07-18 @ Athletics: 0 FS,15,30,11.23,8.5,Last 30 games + shrinkage,7.14,15.43,0.37,Hot,11.23,3.484,0.3226,0.1774,0.129,0.129,0.0645,12.98,12.78,13.56,10.42,11.22,28.0,16.0,20.0,16.0,20.0,6.0,23.17,68.2,31.8,Recent workload,No,51.2,39.5,65.5,69.7,1.15,124,-1.9,1.0,1.0,1.0,75.0,253,83.56,28.06,2.77,30.43,0.402,0.9543,1.0,1.0,1.0,0.9516,463,Statcast,1.0793,12,Statcast,253,83.56,12.0,22.45,32.84,13.8,58.9,27.3,1.0003,1.0023,1.0089,1.0047,1.0159,1.0019,11.39,0.16,Unknown/neutral,Neutral fallback,1.0,1.0,1.0,1.0,1.0,1.0,Neutral fallback,1.072,3,27.0,1.3,27.0,1.0,0.1832,0.0497,0.0025,0.0769,0.0963,0.0167,0.2272,0.3446,0.3782,0.2772,0.0581,0.2501,0.0246,1.0,Projected,,9.0,5.21,16.83,23.6,4.59,0.0,Raw,Medium,86.4,86.4,78.8,78.8,75.9,75.9,67.5,67.5,63.5,63.5,57.4,57.4,52.5,52.5,48.6,48.6,44.3,44.3,41.6,38.9,38.9,37.0,37.0,32.9,32.9,31.5,31.5,5.4,5.4,7.5,7.0,6.0,5.0,4.5,4.0,3.5,3.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
