rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,roster_status,years_exp,jersey_number,headshot_url,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,data_through_season,last_5_avg,last_10_avg,last_15_avg,last_5_passing_yards,last_10_passing_yards,last_15_passing_yards,season_avg,prior_season_avg,last_5_attempts,last_10_attempts,season_attempts,last_5_ypa,last_10_ypa,season_ypa,normal_attempts,projected_ypa,baseline_yards,player_std,projection_source,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,projected_passing_yards,model_std,opponent_x,home_away_x,game_id_x,game_date_x,game_name_x,preseason_rotation_factor,expected_pressure_rate,pressure_adjusted_ypa,clean_pocket_ypa,under_pressure_ypa,depth_matchup_short_0_4,depth_matchup_short_5_9,depth_matchup_intermediate_10_14,depth_matchup_intermediate_15_19,depth_matchup_deep_20_24,depth_matchup_deep_25_29,depth_matchup_deep_30_plus,game_script_volume_factor,game_script_efficiency_factor,game_script_label,depth_role,expected_quarters,expected_drives,projected_dropbacks,scramble_rate_pct,projected_designed_rushes,projected_completions,projected_completion_pct,opp_pass_yards_allowed_pg,opp_completion_rate_allowed_pct,opp_ypa_allowed,opp_epa_per_dropback,opp_pressure_rate_pct,opp_sack_rate_pct,opp_explosive_pass_rate_pct,player_context_source,opponent_context_source,team_pass_attempts_pg,team_completion_rate_pct,team_ypa,team_epa_per_dropback,team_explosive_pass_rate_pct,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,prob_100_plus,grade_100_plus,prob_110_plus,grade_110_plus,prob_120_plus,grade_120_plus,prob_130_plus,grade_130_plus,prob_140_plus,grade_140_plus,prob_150_plus,grade_150_plus,prob_160_plus,grade_160_plus,prob_170_plus,grade_170_plus,prob_180_plus,grade_180_plus,prob_190_plus,grade_190_plus,prob_200_plus,grade_200_plus,prob_210_plus,grade_210_plus,prob_220_plus,grade_220_plus,prob_230_plus,grade_230_plus,prob_240_plus,grade_240_plus,prob_250_plus,grade_250_plus,prob_260_plus,grade_260_plus,prob_270_plus,grade_270_plus,prob_280_plus,grade_280_plus,prob_290_plus,grade_290_plus,prob_300_plus,grade_300_plus,prob_310_plus,grade_310_plus,prob_320_plus,grade_320_plus,prob_330_plus,grade_330_plus,prob_340_plus,grade_340_plus,prob_350_plus,grade_350_plus,prob_360_plus,grade_360_plus,prob_370_plus,grade_370_plus,prob_380_plus,grade_380_plus,prob_390_plus,grade_390_plus,prob_400_plus,grade_400_plus,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,pass_depth_game_sample,pass_depth_avg_hist_attempts,pass_depth_avg_longest_completion,opponent_y,home_away_y,game_id_y,game_date_y,game_name_y,season_games,season_passing_yards,season_weeks,season_history_source,season_hits_100_plus,season_hit_rate_100_plus,season_hits_110_plus,season_hit_rate_110_plus,season_hits_120_plus,season_hit_rate_120_plus,season_hits_130_plus,season_hit_rate_130_plus,season_hits_140_plus,season_hit_rate_140_plus,season_hits_150_plus,season_hit_rate_150_plus,season_hits_160_plus,season_hit_rate_160_plus,season_hits_170_plus,season_hit_rate_170_plus,season_hits_180_plus,season_hit_rate_180_plus,season_hits_190_plus,season_hit_rate_190_plus,season_hits_200_plus,season_hit_rate_200_plus,season_hits_210_plus,season_hit_rate_210_plus,season_hits_220_plus,season_hit_rate_220_plus,season_hits_230_plus,season_hit_rate_230_plus,season_hits_240_plus,season_hit_rate_240_plus,season_hits_250_plus,season_hit_rate_250_plus,season_hits_260_plus,season_hit_rate_260_plus,season_hits_270_plus,season_hit_rate_270_plus,season_hits_280_plus,season_hit_rate_280_plus,season_hits_290_plus,season_hit_rate_290_plus,season_hits_300_plus,season_hit_rate_300_plus,season_hits_310_plus,season_hit_rate_310_plus,season_hits_320_plus,season_hit_rate_320_plus,season_hits_330_plus,season_hit_rate_330_plus,season_hits_340_plus,season_hit_rate_340_plus,season_hits_350_plus,season_hit_rate_350_plus,season_hits_360_plus,season_hit_rate_360_plus,season_hits_370_plus,season_hit_rate_370_plus,season_hits_380_plus,season_hit_rate_380_plus,season_hits_390_plus,season_hit_rate_390_plus,season_hits_400_plus,season_hit_rate_400_plus
11,2026,REG,2,Regular Season Week 2,00-0034796,Lamar Jackson,BAL,ACT,8,8.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/eno6s5qzl9grbfbfwhoa",TEAM_BLEND,26.9,7.34,194.4,47,2026,206.4,200.4,206.0,219|150|101|238|324,204|176|193|153|246|219|150|101|238|324,217|209|225|288|147|204|176|193|153|246|219|150|101|238|324,324.0,196.1,20.0,23.2,25.0,11.01,9.2,12.96,22.5,10.34,227.1,71.31304878250594,NFL_HISTORY,22.5,22.5,FULL_GAME_WORKLOAD,regular,230.6,84.1,NO,home,401872938,2026-09-20T17:00Z,New Orleans Saints at Baltimore Ravens,1.0,13.9,10.032,10.5,7.14,0.2856,0.1188,0.065,0.0368,0.0192,0.0085,0.013,1.0,1.0,NEUTRAL,QB1,4.0,9.3,24.2,,,14.9,66.1,225.4,57.2,6.5,-0.057,13.5,6.7,8.4,NFLVERSE_WEEKLY_PLUS_3YR_PBP_V6_8,NFLVERSE_3YR_PBP_V6_8,22.5,66.1,10.34,,,134.8,183.8,230.3,279.0,327.4,94.8,ELITE,93.8,ELITE,92.5,ELITE,90.8,ELITE,88.9,VERY HIGH,86.6,VERY HIGH,83.6,VERY HIGH,80.4,VERY HIGH,76.7,HIGH,72.2,HIGH,67.2,SOLID,61.8,SOLID,56.0,LEAN,50.2,LEAN,44.7,COIN FLIP,39.2,LOW,33.7,LOW,28.9,LOW,24.6,VERY LOW,20.6,VERY LOW,17.2,VERY LOW,14.0,VERY LOW,11.7,VERY LOW,9.6,VERY LOW,7.8,VERY LOW,6.5,VERY LOW,5.3,VERY LOW,4.3,VERY LOW,3.5,VERY LOW,3.0,VERY LOW,2.4,VERY LOW,99.5,93.9,88.4,77.6,64.0,52.6,QB_3_SEASON_GAME_BOOTSTRAP,1451,50,29.0,41.2,NO,home,401872938,2026-09-20T17:00Z,New Orleans Saints at Baltimore Ravens,1,324,1,NFLVERSE_WEEKLY,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
12,2026,REG,2,Regular Season Week 2,00-0037834,Brock Purdy,SF,ACT,4,13.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xs2fyj1sqdgwvt9ihbri",TEAM_BLEND,30.3,7.08,216.2,41,2026,245.0,237.2,241.5,295|295|303|127|205,277|309|200|193|168|295|295|303|127|205,94|325|142|313|377|277|309|200|193|168|295|295|303|127|205,205.0,240.8,31.6,31.8,34.0,7.68,7.4,6.03,32.0,7.05,234.5,74.46593836043662,NFL_HISTORY,32.0,32.0,FULL_GAME_WORKLOAD,regular,228.1,87.3,MIA,home,401872942,2026-09-20T20:25Z,Miami Dolphins at San Francisco 49ers,1.0,15.2,6.824,7.173,4.877,0.3019,0.1594,0.0524,0.0453,0.0175,0.0071,0.0098,1.0,1.0,NEUTRAL,QB1,4.0,9.3,33.8,,,21.8,68.2,235.2,62.2,6.68,0.03,16.1,7.1,8.5,NFLVERSE_WEEKLY_PLUS_3YR_PBP_V6_8,NFLVERSE_3YR_PBP_V6_8,32.0,68.2,7.05,,,127.4,179.4,228.0,277.6,328.3,93.9,ELITE,92.8,ELITE,91.4,ELITE,89.4,VERY HIGH,87.3,VERY HIGH,84.9,VERY HIGH,82.0,VERY HIGH,78.6,HIGH,74.7,HIGH,70.2,HIGH,65.3,SOLID,60.0,SOLID,54.6,LEAN,48.8,COIN FLIP,43.3,COIN FLIP,37.9,LOW,32.8,LOW,28.1,LOW,24.1,VERY LOW,20.2,VERY LOW,16.9,VERY LOW,14.1,VERY LOW,11.7,VERY LOW,9.7,VERY LOW,8.0,VERY LOW,6.6,VERY LOW,5.3,VERY LOW,4.3,VERY LOW,3.6,VERY LOW,3.0,VERY LOW,2.5,VERY LOW,99.5,91.7,90.3,83.2,73.0,62.0,QB_3_SEASON_GAME_BOOTSTRAP,1430,45,31.8,39.3,MIA,home,401872942,2026-09-20T20:25Z,Miami Dolphins at San Francisco 49ers,1,205,1,NFLVERSE_WEEKLY,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
13,2026,REG,2,Regular Season Week 2,00-0039851,Drake Maye,NE,ACT,2,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s1nmoon2xnrc3bnyulv4",TEAM_BLEND,29.4,7.26,211.9,29,2026,232.0,254.6,252.5,155|380|256|191|178,259|270|281|294|282|155|380|256|191|178,203|273|261|222|282|259|270|281|294|282|155|380|256|191|178,178.0,258.5,27.8,29.9,33.0,8.71,8.7,5.39,29.5,7.66,231.7,74.83290366035195,NFL_HISTORY,29.5,29.5,FULL_GAME_WORKLOAD,regular,227.5,85.3,PIT,home,401872946,2026-09-20T17:00Z,Pittsburgh Steelers at New England Patriots,1.0,16.7,7.387,7.805,5.307,0.2646,0.1435,0.0693,0.0508,0.0144,0.0105,0.0095,1.0,1.0,NEUTRAL,QB1,4.0,8.8,32.6,,,20.6,70.0,249.7,59.0,6.72,0.001,16.4,7.0,8.6,NFLVERSE_WEEKLY_PLUS_3YR_PBP_V6_8,NFLVERSE_3YR_PBP_V6_8,29.5,70.0,7.66,,,130.1,179.8,228.0,276.6,324.5,94.5,ELITE,93.3,ELITE,91.9,ELITE,90.0,ELITE,87.9,VERY HIGH,85.6,VERY HIGH,82.4,VERY HIGH,79.0,HIGH,74.9,HIGH,70.5,HIGH,65.4,SOLID,60.1,SOLID,54.5,LEAN,48.8,COIN FLIP,43.4,COIN FLIP,38.1,LOW,32.9,LOW,28.0,LOW,23.5,VERY LOW,19.6,VERY LOW,16.2,VERY LOW,13.2,VERY LOW,10.9,VERY LOW,9.0,VERY LOW,7.4,VERY LOW,6.1,VERY LOW,5.1,VERY LOW,4.1,VERY LOW,3.4,VERY LOW,2.8,VERY LOW,2.3,VERY LOW,99.5,91.8,84.9,75.2,67.4,54.4,QB_3_SEASON_GAME_BOOTSTRAP,1057,34,31.1,34.2,PIT,home,401872946,2026-09-20T17:00Z,Pittsburgh Steelers at New England Patriots,1,178,1,NFLVERSE_WEEKLY,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
14,2026,REG,2,Regular Season Week 2,00-0039150,Bryce Young,CAR,ACT,3,9.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vcvhmxvxw2a3armle0af",TEAM_BLEND,29.6,6.64,197.8,45,2026,207.0,208.4,192.7,163|191|54|266|361,102|124|448|169|206|163|191|54|266|361,121|150|198|199|138|102|124|448|169|206|163|191|54|266|361,361.0,188.2,30.4,29.1,37.0,6.47,6.85,9.76,31.2,7.19,233.8,114.30163104875585,NFL_HISTORY,31.2,31.1,FULL_GAME_WORKLOAD,regular,226.9,123.2,ATL,away,401872933,2026-09-20T17:00Z,Carolina Panthers at Atlanta Falcons,1.0,15.7,6.95,7.316,4.975,0.2674,0.1577,0.0669,0.039,0.0139,0.0084,0.0156,1.0,1.0,NEUTRAL,QB1,4.0,9.3,33.8,,,19.1,61.4,227.0,59.9,6.45,0.019,14.7,7.2,7.9,NFLVERSE_WEEKLY_PLUS_3YR_PBP_V6_8,NFLVERSE_3YR_PBP_V6_8,31.2,61.4,7.19,,,82.1,156.0,227.3,296.3,367.0,87.5,VERY HIGH,85.8,VERY HIGH,83.9,VERY HIGH,81.7,VERY HIGH,79.3,HIGH,76.7,HIGH,73.9,HIGH,70.8,HIGH,67.4,SOLID,64.1,SOLID,60.5,SOLID,56.7,LEAN,52.8,LEAN,48.9,COIN FLIP,44.8,COIN FLIP,41.0,COIN FLIP,37.0,LOW,33.4,LOW,30.1,LOW,26.9,LOW,23.9,VERY LOW,21.1,VERY LOW,18.7,VERY LOW,16.5,VERY LOW,14.4,VERY LOW,12.7,VERY LOW,11.1,VERY LOW,9.5,VERY LOW,8.2,VERY LOW,7.1,VERY LOW,6.3,VERY LOW,99.5,90.0,80.1,70.8,54.3,38.4,QB_3_SEASON_GAME_BOOTSTRAP,1554,47,33.1,31.1,ATL,away,401872933,2026-09-20T17:00Z,Carolina Panthers at Atlanta Falcons,1,361,1,NFLVERSE_WEEKLY,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0
15,2026,REG,2,Regular Season Week 2,00-0033873,Patrick Mahomes,KC,ACT,9,15.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wdckwtob1lybvkmxnf7p",TEAM_BLEND,30.4,6.62,203.9,47,2026,229.2,251.4,251.4,352|261|160|189|184,257|286|299|250|276|352|261|160|189|184,258|187|224|270|318|257|286|299|250|276|352|261|160|189|184,184.0,256.2,33.6,34.6,27.0,6.75,7.28,6.81,32.4,6.76,230.9,66.43788836011844,NFL_HISTORY,32.4,32.4,FULL_GAME_WORKLOAD,regular,222.4,81.4,IND,home,401872945,2026-09-21T00:20Z,Indianapolis Colts at Kansas City Chiefs,1.0,16.6,6.522,6.887,4.683,0.2639,0.1661,0.0673,0.0411,0.0214,0.0075,0.0118,1.0,1.0,NEUTRAL,QB1,4.0,9.5,34.3,,,21.3,65.8,252.3,61.2,6.87,0.036,14.9,6.7,8.4,NFLVERSE_WEEKLY_PLUS_3YR_PBP_V6_8,NFLVERSE_3YR_PBP_V6_8,32.4,65.8,6.76,,,129.3,177.1,222.9,268.2,316.1,94.3,ELITE,93.2,ELITE,91.7,ELITE,89.8,VERY HIGH,87.7,VERY HIGH,85.0,VERY HIGH,82.0,VERY HIGH,78.0,HIGH,73.6,HIGH,68.7,SOLID,63.3,SOLID,57.5,LEAN,51.6,LEAN,45.8,COIN FLIP,39.7,LOW,34.1,LOW,28.9,LOW,24.1,VERY LOW,20.1,VERY LOW,16.6,VERY LOW,13.6,VERY LOW,11.3,VERY LOW,9.3,VERY LOW,7.6,VERY LOW,6.1,VERY LOW,4.9,VERY LOW,4.0,VERY LOW,3.3,VERY LOW,2.8,VERY LOW,2.3,VERY LOW,1.9,VERY LOW,99.5,94.3,89.3,82.3,73.5,61.6,QB_3_SEASON_GAME_BOOTSTRAP,2034,53,38.4,38.3,IND,home,401872945,2026-09-21T00:20Z,Indianapolis Colts at Kansas City Chiefs,1,184,1,NFLVERSE_WEEKLY,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
16,2026,REG,2,Regular Season Week 2,00-0023459,Aaron Rodgers,PIT,ACT,21,8.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",TEAM_BLEND,29.7,6.82,202.0,34,2026,234.6,205.4,206.4,224|266|168|294|221,203|161|116|117|284|224|266|168|294|221,139|200|235|249|219|203|161|116|117|284|224|266|168|294|221,221.0,207.6,38.8,33.0,40.0,6.17,6.35,5.53,36.5,6.05,219.2,55.84617131023384,NFL_HISTORY,36.5,36.5,FULL_GAME_WORKLOAD,regular,220.6,70.8,NE,away,401872946,2026-09-20T17:00Z,Pittsburgh Steelers at New England Patriots,1.0,14.9,5.863,6.156,4.186,0.2904,0.146,0.0599,0.0399,0.0184,0.0058,0.0105,1.0,1.0,NEUTRAL,QB1,4.0,9.2,39.0,,,23.4,64.1,215.3,59.9,6.22,0.0,13.8,5.9,7.4,NFLVERSE_WEEKLY_PLUS_3YR_PBP_V6_8,NFLVERSE_3YR_PBP_V6_8,36.5,64.1,6.05,,,139.1,180.2,220.6,260.3,300.8,95.9,ELITE,94.9,ELITE,93.6,ELITE,92.0,ELITE,89.8,VERY HIGH,87.2,VERY HIGH,83.9,VERY HIGH,79.9,HIGH,75.1,HIGH,69.9,SOLID,63.9,SOLID,57.2,LEAN,50.4,LEAN,43.5,COIN FLIP,36.8,LOW,30.5,LOW,25.2,LOW,20.2,VERY LOW,16.4,VERY LOW,12.9,VERY LOW,10.2,VERY LOW,8.0,VERY LOW,6.5,VERY LOW,5.0,VERY LOW,4.0,VERY LOW,3.2,VERY LOW,2.6,VERY LOW,2.1,VERY LOW,1.7,VERY LOW,1.4,VERY LOW,1.1,VERY LOW,99.5,90.3,86.5,76.5,66.3,41.2,QB_3_SEASON_GAME_BOOTSTRAP,1195,35,34.1,35.7,NE,away,401872946,2026-09-20T17:00Z,Pittsburgh Steelers at New England Patriots,1,221,1,NFLVERSE_WEEKLY,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
17,2026,REG,2,Regular Season Week 2,00-0033077,Dak Prescott,DAL,ACT,10,4.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yvscmqq1qki8zfsemmcd",TEAM_BLEND,30.6,6.78,209.5,43,2026,218.0,265.8,261.8,294|244|307|70|175,250|268|354|320|376|294|244|307|70|175,319|237|261|264|188|250|268|354|320|376|294|244|307|70|175,175.0,267.8,30.0,34.4,34.0,7.14,7.62,5.15,32.0,6.68,230.8,90.77268256472874,NFL_HISTORY,32.0,32.0,FULL_GAME_WORKLOAD,regular,218.7,103.0,WAS,home,401872944,2026-09-20T20:25Z,Washington Commanders at Dallas Cowboys,1.0,14.0,6.481,6.784,4.613,0.2741,0.14,0.0681,0.0472,0.0172,0.0086,0.0161,1.0,1.0,NEUTRAL,QB1,4.0,9.1,33.9,,,21.6,67.6,247.8,59.7,7.18,0.136,14.4,6.9,9.2,NFLVERSE_WEEKLY_PLUS_3YR_PBP_V6_8,NFLVERSE_3YR_PBP_V6_8,32.0,67.6,6.68,,,100.6,161.1,219.1,276.6,336.5,90.1,ELITE,88.4,VERY HIGH,86.5,VERY HIGH,84.1,VERY HIGH,81.6,VERY HIGH,78.7,HIGH,75.5,HIGH,71.7,HIGH,67.9,SOLID,63.5,SOLID,59.0,LEAN,54.5,LEAN,49.5,COIN FLIP,44.8,COIN FLIP,40.0,LOW,35.7,LOW,31.5,LOW,27.5,LOW,23.8,VERY LOW,20.5,VERY LOW,17.8,VERY LOW,15.0,VERY LOW,12.9,VERY LOW,11.0,VERY LOW,9.4,VERY LOW,8.1,VERY LOW,6.9,VERY LOW,5.9,VERY LOW,5.0,VERY LOW,4.3,VERY LOW,3.6,VERY LOW,99.5,94.4,90.6,81.3,72.2,56.8,QB_3_SEASON_GAME_BOOTSTRAP,1638,43,38.1,40.2,WAS,home,401872944,2026-09-20T20:25Z,Washington Commanders at Dallas Cowboys,1,175,1,NFLVERSE_WEEKLY,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
18,2026,REG,2,Regular Season Week 2,00-0034855,Baker Mayfield,TB,ACT,8,6.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gjb8e69jtt1ffqf1afue",TEAM_BLEND,30.2,6.91,209.7,52,2026,237.4,199.0,219.6,277|145|346|203|216,273|173|41|194|122|277|145|346|203|216,289|379|256|228|152|273|173|41|194|122|277|145|346|203|216,216.0,217.2,30.8,30.2,28.0,7.71,6.42,7.71,30.1,7.15,220.6,82.65542139473935,NFL_HISTORY,30.1,30.1,FULL_GAME_WORKLOAD,regular,216.8,95.6,CLE,home,401872935,2026-09-20T17:00Z,Cleveland Browns at Tampa Bay Buccaneers,1.0,14.8,6.927,7.273,4.945,0.2748,0.1216,0.0528,0.0358,0.0206,0.007,0.0129,1.0,1.0,NEUTRAL,QB1,4.0,9.7,32.2,,,20.0,66.6,204.4,55.7,6.24,-0.097,18.8,8.4,8.4,NFLVERSE_WEEKLY_PLUS_3YR_PBP_V6_8,NFLVERSE_3YR_PBP_V6_8,30.1,66.6,7.15,,,106.3,161.9,217.2,270.8,325.5,91.2,ELITE,89.3,VERY HIGH,87.3,VERY HIGH,84.9,VERY HIGH,82.2,VERY HIGH,79.1,HIGH,75.8,HIGH,72.1,HIGH,68.0,SOLID,63.2,SOLID,58.4,LEAN,53.6,LEAN,48.5,COIN FLIP,43.5,COIN FLIP,38.3,LOW,33.6,LOW,29.2,LOW,25.3,LOW,21.7,VERY LOW,18.5,VERY LOW,15.7,VERY LOW,13.2,VERY LOW,11.1,VERY LOW,9.3,VERY LOW,7.8,VERY LOW,6.7,VERY LOW,5.6,VERY LOW,4.7,VERY LOW,3.9,VERY LOW,3.3,VERY LOW,2.8,VERY LOW,99.5,91.7,84.8,78.2,60.5,45.9,QB_3_SEASON_GAME_BOOTSTRAP,1913,54,35.4,36.1,CLE,home,401872935,2026-09-20T17:00Z,Cleveland Browns at Tampa Bay Buccaneers,1,216,1,NFLVERSE_WEEKLY,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
19,2026,REG,2,Regular Season Week 2,00-0035710,Daniel Jones,IND,ACT,7,17.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ohvvctuykzwrpqer7xgl",TEAM_BLEND,29.8,6.89,204.7,29,2026,229.0,239.1,238.1,342|255|181|201|166,262|212|212|288|272|342|255|181|201|166,174|190|272|316|228|262|212|212|288|272|342|255|181|201|166,166.0,253.4,33.0,32.0,31.0,7.06,7.55,5.35,32.0,6.67,223.0,61.71337043413468,NFL_HISTORY,32.0,32.0,FULL_GAME_WORKLOAD,regular,216.4,74.9,KC,away,401872945,2026-09-21T00:20Z,Indianapolis Colts at Kansas City Chiefs,1.0,16.5,6.432,6.792,4.618,0.3036,0.1278,0.0523,0.0355,0.0158,0.0074,0.0163,1.0,1.0,NEUTRAL,QB1,4.0,8.9,34.9,,,21.1,65.9,216.6,59.4,6.2,-0.027,18.8,7.4,7.7,NFLVERSE_WEEKLY_PLUS_3YR_PBP_V6_8,NFLVERSE_3YR_PBP_V6_8,32.0,65.9,6.67,,,130.6,173.9,216.4,258.4,302.6,94.9,ELITE,93.6,ELITE,92.0,ELITE,90.1,ELITE,87.8,VERY HIGH,84.9,VERY HIGH,81.3,VERY HIGH,77.0,HIGH,72.0,HIGH,66.6,SOLID,60.5,SOLID,54.3,LEAN,47.8,COIN FLIP,41.2,COIN FLIP,35.2,LOW,29.3,LOW,24.2,VERY LOW,20.0,VERY LOW,16.3,VERY LOW,13.3,VERY LOW,10.7,VERY LOW,8.5,VERY LOW,6.8,VERY LOW,5.5,VERY LOW,4.5,VERY LOW,3.7,VERY LOW,2.9,VERY LOW,2.3,VERY LOW,2.0,VERY LOW,1.6,VERY LOW,1.3,VERY LOW,99.5,88.4,82.1,68.8,55.4,40.3,QB_3_SEASON_GAME_BOOTSTRAP,977,29,33.7,33.0,KC,away,401872945,2026-09-21T00:20Z,Indianapolis Colts at Kansas City Chiefs,1,166,1,NFLVERSE_WEEKLY,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
20,2026,REG,2,Regular Season Week 2,00-0036355,Justin Herbert,LAC,ACT,6,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jnkspnntgebegzp4ghve",TEAM_BLEND,29.8,6.95,207.7,47,2026,218.8,202.3,225.1,139|210|300|236|209,227|250|220|81|151|139|210|300|236|209,300|203|166|264|420|227|250|220|81|151|139|210|300|236|209,209.0,232.9,28.6,26.8,27.0,7.61,7.45,7.74,27.9,7.38,216.3,63.85068852092599,NFL_HISTORY,27.9,27.9,FULL_GAME_WORKLOAD,regular,209.2,78.3,LV,home,401872941,2026-09-20T20:05Z,Las Vegas Raiders at Los Angeles Chargers,1.0,16.5,7.119,7.517,5.111,0.3088,0.1468,0.0619,0.045,0.0169,0.0039,0.0096,1.0,1.0,NEUTRAL,QB1,4.0,9.6,30.4,,,18.4,65.8,228.5,62.1,6.56,0.026,14.2,6.8,7.1,NFLVERSE_WEEKLY_PLUS_3YR_PBP_V6_8,NFLVERSE_3YR_PBP_V6_8,27.9,65.8,7.38,,,119.3,165.0,209.0,253.2,297.7,93.5,ELITE,91.9,ELITE,89.9,VERY HIGH,87.5,VERY HIGH,84.6,VERY HIGH,81.3,VERY HIGH,77.2,HIGH,72.5,HIGH,67.3,SOLID,61.5,SOLID,55.4,LEAN,49.4,COIN FLIP,43.2,COIN FLIP,37.2,LOW,31.9,LOW,26.7,LOW,22.1,VERY LOW,18.1,VERY LOW,14.5,VERY LOW,11.8,VERY LOW,9.5,VERY LOW,7.6,VERY LOW,6.2,VERY LOW,5.0,VERY LOW,4.0,VERY LOW,3.3,VERY LOW,2.7,VERY LOW,2.1,VERY LOW,1.8,VERY LOW,1.5,VERY LOW,1.3,VERY LOW,99.5,93.3,89.2,77.9,68.8,53.4,QB_3_SEASON_GAME_BOOTSTRAP,1673,48,34.9,40.0,LV,home,401872941,2026-09-20T20:05Z,Las Vegas Raiders at Los Angeles Chargers,1,209,1,NFLVERSE_WEEKLY,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
