player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,target_line,probability,probability_grade,projected_targets,target_projection_mean,target_projection_median,target_projection_floor,target_projection_ceiling,target_model_std,target_model_source,model_version
00-0039793,AJ Barner,SEA,ARI,TE,2026,REG,2,1,1,94.03,ELITE,4.232,4.272,4.0,1.0,7.0,2.344,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039793,AJ Barner,SEA,ARI,TE,2026,REG,2,2,2,87.33,ELITE,4.232,4.272,4.0,1.0,7.0,2.344,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039793,AJ Barner,SEA,ARI,TE,2026,REG,2,3,3,76.41,ELITE,4.232,4.272,4.0,1.0,7.0,2.344,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039793,AJ Barner,SEA,ARI,TE,2026,REG,2,4,4,61.89,ELITE,4.232,4.272,4.0,1.0,7.0,2.344,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039793,AJ Barner,SEA,ARI,TE,2026,REG,2,5,5,45.49,ELITE,4.232,4.272,4.0,1.0,7.0,2.344,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039793,AJ Barner,SEA,ARI,TE,2026,REG,2,6,6,29.97,ELITE,4.232,4.272,4.0,1.0,7.0,2.344,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039793,AJ Barner,SEA,ARI,TE,2026,REG,2,7,7,17.41,ELITE,4.232,4.272,4.0,1.0,7.0,2.344,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039793,AJ Barner,SEA,ARI,TE,2026,REG,2,8,8,8.71,ELITE,4.232,4.272,4.0,1.0,7.0,2.344,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039793,AJ Barner,SEA,ARI,TE,2026,REG,2,9,9,3.79,ELITE,4.232,4.272,4.0,1.0,7.0,2.344,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039793,AJ Barner,SEA,ARI,TE,2026,REG,2,10,10,1.49,ELITE,4.232,4.272,4.0,1.0,7.0,2.344,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033293,Aaron Jones,MIN,CHI,RB,2026,REG,2,1,1,92.83,ELITE,3.096,3.126,3.0,1.0,5.0,1.738,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033293,Aaron Jones,MIN,CHI,RB,2026,REG,2,2,2,81.63,ELITE,3.096,3.126,3.0,1.0,5.0,1.738,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033293,Aaron Jones,MIN,CHI,RB,2026,REG,2,3,3,63.28,ELITE,3.096,3.126,3.0,1.0,5.0,1.738,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033293,Aaron Jones,MIN,CHI,RB,2026,REG,2,4,4,41.19,ELITE,3.096,3.126,3.0,1.0,5.0,1.738,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033293,Aaron Jones,MIN,CHI,RB,2026,REG,2,5,5,21.32,ELITE,3.096,3.126,3.0,1.0,5.0,1.738,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033293,Aaron Jones,MIN,CHI,RB,2026,REG,2,6,6,8.75,ELITE,3.096,3.126,3.0,1.0,5.0,1.738,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033293,Aaron Jones,MIN,CHI,RB,2026,REG,2,7,7,2.78,ELITE,3.096,3.126,3.0,1.0,5.0,1.738,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033293,Aaron Jones,MIN,CHI,RB,2026,REG,2,8,8,0.68,SOLID,3.096,3.126,3.0,1.0,5.0,1.738,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033293,Aaron Jones,MIN,CHI,RB,2026,REG,2,9,9,0.12,VERY LOW,3.096,3.126,3.0,1.0,5.0,1.738,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0033293,Aaron Jones,MIN,CHI,RB,2026,REG,2,10,10,0.02,VERY LOW,3.096,3.126,3.0,1.0,5.0,1.738,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039890,Adonai Mitchell,NYJ,GB,WR,2026,REG,2,1,1,95.51,ELITE,5.852,5.871,6.0,2.0,10.0,3.075,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039890,Adonai Mitchell,NYJ,GB,WR,2026,REG,2,2,2,91.52,ELITE,5.852,5.871,6.0,2.0,10.0,3.075,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039890,Adonai Mitchell,NYJ,GB,WR,2026,REG,2,3,3,85.52,ELITE,5.852,5.871,6.0,2.0,10.0,3.075,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039890,Adonai Mitchell,NYJ,GB,WR,2026,REG,2,4,4,76.98,ELITE,5.852,5.871,6.0,2.0,10.0,3.075,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039890,Adonai Mitchell,NYJ,GB,WR,2026,REG,2,5,5,66.43,ELITE,5.852,5.871,6.0,2.0,10.0,3.075,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039890,Adonai Mitchell,NYJ,GB,WR,2026,REG,2,6,6,54.21,ELITE,5.852,5.871,6.0,2.0,10.0,3.075,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039890,Adonai Mitchell,NYJ,GB,WR,2026,REG,2,7,7,41.67,ELITE,5.852,5.871,6.0,2.0,10.0,3.075,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0039890,Adonai Mitchell,NYJ,GB,WR,2026,REG,2,8,8,29.93,ELITE,5.852,5.871,6.0,2.0,10.0,3.075,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
