rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,roster_status,years_exp,jersey_number,headshot_url,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,data_through_season,last_5_avg,last_10_avg,last_15_avg,season_avg,prior_season_avg,last_5_attempts,last_10_attempts,season_attempts,last_5_ypa,last_10_ypa,season_ypa,normal_attempts,projected_ypa,baseline_yards,player_std,projection_source,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,preseason_game_plan_status,preseason_game_plan_note,projected_passing_yards,model_std,preseason_rotation_factor,expected_pressure_rate,pressure_adjusted_ypa,clean_pocket_ypa,under_pressure_ypa,depth_matchup_short_0_4,depth_matchup_short_5_9,depth_matchup_intermediate_10_14,depth_matchup_intermediate_15_19,depth_matchup_deep_20_24,depth_matchup_deep_25_29,depth_matchup_deep_30_plus,game_script_volume_factor,game_script_efficiency_factor,game_script_label,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,prob_100_plus,grade_100_plus,prob_110_plus,grade_110_plus,prob_120_plus,grade_120_plus,prob_130_plus,grade_130_plus,prob_140_plus,grade_140_plus,prob_150_plus,grade_150_plus,prob_160_plus,grade_160_plus,prob_170_plus,grade_170_plus,prob_180_plus,grade_180_plus,prob_190_plus,grade_190_plus,prob_200_plus,grade_200_plus,prob_210_plus,grade_210_plus,prob_220_plus,grade_220_plus,prob_230_plus,grade_230_plus,prob_240_plus,grade_240_plus,prob_250_plus,grade_250_plus,prob_260_plus,grade_260_plus,prob_270_plus,grade_270_plus,prob_280_plus,grade_280_plus,prob_290_plus,grade_290_plus,prob_300_plus,grade_300_plus,prob_310_plus,grade_310_plus,prob_320_plus,grade_320_plus,prob_330_plus,grade_330_plus,prob_340_plus,grade_340_plus,prob_350_plus,grade_350_plus,prob_360_plus,grade_360_plus,prob_370_plus,grade_370_plus,prob_380_plus,grade_380_plus,prob_390_plus,grade_390_plus,prob_400_plus,grade_400_plus,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,pass_depth_game_sample,pass_depth_avg_hist_attempts,pass_depth_avg_longest_completion,opponent,home_away,game_id,game_date,game_name
25,2026,PRE,3,Preseason Week 3,00-0040906,Garrett Nussmeier,KC,ACT,0,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uyidfkzfhuqaks3pmdeo",TEAM_BLEND,30.5,6.63,205.2,0,,,,,,,,,,,,,30.5,6.63,205.2,76.608431349728,TEAM_PRIOR_NO_NFL_HISTORY,30.5,22.0,AUTO_PRESEASON_USAGE,rookie,,,145.9,72.9,1.0,0.0,6.631,6.631,4.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,52.4,96.7,145.8,195.2,239.5,73.6,HIGH,68.8,SOLID,63.7,SOLID,58.6,LEAN,53.1,LEAN,47.7,COIN FLIP,42.4,COIN FLIP,37.2,LOW,32.1,LOW,27.3,LOW,22.9,VERY LOW,19.0,VERY LOW,15.5,VERY LOW,12.5,VERY LOW,9.9,VERY LOW,7.6,VERY LOW,5.8,VERY LOW,4.4,VERY LOW,3.2,VERY LOW,2.4,VERY LOW,1.7,VERY LOW,1.2,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.5,82.3,77.8,69.8,59.2,45.6,TEAM_3_SEASON_GAME_BOOTSTRAP,2192,58,37.8,37.7,SEA,home,2026_PRE_W3_SEA_KC,,SEA at KC
26,2026,PRE,3,Preseason Week 3,00-0041149,Haynes King,CAR,ACT,0,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qcloyq4ahyh0hfzo6i0i",TEAM_BLEND,29.5,6.6,195.7,0,,,,,,,,,,,,,29.5,6.6,195.7,73.01381465694534,TEAM_PRIOR_NO_NFL_HISTORY,29.5,22.0,AUTO_PRESEASON_USAGE,rookie,,,145.1,70.6,1.0,0.0,6.597,6.597,4.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,54.5,97.7,145.1,192.3,235.0,73.9,HIGH,69.0,SOLID,63.9,SOLID,58.5,LEAN,53.0,LEAN,47.2,COIN FLIP,41.5,COIN FLIP,36.1,LOW,30.8,LOW,26.0,LOW,21.6,VERY LOW,17.7,VERY LOW,14.3,VERY LOW,11.3,VERY LOW,8.8,VERY LOW,6.6,VERY LOW,5.0,VERY LOW,3.7,VERY LOW,2.7,VERY LOW,2.0,VERY LOW,1.4,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.5,80.1,73.2,64.5,45.3,32.1,TEAM_3_SEASON_GAME_BOOTSTRAP,1832,52,35.2,32.2,HOU,home,2026_PRE_W3_HOU_CAR,,HOU at CAR
27,2026,PRE,3,Preseason Week 3,00-0033319,Nick Mullens,JAX,ACT,9,14.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xrpcaavzkqoq1ybqthgm",TEAM_BLEND,29.9,6.86,205.6,5,2023.0,261.2,261.2,261.2,261.2,,29.6,29.6,29.6,8.22,8.22,8.22,29.6,8.06,261.2,154.98128919324424,NFL_HISTORY,29.6,18.0,AUTO_PRESEASON_USAGE,veteran_backup,,,145.1,107.9,1.0,0.0,8.06,8.06,5.481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,6.9,72.9,145.3,218.3,283.9,66.3,SOLID,62.8,SOLID,59.2,LEAN,55.7,LEAN,52.0,LEAN,48.2,COIN FLIP,44.5,COIN FLIP,40.9,COIN FLIP,37.3,LOW,33.9,LOW,30.6,LOW,27.4,LOW,24.5,VERY LOW,21.7,VERY LOW,19.0,VERY LOW,16.7,VERY LOW,14.5,VERY LOW,12.5,VERY LOW,10.6,VERY LOW,9.0,VERY LOW,7.6,VERY LOW,6.4,VERY LOW,5.3,VERY LOW,4.5,VERY LOW,3.6,VERY LOW,2.9,VERY LOW,2.3,VERY LOW,1.9,VERY LOW,1.5,VERY LOW,1.1,VERY LOW,0.9,VERY LOW,73.3,64.1,52.4,50.1,32.8,20.0,QB_3_SEASON_GAME_BOOTSTRAP,165,9,18.3,24.7,TB,home,2026_PRE_W3_TB_JAX,,TB at JAX
28,2026,PRE,3,Preseason Week 3,00-0039677,Sam Hartman,WAS,ACT,2,15.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mj9bvcyihsspmkwcbral",TEAM_BLEND,28.2,6.88,194.2,0,,,,,,,,,,,,,28.2,6.88,194.2,70.19315581302358,TEAM_PRIOR_NO_NFL_HISTORY,28.2,21.0,AUTO_PRESEASON_USAGE,young_backup,,,144.4,67.8,1.0,0.0,6.877,6.877,4.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,58.1,99.2,144.9,190.5,231.4,74.6,HIGH,69.6,SOLID,64.3,SOLID,58.6,LEAN,52.8,LEAN,47.0,COIN FLIP,41.2,COIN FLIP,35.5,LOW,30.2,LOW,25.2,LOW,20.8,VERY LOW,16.8,VERY LOW,13.4,VERY LOW,10.4,VERY LOW,7.9,VERY LOW,6.0,VERY LOW,4.4,VERY LOW,3.3,VERY LOW,2.3,VERY LOW,1.6,VERY LOW,1.1,VERY LOW,0.7,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.5,82.3,79.0,69.5,58.5,39.8,TEAM_3_SEASON_GAME_BOOTSTRAP,1913,54,35.4,37.5,BAL,away,2026_PRE_W3_WAS_BAL,,WAS at BAL
29,2026,PRE,3,Preseason Week 3,00-0034869,Sam Darnold,SEA,ACT,8,14.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s5t8m6bhedjwwtfw3ild",TEAM_BLEND,29.1,7.24,209.5,36,2025.0,227.0,229.4,240.2,238.1,254.1,30.6,28.5,28.1,7.37,8.61,8.87,29.4,8.01,235.1,59.92849595566856,NFL_HISTORY,29.4,18.0,AUTO_PRESEASON_USAGE,veteran_backup,,,144.1,49.1,1.0,0.0,8.008,8.008,5.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,80.8,111.0,144.2,177.0,206.9,81.5,VERY HIGH,75.7,HIGH,68.9,SOLID,61.3,SOLID,53.4,LEAN,45.4,COIN FLIP,37.4,LOW,29.9,LOW,23.1,VERY LOW,17.3,VERY LOW,12.7,VERY LOW,8.9,VERY LOW,6.0,VERY LOW,3.9,VERY LOW,2.4,VERY LOW,1.5,VERY LOW,0.9,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,78.8,76.6,74.4,64.1,48.9,35.1,QB_3_SEASON_GAME_BOOTSTRAP,1299,44,29.5,37.0,KC,away,2026_PRE_W3_SEA_KC,,SEA at KC
30,2026,PRE,3,Preseason Week 3,00-0039534,Carter Bradley,JAX,ACT,2,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kw2ogega4ojum3hyecya",TEAM_BLEND,29.9,6.86,205.6,0,,,,,,,,,,,,,29.9,6.86,205.6,67.62900909900132,TEAM_PRIOR_NO_NFL_HISTORY,29.9,21.0,AUTO_PRESEASON_USAGE,young_backup,,,144.0,63.4,1.0,0.0,6.856,6.856,4.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,62.5,101.0,143.9,186.7,225.7,75.5,HIGH,70.3,HIGH,64.6,SOLID,58.6,LEAN,52.6,LEAN,46.2,COIN FLIP,40.1,COIN FLIP,34.1,LOW,28.5,LOW,23.3,VERY LOW,18.9,VERY LOW,14.9,VERY LOW,11.6,VERY LOW,8.9,VERY LOW,6.7,VERY LOW,4.9,VERY LOW,3.4,VERY LOW,2.4,VERY LOW,1.7,VERY LOW,1.1,VERY LOW,0.7,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.5,82.2,79.2,71.9,51.9,39.2,TEAM_3_SEASON_GAME_BOOTSTRAP,1887,52,36.3,38.6,TB,home,2026_PRE_W3_TB_JAX,,TB at JAX
31,2026,PRE,3,Preseason Week 3,00-0040203,Will Howard,PIT,ACT,1,18.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nao2wr6j5irfvk43ssgy",TEAM_BLEND,29.5,6.83,201.6,0,,,,,,,,,,,,,29.5,6.83,201.6,68.74960730582022,TEAM_PRIOR_NO_NFL_HISTORY,29.5,21.0,AUTO_PRESEASON_USAGE,young_backup,,,143.5,65.0,1.0,0.0,6.834,6.834,4.647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,60.6,99.6,143.5,187.2,226.8,74.8,HIGH,69.9,SOLID,64.2,SOLID,58.3,LEAN,52.2,LEAN,46.0,COIN FLIP,39.9,LOW,34.1,LOW,28.6,LOW,23.6,VERY LOW,19.1,VERY LOW,15.2,VERY LOW,11.9,VERY LOW,9.1,VERY LOW,6.9,VERY LOW,5.1,VERY LOW,3.8,VERY LOW,2.6,VERY LOW,1.8,VERY LOW,1.3,VERY LOW,0.8,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.5,82.2,77.3,67.3,55.6,42.7,TEAM_3_SEASON_GAME_BOOTSTRAP,1789,54,33.1,38.4,BUF,away,2026_PRE_W3_PIT_BUF,,PIT at BUF
32,2026,PRE,3,Preseason Week 3,00-0040222,Cam Miller,MIA,ACT,1,15.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kzi3uhytwrzsdjgi8vel",TEAM_BLEND,29.2,6.82,200.4,0,,,,,,,,,,,,,29.2,6.82,200.4,73.3078371167153,TEAM_PRIOR_NO_NFL_HISTORY,29.2,21.0,AUTO_PRESEASON_USAGE,young_backup,,,143.3,69.6,1.0,0.0,6.824,6.824,4.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,53.9,96.4,142.8,189.8,232.0,73.3,HIGH,68.3,SOLID,63.0,SOLID,57.3,LEAN,51.7,LEAN,45.8,COIN FLIP,40.1,COIN FLIP,34.7,LOW,29.7,LOW,24.9,VERY LOW,20.6,VERY LOW,16.7,VERY LOW,13.4,VERY LOW,10.5,VERY LOW,8.2,VERY LOW,6.1,VERY LOW,4.7,VERY LOW,3.5,VERY LOW,2.5,VERY LOW,1.8,VERY LOW,1.3,VERY LOW,0.8,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.5,82.4,80.7,69.2,46.2,32.6,TEAM_3_SEASON_GAME_BOOTSTRAP,1799,52,34.6,36.2,ATL,home,2026_PRE_W3_ATL_MIA,,ATL at MIA
33,2026,PRE,3,Preseason Week 3,00-0041056,Cade Klubnik,NYJ,ACT,0,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sqsxavkryojbysy4kq85",TEAM_BLEND,28.6,6.47,188.0,0,,,,,,,,,,,,,28.6,6.47,188.0,74.90700657764373,TEAM_PRIOR_NO_NFL_HISTORY,28.6,22.0,AUTO_PRESEASON_USAGE,rookie,,,142.3,73.6,1.0,0.0,6.468,6.468,4.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,47.6,92.8,142.7,192.3,237.1,71.8,HIGH,67.1,SOLID,62.1,SOLID,56.9,LEAN,51.4,LEAN,46.1,COIN FLIP,40.8,COIN FLIP,35.5,LOW,30.6,LOW,26.0,LOW,21.8,VERY LOW,18.1,VERY LOW,14.7,VERY LOW,11.8,VERY LOW,9.3,VERY LOW,7.2,VERY LOW,5.5,VERY LOW,4.1,VERY LOW,3.1,VERY LOW,2.3,VERY LOW,1.6,VERY LOW,1.2,VERY LOW,0.8,VERY LOW,0.5,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,82.5,81.8,72.4,59.2,44.3,27.1,TEAM_3_SEASON_GAME_BOOTSTRAP,1879,51,36.8,31.4,NYG,home,2026_PRE_W3_NYG_NYJ,,NYG at NYJ
34,2026,PRE,3,Preseason Week 3,00-0039910,Jayden Daniels,WAS,ACT,2,5.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vrdweg39v1ay4zoc0lgp",TEAM_BLEND,28.2,6.88,194.2,23,2025.0,165.8,178.5,192.3,180.3,222.6,23.2,27.5,26.9,6.99,6.36,6.78,25.5,6.76,182.4,63.236504698114615,NFL_HISTORY,25.5,21.0,AUTO_PRESEASON_USAGE,young_backup,,,142.0,58.9,1.0,0.0,6.763,6.763,4.599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,66.7,102.4,142.4,182.3,217.6,76.3,HIGH,70.8,HIGH,64.8,SOLID,58.4,LEAN,51.6,LEAN,44.9,COIN FLIP,38.4,LOW,32.2,LOW,26.3,LOW,21.0,VERY LOW,16.4,VERY LOW,12.5,VERY LOW,9.3,VERY LOW,6.8,VERY LOW,4.9,VERY LOW,3.4,VERY LOW,2.3,VERY LOW,1.5,VERY LOW,1.0,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,79.4,79.3,72.8,65.3,57.4,41.5,QB_3_SEASON_GAME_BOOTSTRAP,857,27,31.7,38.4,BAL,away,2026_PRE_W3_WAS_BAL,,WAS at BAL
35,2026,PRE,3,Preseason Week 3,00-0040211,Graham Mertz,HOU,ACT,1,18.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dkzhjatulzdzzvf5rpm3",TEAM_BLEND,29.7,6.74,200.6,0,,,,,,,,,,,,,29.7,6.74,200.6,69.37214936962758,TEAM_PRIOR_NO_NFL_HISTORY,29.7,21.0,AUTO_PRESEASON_USAGE,young_backup,,,141.5,65.4,1.0,0.0,6.74,6.74,4.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,57.7,97.5,141.5,185.4,225.2,73.8,HIGH,68.5,SOLID,62.8,SOLID,57.0,LEAN,50.9,LEAN,44.8,COIN FLIP,38.9,LOW,33.1,LOW,27.7,LOW,22.8,VERY LOW,18.5,VERY LOW,14.6,VERY LOW,11.4,VERY LOW,8.8,VERY LOW,6.6,VERY LOW,4.8,VERY LOW,3.5,VERY LOW,2.5,VERY LOW,1.8,VERY LOW,1.2,VERY LOW,0.8,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.5,82.3,79.7,70.0,55.6,41.6,TEAM_3_SEASON_GAME_BOOTSTRAP,2098,57,36.8,40.4,CAR,away,2026_PRE_W3_HOU_CAR,,HOU at CAR
36,2026,PRE,3,Preseason Week 3,00-0041092,Taylen Green,CLE,ACT,0,15.0,,TEAM_BLEND,30.4,6.42,196.0,0,,,,,,,,,,,,,30.4,6.42,196.0,81.42517894021634,TEAM_PRIOR_NO_NFL_HISTORY,30.4,22.0,AUTO_PRESEASON_USAGE,rookie,,,141.2,77.6,1.0,0.0,6.417,6.417,4.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,42.2,88.7,140.7,193.3,240.7,70.1,HIGH,65.4,SOLID,60.5,SOLID,55.4,LEAN,50.4,LEAN,45.1,COIN FLIP,40.1,COIN FLIP,35.3,LOW,30.7,LOW,26.4,LOW,22.2,VERY LOW,18.6,VERY LOW,15.4,VERY LOW,12.6,VERY LOW,10.2,VERY LOW,8.0,VERY LOW,6.3,VERY LOW,4.8,VERY LOW,3.6,VERY LOW,2.7,VERY LOW,2.0,VERY LOW,1.5,VERY LOW,1.0,VERY LOW,0.7,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,82.5,81.8,77.1,61.5,44.1,30.9,TEAM_3_SEASON_GAME_BOOTSTRAP,2067,52,39.8,35.2,NE,home,2026_PRE_W3_NE_CLE,,NE at CLE
37,2026,PRE,3,Preseason Week 3,00-0032268,Marcus Mariota,WAS,ACT,11,8.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b9ribxqudeehvmjlw0va",TEAM_BLEND,28.2,6.88,194.2,12,2025.0,205.2,182.6,181.6,185.0,183.0,27.0,24.1,24.8,8.11,7.85,7.73,25.9,7.81,190.9,68.00483760466776,NFL_HISTORY,25.9,18.0,AUTO_PRESEASON_USAGE,veteran_backup,,,140.6,57.1,1.0,0.0,7.811,7.811,5.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,67.1,102.0,140.6,179.1,213.8,76.0,HIGH,70.3,HIGH,64.0,SOLID,57.3,LEAN,50.4,LEAN,43.5,COIN FLIP,36.6,LOW,30.3,LOW,24.4,VERY LOW,19.3,VERY LOW,14.9,VERY LOW,11.2,VERY LOW,8.2,VERY LOW,5.9,VERY LOW,4.1,VERY LOW,2.7,VERY LOW,1.8,VERY LOW,1.2,VERY LOW,0.7,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,77.1,77.0,70.2,59.2,45.2,23.2,QB_3_SEASON_GAME_BOOTSTRAP,320,15,21.3,29.1,BAL,away,2026_PRE_W3_WAS_BAL,,WAS at BAL
38,2026,PRE,3,Preseason Week 3,00-0038550,Hendon Hooker,TEN,ACT,3,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bdky2q0tndjhtrgo2fgt",TEAM_BLEND,29.6,6.68,196.5,0,,,,,,,,,,,,,29.6,6.68,196.5,68.28192337549851,TEAM_PRIOR_NO_NFL_HISTORY,29.6,21.0,AUTO_PRESEASON_USAGE,young_backup,,,140.3,64.4,1.0,0.0,6.682,6.682,4.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,57.8,96.9,140.3,183.9,222.9,73.4,HIGH,68.3,SOLID,62.4,SOLID,56.3,LEAN,50.2,LEAN,44.1,COIN FLIP,38.1,LOW,32.3,LOW,27.0,LOW,22.1,VERY LOW,17.8,VERY LOW,14.0,VERY LOW,10.8,VERY LOW,8.2,VERY LOW,6.1,VERY LOW,4.5,VERY LOW,3.2,VERY LOW,2.3,VERY LOW,1.6,VERY LOW,1.1,VERY LOW,0.7,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.5,82.1,78.2,70.0,54.2,37.2,TEAM_3_SEASON_GAME_BOOTSTRAP,1770,51,34.7,36.7,CHI,home,2026_PRE_W3_CHI_TEN,,CHI at TEN
39,2026,PRE,3,Preseason Week 3,00-0039398,Joe Milton III,DAL,ACT,2,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tsj9lobse1gxzanf39dt",TEAM_BLEND,30.7,6.8,210.8,2,2025.0,157.0,157.0,157.0,73.0,241.0,21.0,21.0,13.0,6.96,6.96,5.62,20.5,6.65,152.8,118.79393923933998,LIMITED_NFL_HISTORY,20.5,21.0,AUTO_PRESEASON_USAGE,young_backup,,,139.6,116.9,1.0,0.0,6.647,6.647,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,0.0,59.8,139.8,218.5,289.6,63.1,SOLID,59.9,LEAN,56.5,LEAN,53.3,LEAN,49.9,COIN FLIP,46.5,COIN FLIP,43.2,COIN FLIP,39.8,LOW,36.5,LOW,33.3,LOW,30.3,LOW,27.3,LOW,24.6,VERY LOW,22.0,VERY LOW,19.6,VERY LOW,17.3,VERY LOW,15.2,VERY LOW,13.3,VERY LOW,11.6,VERY LOW,9.9,VERY LOW,8.5,VERY LOW,7.3,VERY LOW,6.2,VERY LOW,5.1,VERY LOW,4.3,VERY LOW,3.6,VERY LOW,3.0,VERY LOW,2.4,VERY LOW,1.9,VERY LOW,1.6,VERY LOW,1.3,VERY LOW,82.5,82.2,79.2,69.6,57.6,44.5,TEAM_3_SEASON_GAME_BOOTSTRAP,2057,52,39.6,39.9,NO,home,2026_PRE_W3_NO_DAL,,NO at DAL
40,2026,PRE,3,Preseason Week 3,00-0039150,Bryce Young,CAR,ACT,3,9.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qy1lfhlzhiacsyzzm1j7",TEAM_BLEND,29.5,6.6,195.7,44,2025.0,176.0,186.1,190.5,188.2,195.8,27.0,27.9,29.9,6.58,6.43,6.2,28.0,6.46,184.9,93.45765412520761,NFL_HISTORY,28.0,21.0,AUTO_PRESEASON_USAGE,young_backup,,,135.6,76.5,1.0,0.0,6.459,6.459,4.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,37.9,84.1,135.4,186.9,233.7,68.0,SOLID,63.1,SOLID,58.0,LEAN,52.8,LEAN,47.6,COIN FLIP,42.4,COIN FLIP,37.3,LOW,32.5,LOW,27.9,LOW,23.7,VERY LOW,19.9,VERY LOW,16.5,VERY LOW,13.5,VERY LOW,10.9,VERY LOW,8.6,VERY LOW,6.7,VERY LOW,5.1,VERY LOW,3.9,VERY LOW,2.9,VERY LOW,2.2,VERY LOW,1.6,VERY LOW,1.1,VERY LOW,0.8,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,80.8,77.9,70.1,60.4,43.6,29.4,QB_3_SEASON_GAME_BOOTSTRAP,1554,47,33.1,31.1,HOU,home,2026_PRE_W3_HOU_CAR,,HOU at CAR
41,2026,PRE,3,Preseason Week 3,00-0034857,Josh Allen,BUF,ACT,8,17.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/servs1fpsynfxep4rz2z",TEAM_BLEND,29.1,7.09,208.5,49,2025.0,191.8,227.1,218.3,229.2,233.2,26.6,28.2,28.8,7.11,8.03,7.93,27.7,7.53,215.2,67.87908643150404,NFL_HISTORY,27.7,18.0,AUTO_PRESEASON_USAGE,veteran_backup,,,135.5,56.1,1.0,0.0,7.529,7.529,5.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,63.4,97.5,135.1,173.1,206.8,73.5,HIGH,67.3,SOLID,60.7,SOLID,53.7,LEAN,46.5,COIN FLIP,39.6,LOW,32.9,LOW,26.8,LOW,21.1,VERY LOW,16.4,VERY LOW,12.3,VERY LOW,9.1,VERY LOW,6.5,VERY LOW,4.6,VERY LOW,3.1,VERY LOW,2.0,VERY LOW,1.3,VERY LOW,0.8,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,82.5,82.1,79.4,68.4,57.2,44.3,QB_3_SEASON_GAME_BOOTSTRAP,1850,56,33.0,39.4,PIT,home,2026_PRE_W3_PIT_BUF,,PIT at BUF
