Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,EV50,Max Exit Velocity,Fast Swing Rate %,Squared-Up Rate %,Blast Rate %,Ideal Attack Angle %,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,L30 Barrel %,L30 Pull Air %,L30 EV50,L30 xSLG on Contact,Fast Swing Source,Squared-Up Source,Blast Source,Ideal Attack Angle Source,Barrels per PA,Barrels per PA %,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Pitch Type Matchup Score,Pitch Mix Coverage %,Weighted xSLG vs Pitch Mix,Weighted Barrel % vs Pitch Mix,Primary Pitch Matchup,Effective Batter Side,Handedness Matchup,Handedness Matchup Score,Hitter Split PA,Hitter Split AVG,Hitter Split OBP,Hitter Split SLG,Hitter Split OPS,Hitter Split HR,Hitter Split BB,Hitter Split K,Hitter HR/PA vs Hand,Hitter Barrel % vs Hand,Hitter xSLG vs Hand,Pitcher Split PA Allowed,Pitcher HR/PA Allowed vs Side,Pitcher Barrel % Allowed vs Side,Pitcher xSLG Allowed vs Side,Career BvP PA,Career BvP AB,Career BvP H,Career BvP Results,Career BvP AVG,Career BvP OBP,Career BvP SLG,Career BvP OPS,Career BvP HR,Career BvP BB,Career BvP K,Hitter vs Pitcher Matchup Score,Hitter vs Pitcher Matchup Label,Hitter vs Pitcher Matchup Band,Career BvP Component Score,Recent Pitch Mix Games,Recent Pitch Mix Total,Weather Condition,Temperature F,Wind,Wind MPH,Roof Closed,Park HR Factor,Park Multiplier,Weather Multiplier,Environment Score,Pitch Fit Multiplier,Pitcher Contact Multiplier,Hitter Power Component,Hitter Power Primary Metric,Hitter Power Secondary Metric,Hitter Power Third Metric,Hitter Power Fourth Metric,Handedness Matchup Component,Pitcher Vulnerability Component,Pitch Type Component,Recent Power Component,Environment Component,Lineup Component,HR Target Score,Target Score Probability %,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality,SP Statcast BBE,SP Barrel % Allowed,SP Hard Hit % Allowed,SP Fly Ball % Allowed,SP Pull Air % Allowed,SP Sweet Spot % Allowed,SP Avg EV Allowed,SP EV50 Allowed,SP Max EV Allowed,SP xSLG on Contact Allowed,SP Statcast HR Allowed,Recent Pitch Mix Source,Recent Pitch 1 Name,Recent Pitch 1 Usage %,Recent Pitch 1 Count,Recent Pitch 2 Name,Recent Pitch 2 Usage %,Recent Pitch 2 Count,Recent Pitch 3 Name,Recent Pitch 3 Usage %,Recent Pitch 3 Count,Recent Pitch 4 Name,Recent Pitch 4 Usage %,Recent Pitch 4 Count,Recent Pitch 5 Name,Recent Pitch 5 Usage %,Recent Pitch 5 Count,Recent Pitch 6 Name,Recent Pitch 6 Usage %,Recent Pitch 6 Count,Recent Pitch 7 Name,Recent Pitch 7 Usage %,Recent Pitch 7 Count,Recent Pitch 8 Name,Recent Pitch 8 Usage %,Recent Pitch 8 Count
1,2026-09-25,823489,2026-09-25T20:05:00Z,Scheduled,Yankee Stadium,Baltimore Orioles @ New York Yankees,Away,691723,Coby Mayo,Baltimore Orioles,New York Yankees,3B,R,No,,130,444,404,91,18,3,24,63,63,34,5,134,0.225,0.293,0.463,0.756,11,46,41,10,1,0.244,0.0217,25,99,88,24,7,0.273,0.0707,563,138,9.4,28.6,48.3,26.8,24.9,17.4,25.9,51.6,30.4,10.5,7.1,10.5,48.1,84.1,21.6,0.766,74.1,98.0,115.1,55.4,14.3,13.3,46.9,53.5,Average,3.0,Pull Power,A-,Elevated power plane,53.5,Average,1.01,Good,10.1,47.1,97.3,0.849,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,45.96,21.96,Strong positive regression,Average Pull Power profile. 9.4% barrel rate; 84.1 mph average exit velocity; 25.9% air-ball rate; 51.6% pull-air rate; 10.5% HR-launch rate.,0.0541,0.0494,4.05,24,7,16.8,1.43,142.6,Above normal drought,694341.0,Brendan Beck,R,RHB vs RHP,3,1,7.2,8.22,1.57,4,4.7,5.87,5.87,70.5,100.0,0.781,10.7,4-Seam Fastball,R,RHB vs RHP,44.8,284,0.177,0.243,0.327,0.57,8,20,93,0.0282,7.0,0.576,18,0.1667,14.3,0.714,0,0,0,0/0,,,,,0,0,0,54.8,Neutral Matchup,Average,50.0,3,149,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.041,1.075,62.8,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,44.8,88.6,70.5,62.0,64.4,45.0,70.8,16.42,0.955,1.059,0.985,1.0,1.01,1.01,1.035,18.54,19.32,84.9,47.5,C-,Lineup unconfirmed,40.0,15.0,37.5,30.0,65.0,47.5,88.8,99.5,110.9,0.774,4.0,Pitch-level Statcast · last 5 MLB games,4-Seam Fastball,47.651006711409394,71.0,Slider,33.557046979865774,50.0,Split-Finger,6.7114093959731544,10.0,Curveball,6.040268456375839,9.0,Sinker,6.040268456375839,9.0,,,,,,,,,
2,2026-09-25,823489,2026-09-25T20:05:00Z,Scheduled,Yankee Stadium,Baltimore Orioles @ New York Yankees,Away,624413,Pete Alonso,Baltimore Orioles,New York Yankees,1B,R,No,,159,690,594,157,24,0,41,96,110,79,12,167,0.264,0.359,0.512,0.871,11,48,41,10,7,0.244,0.1458,26,114,94,19,9,0.202,0.0789,882,139,9.5,32.2,42.7,27.8,29.4,15.0,24.8,38.9,31.8,10.0,5.0,10.0,55.6,86.8,22.0,0.798,72.9,98.5,114.0,42.7,14.0,13.8,54.1,50.4,Average,3.0,Contact-First Profile,A-,Elevated power plane,50.4,Average,1.001,Good,10.8,41.9,98.0,0.842,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,72.58,31.58,Strong positive regression,Average Contact-First Profile profile. 9.5% barrel rate; 86.8 mph average exit velocity; 24.8% air-ball rate; 38.9% pull-air rate; 10.0% HR-launch rate.,0.0594,0.0554,4.15,3,1,14.5,0.21,20.7,Very recent HR,694341.0,Brendan Beck,R,RHB vs RHP,3,1,7.2,8.22,1.57,4,4.7,5.87,5.87,71.2,100.0,0.821,9.0,4-Seam Fastball,R,RHB vs RHP,63.4,480,0.271,0.371,0.546,0.917,32,59,117,0.0667,8.3,0.797,18,0.1667,14.3,0.714,0,0,0,0/0,,,,,0,0,0,63.4,Slight Hitter Advantage,Above average,50.0,3,149,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.042,1.075,61.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,63.4,88.6,71.2,60.1,64.4,45.0,70.1,15.78,1.341,1.059,0.985,1.0,1.001,1.001,0.98,21.05,23.52,85.0,52.8,C,Lineup unconfirmed,40.0,15.0,37.5,30.0,65.0,47.5,88.8,99.5,110.9,0.774,4.0,Pitch-level Statcast · last 5 MLB games,4-Seam Fastball,47.651006711409394,71.0,Slider,33.557046979865774,50.0,Split-Finger,6.7114093959731544,10.0,Curveball,6.040268456375839,9.0,Sinker,6.040268456375839,9.0,,,,,,,,,
3,2026-09-25,823489,2026-09-25T20:05:00Z,Scheduled,Yankee Stadium,Baltimore Orioles @ New York Yankees,Away,681297,Colton Cowser,Baltimore Orioles,New York Yankees,CF,L,No,,141,387,337,75,9,0,13,40,40,45,1,121,0.223,0.313,0.365,0.678,10,32,29,9,0,0.31,0.0,24,72,64,14,1,0.219,0.0139,458,92,4.7,24.3,47.0,27.8,25.2,12.7,24.4,45.0,32.5,6.4,4.0,6.4,45.5,81.3,16.5,0.578,71.6,94.4,113.1,41.4,11.1,10.0,38.4,35.6,Below Average,2.5,Pull Power,A,Excellent HR swing plane,35.6,Below Average,0.96,Good,3.3,50.0,94.5,0.506,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,20.13,7.13,Strong positive regression,Below Average Pull Power profile. 4.7% barrel rate; 81.3 mph average exit velocity; 24.4% air-ball rate; 45.0% pull-air rate; 6.4% HR-launch rate.,0.0336,0.0332,4.05,56,21,25.9,2.16,216.0,Very long drought,694341.0,Brendan Beck,R,LHB vs RHP,3,1,7.2,8.22,1.57,4,4.7,5.87,5.87,59.0,100.0,0.753,6.3,4-Seam Fastball,L,LHB vs RHP,48.4,323,0.235,0.328,0.395,0.723,12,39,93,0.0372,6.2,0.658,16,0.0625,15.8,0.858,0,0,0,0/0,,,,,0,0,0,52.4,Neutral Matchup,Average,50.0,3,149,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.018,1.075,51.5,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,48.4,88.6,59.0,44.0,64.4,45.0,63.1,10.49,0.758,1.059,1.025,1.0,0.96,0.96,1.06,12.79,11.47,82.8,36.8,D+,Lineup unconfirmed,40.0,15.0,37.5,30.0,65.0,47.5,88.8,99.5,110.9,0.774,4.0,Pitch-level Statcast · last 5 MLB games,4-Seam Fastball,47.651006711409394,71.0,Slider,33.557046979865774,50.0,Split-Finger,6.7114093959731544,10.0,Curveball,6.040268456375839,9.0,Sinker,6.040268456375839,9.0,,,,,,,,,
4,2026-09-25,823489,2026-09-25T20:05:00Z,Scheduled,Yankee Stadium,Baltimore Orioles @ New York Yankees,Away,687952,Christian Encarnacion-Strand,Baltimore Orioles,New York Yankees,3B,R,No,,57,208,190,52,12,0,11,25,39,11,4,54,0.274,0.324,0.511,0.835,11,41,37,11,3,0.297,0.0732,26,94,84,24,4,0.286,0.0426,309,128,6.8,19.5,46.0,24.4,29.6,15.8,26.4,53.9,30.6,6.1,4.1,6.1,50.0,81.6,21.4,0.649,71.7,93.4,111.3,29.7,10.2,4.9,51.0,37.8,Below Average,2.5,Pull Power,A-,Elevated power plane,37.8,Below Average,0.966,Good,6.2,54.3,92.4,0.58,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,18.0,7.0,Strong positive regression,Below Average Pull Power profile. 6.8% barrel rate; 81.6 mph average exit velocity; 26.4% air-ball rate; 53.9% pull-air rate; 6.1% HR-launch rate.,0.0529,0.0452,4.15,0,0,17.3,0.0,0.0,Very recent HR,694341.0,Brendan Beck,R,RHB vs RHP,3,1,7.2,8.22,1.57,4,4.7,5.87,5.87,41.0,100.0,0.572,6.4,4-Seam Fastball,R,RHB vs RHP,41.4,129,0.264,0.295,0.438,0.733,4,3,30,0.031,4.5,0.533,18,0.1667,14.3,0.714,0,0,0,0/0,,,,,0,0,0,43.0,Slight Pitcher Advantage,Below average,50.0,3,149,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,0.982,1.075,54.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,41.4,88.6,41.0,48.3,64.4,45.0,61.3,9.48,1.125,1.059,0.985,1.0,0.966,0.966,0.98,17.48,14.99,74.4,37.2,D+,Lineup unconfirmed,40.0,15.0,37.5,30.0,65.0,47.5,88.8,99.5,110.9,0.774,4.0,Pitch-level Statcast · last 5 MLB games,4-Seam Fastball,47.651006711409394,71.0,Slider,33.557046979865774,50.0,Split-Finger,6.7114093959731544,10.0,Curveball,6.040268456375839,9.0,Sinker,6.040268456375839,9.0,,,,,,,,,
5,2026-09-25,824544,2026-09-25T23:40:00Z,Scheduled,Rate Field,Colorado Rockies @ Chicago White Sox,Home,808959,Munetaka Murakami,Chicago White Sox,Colorado Rockies,1B,L,No,,124,540,441,90,15,1,33,79,74,92,6,192,0.204,0.348,0.467,0.815,12,53,40,7,2,0.175,0.0377,26,111,89,13,4,0.146,0.036,487,95,10.2,30.0,60.0,18.6,20.9,18.6,25.7,52.2,26.2,8.1,4.8,8.1,57.2,85.9,21.3,0.742,72.4,98.3,113.4,44.2,10.3,9.1,42.3,49.4,Average,3.0,Pull Power,A-,Elevated power plane,49.4,Average,0.998,Good,8.4,59.1,96.6,0.628,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,42.02,9.02,Strong positive regression,Average Pull Power profile. 10.2% barrel rate; 85.9 mph average exit velocity; 25.7% air-ball rate; 52.2% pull-air rate; 8.1% HR-launch rate.,0.0611,0.0558,4.09,8,2,13.4,0.6,59.9,Recently homered,608372.0,Tomoyuki Sugano,R,LHB vs RHP,28,28,147.2,5.36,1.33,31,1.89,5.55,2.19,56.0,99.8,0.687,8.1,Split-Finger,L,LHB vs RHP,72.6,372,0.213,0.344,0.506,0.851,26,58,132,0.0699,12.7,0.805,353,0.0595,7.6,0.667,0,0,0,0/0,,,,,0,0,0,62.2,Slight Hitter Advantage,Above average,50.0,5,440,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.012,0.998,69.9,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,72.6,51.4,56.0,61.5,50.0,45.0,59.8,8.68,0.865,1.126,1.025,1.0,0.998,0.998,1.0,20.94,14.26,85.0,37.2,D+,Lineup unconfirmed,858.0,7.3,29.6,17.9,44.1,30.7,84.9,97.5,116.7,0.641,31.0,Pitch-level Statcast · last 5 MLB games,4-Seam Fastball,24.772727272727273,109.0,Split-Finger,19.09090909090909,84.0,Sinker,15.227272727272727,67.0,Sweeper,11.818181818181818,52.0,Curveball,11.363636363636363,50.0,Slider,9.318181818181818,41.0,Cutter,8.409090909090908,37.0,,,
6,2026-09-25,823489,2026-09-25T20:05:00Z,Scheduled,Yankee Stadium,Baltimore Orioles @ New York Yankees,Away,683002,Gunnar Henderson,Baltimore Orioles,New York Yankees,SS,L,No,,157,697,618,139,27,6,24,88,59,67,10,154,0.225,0.31,0.405,0.715,11,46,39,11,2,0.282,0.0435,25,100,87,23,4,0.264,0.04,933,143,5.1,22.6,51.9,23.8,24.2,13.1,24.5,51.6,29.8,6.0,4.1,6.0,52.7,81.0,16.0,0.553,71.6,93.4,111.0,32.1,10.4,10.3,45.4,36.3,Below Average,2.5,Pull Power,A,Excellent HR swing plane,36.3,Below Average,0.962,Good,6.3,48.6,91.1,0.587,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,44.34,20.34,Strong positive regression,Below Average Pull Power profile. 5.1% barrel rate; 81.0 mph average exit velocity; 24.5% air-ball rate; 51.6% pull-air rate; 6.0% HR-launch rate.,0.0344,0.0341,4.05,5,2,25.8,0.19,19.4,Very recent HR,694341.0,Brendan Beck,R,LHB vs RHP,3,1,7.2,8.22,1.57,4,4.7,5.87,5.87,32.9,100.0,0.516,5.1,4-Seam Fastball,L,LHB vs RHP,43.4,473,0.225,0.319,0.392,0.711,16,51,103,0.0338,4.9,0.572,16,0.0625,15.8,0.858,0,0,0,0/0,,,,,0,0,0,41.1,Slight Pitcher Advantage,Below average,50.0,3,149,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,0.966,1.075,51.4,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,43.4,88.6,32.9,42.5,64.4,45.0,58.5,8.12,1.092,1.059,1.025,1.0,0.962,0.962,0.98,13.1,11.75,85.0,31.7,D,Lineup unconfirmed,40.0,15.0,37.5,30.0,65.0,47.5,88.8,99.5,110.9,0.774,4.0,Pitch-level Statcast · last 5 MLB games,4-Seam Fastball,47.651006711409394,71.0,Slider,33.557046979865774,50.0,Split-Finger,6.7114093959731544,10.0,Curveball,6.040268456375839,9.0,Sinker,6.040268456375839,9.0,,,,,,,,,
7,2026-09-25,822760,2026-09-25T23:07:00Z,Scheduled,Rogers Centre,Cincinnati Reds @ Toronto Blue Jays,Away,682829,Elly De La Cruz,Cincinnati Reds,Toronto Blue Jays,SS,S,No,,140,622,547,156,29,5,30,98,77,70,2,171,0.285,0.367,0.521,0.888,12,51,43,14,4,0.326,0.0784,25,106,90,35,9,0.389,0.0849,654,109,12.1,36.7,44.3,26.2,27.5,14.4,28.7,38.0,32.5,9.1,4.9,9.1,45.0,87.4,12.8,0.823,74.9,101.1,117.4,60.2,17.9,16.6,49.6,58.2,Average,3.5,Balanced Power,A,Excellent HR swing plane,58.2,Average,1.023,Good,16.5,46.7,103.0,0.989,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,64.99,34.99,Strong positive regression,Average Balanced Power profile. 12.1% barrel rate; 87.4 mph average exit velocity; 28.7% air-ball rate; 38.0% pull-air rate; 9.1% HR-launch rate.,0.0482,0.0456,4.15,0,0,18.2,0.0,0.0,Very recent HR,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,50.0,0.0,,,Unknown,S,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.0,1.0,63.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,87.3,50.0,45.0,57.8,7.82,1.311,1.0,1.0,1.03,1.023,1.054,0.98,17.61,14.76,75.0,37.7,D+,Probable SP unavailable; Lineup unconfirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-09-25,824544,2026-09-25T23:40:00Z,Scheduled,Rate Field,Colorado Rockies @ Chicago White Sox,Home,695657,Colson Montgomery,Chicago White Sox,Colorado Rockies,SS,L,No,,150,629,559,112,24,0,31,71,87,54,14,223,0.2,0.286,0.41,0.696,11,42,34,3,0,0.088,0.0,25,101,86,12,4,0.14,0.0396,706,118,8.6,26.1,59.0,22.0,18.6,13.3,23.2,60.5,30.9,7.7,4.8,7.7,47.5,82.8,24.1,0.655,74.8,95.8,115.7,66.9,13.9,13.3,51.6,48.2,Average,3.0,Pull Power,A-,Elevated power plane,48.2,Average,0.995,Good,9.3,68.2,94.5,0.649,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,51.92,20.92,Strong positive regression,Average Pull Power profile. 8.6% barrel rate; 82.8 mph average exit velocity; 23.2% air-ball rate; 60.5% pull-air rate; 7.7% HR-launch rate.,0.0493,0.0465,3.93,53,16,18.0,2.94,293.9,Very long drought,608372.0,Tomoyuki Sugano,R,LHB vs RHP,28,28,147.2,5.36,1.33,31,1.89,5.55,2.19,55.3,99.8,0.676,8.3,Split-Finger,L,LHB vs RHP,58.5,435,0.182,0.271,0.382,0.653,21,41,165,0.0483,8.7,0.672,353,0.0595,7.6,0.667,0,0,0,0/0,,,,,0,0,0,55.7,Neutral Matchup,Average,50.0,5,440,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.011,0.998,64.7,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,58.5,51.4,55.3,59.3,50.0,45.0,57.5,7.69,0.83,1.126,1.025,1.0,0.995,0.995,1.06,17.07,12.05,85.0,39.9,D+,Lineup unconfirmed,858.0,7.3,29.6,17.9,44.1,30.7,84.9,97.5,116.7,0.641,31.0,Pitch-level Statcast · last 5 MLB games,4-Seam Fastball,24.772727272727273,109.0,Split-Finger,19.09090909090909,84.0,Sinker,15.227272727272727,67.0,Sweeper,11.818181818181818,52.0,Curveball,11.363636363636363,50.0,Slider,9.318181818181818,41.0,Cutter,8.409090909090908,37.0,,,
9,2026-09-25,823491,2026-09-25T20:10:00Z,Scheduled,Yankee Stadium,Baltimore Orioles @ New York Yankees,Away,691723,Coby Mayo,Baltimore Orioles,New York Yankees,3B,R,No,,130,444,404,91,18,3,24,63,63,34,5,134,0.225,0.293,0.463,0.756,11,46,41,10,1,0.244,0.0217,25,99,88,24,7,0.273,0.0707,563,138,9.4,28.6,48.3,26.8,24.9,17.4,25.9,51.6,30.4,10.5,7.1,10.5,48.1,84.1,21.6,0.766,74.1,98.0,115.1,55.4,14.3,13.3,46.9,53.5,Average,3.0,Pull Power,A-,Elevated power plane,53.5,Average,1.01,Good,10.1,47.1,97.3,0.849,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,45.96,21.96,Strong positive regression,Average Pull Power profile. 9.4% barrel rate; 84.1 mph average exit velocity; 25.9% air-ball rate; 51.6% pull-air rate; 10.5% HR-launch rate.,0.0541,0.0494,4.05,24,7,16.8,1.43,142.6,Above normal drought,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,50.0,0.0,,,Unknown,R,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,0,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.0,1.0,64.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,62.0,64.4,45.0,57.4,7.67,0.955,1.0,1.0,1.0,1.01,1.01,1.035,18.54,13.15,74.9,36.2,D+,Probable SP unavailable; Lineup unconfirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2026-09-25,823489,2026-09-25T20:05:00Z,Scheduled,Yankee Stadium,Baltimore Orioles @ New York Yankees,Away,687637,Dylan Beavers,Baltimore Orioles,New York Yankees,LF,L,No,,102,352,315,72,20,0,7,38,39,33,2,95,0.229,0.305,0.359,0.664,10,43,39,4,0,0.103,0.0,24,95,87,15,1,0.172,0.0105,432,109,4.8,22.3,48.2,25.3,26.2,16.7,30.5,47.5,34.9,6.5,2.9,6.5,29.8,81.3,23.4,0.502,69.6,93.4,109.1,20.4,13.3,5.3,44.3,30.8,Weak,2.0,Pull Power,A-,Elevated power plane,30.8,Weak,0.946,Good,5.5,45.9,92.9,0.463,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,19.47,12.47,Strong positive regression,Weak Pull Power profile. 4.8% barrel rate; 81.3 mph average exit velocity; 30.5% air-ball rate; 47.5% pull-air rate; 6.5% HR-launch rate.,0.0199,0.023,4.05,39,10,45.0,0.87,86.7,Near normal interval,694341.0,Brendan Beck,R,LHB vs RHP,3,1,7.2,8.22,1.57,4,4.7,5.87,5.87,36.2,100.0,0.564,4.4,4-Seam Fastball,L,LHB vs RHP,41.0,285,0.227,0.309,0.376,0.685,7,28,77,0.0246,5.1,0.568,16,0.0625,15.8,0.858,0,0,0,0/0,,,,,0,0,0,41.1,Slight Pitcher Advantage,Below average,50.0,3,149,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,0.972,1.075,47.2,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,41.0,88.6,36.2,41.8,64.4,45.0,57.4,7.66,0.76,1.059,1.025,1.0,0.946,0.946,1.0,8.98,7.79,84.6,25.0,F,Lineup unconfirmed,40.0,15.0,37.5,30.0,65.0,47.5,88.8,99.5,110.9,0.774,4.0,Pitch-level Statcast · last 5 MLB games,4-Seam Fastball,47.651006711409394,71.0,Slider,33.557046979865774,50.0,Split-Finger,6.7114093959731544,10.0,Curveball,6.040268456375839,9.0,Sinker,6.040268456375839,9.0,,,,,,,,,
