rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,roster_status,years_exp,jersey_number,headshot_url,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,data_through_season,last_5_avg,last_10_avg,last_15_avg,season_avg,prior_season_avg,last_5_attempts,last_10_attempts,season_attempts,last_5_ypa,last_10_ypa,season_ypa,normal_attempts,projected_ypa,baseline_yards,player_std,projection_source,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,projected_passing_yards,model_std,preseason_expected_to_play,preseason_game_plan_role,preseason_game_plan_source,preseason_game_plan_note,preseason_rotation_factor,preseason_game_plan_factor,preseason_attempt_share,expected_pressure_rate,pressure_adjusted_ypa,clean_pocket_ypa,under_pressure_ypa,depth_matchup_short_0_4,depth_matchup_short_5_9,depth_matchup_intermediate_10_14,depth_matchup_intermediate_15_19,depth_matchup_deep_20_24,depth_matchup_deep_25_29,depth_matchup_deep_30_plus,game_script_volume_factor,game_script_efficiency_factor,game_script_label,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,prob_100_plus,grade_100_plus,prob_110_plus,grade_110_plus,prob_120_plus,grade_120_plus,prob_130_plus,grade_130_plus,prob_140_plus,grade_140_plus,prob_150_plus,grade_150_plus,prob_160_plus,grade_160_plus,prob_170_plus,grade_170_plus,prob_180_plus,grade_180_plus,prob_190_plus,grade_190_plus,prob_200_plus,grade_200_plus,prob_210_plus,grade_210_plus,prob_220_plus,grade_220_plus,prob_230_plus,grade_230_plus,prob_240_plus,grade_240_plus,prob_250_plus,grade_250_plus,prob_260_plus,grade_260_plus,prob_270_plus,grade_270_plus,prob_280_plus,grade_280_plus,prob_290_plus,grade_290_plus,prob_300_plus,grade_300_plus,prob_310_plus,grade_310_plus,prob_320_plus,grade_320_plus,prob_330_plus,grade_330_plus,prob_340_plus,grade_340_plus,prob_350_plus,grade_350_plus,prob_360_plus,grade_360_plus,prob_370_plus,grade_370_plus,prob_380_plus,grade_380_plus,prob_390_plus,grade_390_plus,prob_400_plus,grade_400_plus,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,pass_depth_game_sample,pass_depth_avg_hist_attempts,pass_depth_avg_longest_completion,opponent,home_away,game_id,game_date,game_name
11,2026,REG,1,Regular Season Week 1,00-0036971,Trevor Lawrence,JAX,ACT,5,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/k9uzdernqkx7oquy7dkg",TEAM_BLEND,29.9,6.86,205.6,43,2025.0,274.2,238.7,237.2,235.7,204.5,33.0,30.1,32.9,8.36,7.91,7.27,31.9,7.82,245.2,44.9261910134389,NFL_HISTORY,31.9,31.9,FULL_GAME_WORKLOAD,regular,249.5,50.6,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,7.822,7.822,5.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,184.1,215.1,249.5,283.0,314.0,99.8,ELITE,99.8,ELITE,99.5,ELITE,99.2,ELITE,98.4,ELITE,97.4,ELITE,96.0,ELITE,94.1,ELITE,91.3,ELITE,87.9,VERY HIGH,83.4,VERY HIGH,78.0,HIGH,71.9,HIGH,65.0,SOLID,57.5,LEAN,49.6,COIN FLIP,41.9,COIN FLIP,34.3,LOW,27.1,LOW,21.1,VERY LOW,15.8,VERY LOW,11.5,VERY LOW,8.0,VERY LOW,5.3,VERY LOW,3.5,VERY LOW,2.1,VERY LOW,1.4,VERY LOW,0.9,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,82.5,82.5,82.2,79.9,65.0,50.0,QB_3_SEASON_GAME_BOOTSTRAP,1542,44,35.0,38.2,CLE,home,401872922,2026-09-13T17:00Z,Cleveland Browns at Jacksonville Jaguars
12,2026,REG,1,Regular Season Week 1,00-0033873,Patrick Mahomes,KC,ACT,9,15.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wdckwtob1lybvkmxnf7p",TEAM_BLEND,30.5,6.63,205.2,46,2025.0,247.6,264.8,260.5,256.2,245.5,37.2,36.0,35.9,6.61,7.37,7.15,36.0,6.93,253.7,62.13703558380061,NFL_HISTORY,36.0,36.0,FULL_GAME_WORKLOAD,regular,249.3,65.8,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,6.933,6.933,4.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,164.9,203.8,248.8,294.0,332.4,98.9,ELITE,98.3,ELITE,97.7,ELITE,96.7,ELITE,95.2,ELITE,93.5,ELITE,91.2,ELITE,88.4,VERY HIGH,85.0,VERY HIGH,81.4,VERY HIGH,76.8,HIGH,72.1,HIGH,66.8,SOLID,61.2,SOLID,55.4,LEAN,49.3,COIN FLIP,43.0,COIN FLIP,37.5,LOW,31.9,LOW,26.8,LOW,21.7,VERY LOW,17.6,VERY LOW,13.9,VERY LOW,10.6,VERY LOW,7.9,VERY LOW,5.9,VERY LOW,4.4,VERY LOW,3.2,VERY LOW,2.3,VERY LOW,1.6,VERY LOW,1.1,VERY LOW,82.5,82.5,82.3,79.9,74.7,62.5,QB_3_SEASON_GAME_BOOTSTRAP,2034,53,38.4,38.3,DEN,home,401872931,2026-09-15T00:15Z,Denver Broncos at Kansas City Chiefs
13,2026,REG,1,Regular Season Week 1,00-0035710,Daniel Jones,IND,ACT,7,17.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ohvvctuykzwrpqer7xgl",TEAM_BLEND,29.9,6.94,207.5,28,2025.0,250.2,245.3,244.6,253.4,207.0,32.6,31.4,31.4,7.86,7.92,8.16,31.8,7.83,242.8,53.869345324666604,NFL_HISTORY,31.8,31.8,FULL_GAME_WORKLOAD,regular,249.1,58.0,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,7.832,7.832,5.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,174.7,210.1,249.0,287.6,322.7,99.6,ELITE,99.2,ELITE,98.8,ELITE,98.0,ELITE,97.0,ELITE,95.8,ELITE,93.9,ELITE,91.5,ELITE,88.0,VERY HIGH,84.1,VERY HIGH,80.2,VERY HIGH,75.0,HIGH,69.2,SOLID,63.0,SOLID,56.0,LEAN,49.2,COIN FLIP,42.5,COIN FLIP,35.6,LOW,29.6,LOW,23.3,VERY LOW,18.6,VERY LOW,14.2,VERY LOW,10.9,VERY LOW,7.8,VERY LOW,5.5,VERY LOW,3.8,VERY LOW,2.6,VERY LOW,1.8,VERY LOW,1.2,VERY LOW,0.8,VERY LOW,0.5,VERY LOW,82.5,79.7,76.4,66.6,54.4,39.1,QB_3_SEASON_GAME_BOOTSTRAP,977,29,33.7,33.0,BAL,home,401872659,2026-09-13T17:00Z,Baltimore Ravens at Indianapolis Colts
14,2026,REG,1,Regular Season Week 1,00-0038400,Tanner McKee,PHI,ACT,3,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oveivzhzv13jrfvkp8zg",TEAM_BLEND,28.3,7.09,198.5,2,2025.0,255.0,255.0,255.0,241.0,269.0,40.5,40.5,40.0,6.29,6.29,6.03,39.2,6.33,254.3,19.79898987322333,LIMITED_NFL_HISTORY,39.2,39.2,FULL_GAME_WORKLOAD,regular,248.1,45.0,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,6.33,6.33,4.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,190.2,217.2,247.1,278.4,304.9,99.9,ELITE,99.9,ELITE,99.8,ELITE,99.6,ELITE,99.2,ELITE,98.6,ELITE,97.6,ELITE,96.0,ELITE,93.4,ELITE,90.1,ELITE,85.6,VERY HIGH,79.7,HIGH,72.8,HIGH,65.3,SOLID,56.6,LEAN,47.4,COIN FLIP,39.1,LOW,31.1,LOW,23.7,VERY LOW,17.4,VERY LOW,12.2,VERY LOW,8.1,VERY LOW,5.0,VERY LOW,3.2,VERY LOW,1.9,VERY LOW,1.1,VERY LOW,0.6,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,82.5,82.5,82.5,40.6,40.6,18.2,QB_3_SEASON_GAME_BOOTSTRAP,93,4,23.2,22.8,WAS,home,401872929,2026-09-13T20:25Z,Washington Commanders at Philadelphia Eagles
15,2026,REG,1,Regular Season Week 1,00-0035264,Jarrett Stidham,DEN,ACT,7,8.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uzdn86skeienyyqxyiuw",TEAM_BLEND,31.1,6.78,210.9,2,2023.0,248.0,248.0,248.0,248.0,,33.0,33.0,33.0,7.5,7.5,7.5,32.8,7.41,248.0,33.94112549695428,LIMITED_NFL_HISTORY,32.8,32.8,FULL_GAME_WORKLOAD,regular,243.2,45.8,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,7.413,7.413,5.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,184.3,212.2,242.9,273.8,301.6,99.9,ELITE,99.8,ELITE,99.6,ELITE,99.4,ELITE,98.9,ELITE,98.0,ELITE,96.5,ELITE,94.4,ELITE,91.6,ELITE,87.7,VERY HIGH,82.6,VERY HIGH,76.5,HIGH,69.2,SOLID,61.0,SOLID,52.4,LEAN,44.0,COIN FLIP,35.3,LOW,27.7,LOW,20.8,VERY LOW,15.4,VERY LOW,10.7,VERY LOW,7.1,VERY LOW,4.7,VERY LOW,2.8,VERY LOW,1.6,VERY LOW,1.0,VERY LOW,0.5,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,82.5,82.5,80.4,80.2,79.9,79.2,QB_3_SEASON_GAME_BOOTSTRAP,107,3,35.7,51.0,KC,away,401872931,2026-09-15T00:15Z,Denver Broncos at Kansas City Chiefs
16,2026,REG,1,Regular Season Week 1,00-0037834,Brock Purdy,SF,ACT,4,13.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xs2fyj1sqdgwvt9ihbri",TEAM_BLEND,30.4,7.1,217.1,40,2025.0,237.6,254.4,238.5,240.8,257.6,30.6,31.9,31.6,7.64,7.87,7.55,31.1,7.62,244.7,79.48218087976373,NFL_HISTORY,31.1,31.1,FULL_GAME_WORKLOAD,regular,236.9,77.7,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,7.616,7.616,5.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,136.5,183.2,237.0,288.1,334.5,95.9,ELITE,94.7,ELITE,93.0,ELITE,91.3,ELITE,89.1,VERY HIGH,86.7,VERY HIGH,83.7,VERY HIGH,80.3,VERY HIGH,76.4,HIGH,72.2,HIGH,67.8,SOLID,63.1,SOLID,58.2,LEAN,53.5,LEAN,48.6,COIN FLIP,43.4,COIN FLIP,38.3,LOW,33.3,LOW,28.6,LOW,24.2,VERY LOW,20.4,VERY LOW,16.9,VERY LOW,13.9,VERY LOW,11.1,VERY LOW,8.8,VERY LOW,7.0,VERY LOW,5.6,VERY LOW,4.3,VERY LOW,3.3,VERY LOW,2.4,VERY LOW,1.8,VERY LOW,82.5,82.5,82.4,80.1,71.7,60.2,QB_3_SEASON_GAME_BOOTSTRAP,1430,45,31.8,39.3,LAR,away,401872657,2026-09-11T00:35Z,San Francisco 49ers at Los Angeles Rams
17,2026,REG,1,Regular Season Week 1,00-0034869,Sam Darnold,SEA,ACT,8,14.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fyay8vruj0cqmhopufzk",TEAM_BLEND,29.1,7.24,209.5,36,2025.0,227.0,229.4,240.2,238.1,254.1,30.6,28.5,28.1,7.37,8.61,8.87,29.4,8.01,235.1,59.92849595566856,NFL_HISTORY,29.4,29.4,FULL_GAME_WORKLOAD,regular,235.7,62.7,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,8.008,8.008,5.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,155.8,193.7,237.9,278.8,315.9,98.6,ELITE,97.8,ELITE,96.7,ELITE,95.5,ELITE,93.8,ELITE,91.4,ELITE,88.6,VERY HIGH,85.3,VERY HIGH,81.6,VERY HIGH,77.0,HIGH,71.9,HIGH,66.8,SOLID,60.9,SOLID,54.8,LEAN,48.6,COIN FLIP,42.1,COIN FLIP,36.1,LOW,29.7,LOW,24.3,VERY LOW,19.5,VERY LOW,15.4,VERY LOW,11.8,VERY LOW,8.9,VERY LOW,6.4,VERY LOW,4.7,VERY LOW,3.4,VERY LOW,2.3,VERY LOW,1.5,VERY LOW,0.9,VERY LOW,0.7,VERY LOW,0.4,VERY LOW,78.5,77.0,76.8,71.4,58.6,46.2,QB_3_SEASON_GAME_BOOTSTRAP,1299,44,29.5,37.0,NE,home,401872656,2026-09-10T00:20Z,New England Patriots at Seattle Seahawks
18,2026,REG,1,Regular Season Week 1,00-0039918,Caleb Williams,CHI,ACT,2,18.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h4qs11kutwiw7whekmyt",TEAM_BLEND,30.5,6.76,206.8,34,2025.0,244.0,230.6,235.0,231.9,208.3,34.4,34.5,33.4,7.12,6.71,7.01,33.9,6.94,232.6,50.86837693073554,NFL_HISTORY,33.9,33.9,FULL_GAME_WORKLOAD,regular,235.1,55.1,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,6.943,6.943,4.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,166.0,198.5,235.3,273.1,306.3,99.2,ELITE,98.7,ELITE,98.2,ELITE,97.2,ELITE,95.8,ELITE,94.1,ELITE,91.7,ELITE,88.5,VERY HIGH,84.9,VERY HIGH,80.0,HIGH,74.1,HIGH,67.9,SOLID,61.1,SOLID,53.8,LEAN,46.4,COIN FLIP,39.3,LOW,32.6,LOW,26.7,LOW,20.8,VERY LOW,15.9,VERY LOW,12.3,VERY LOW,8.8,VERY LOW,6.5,VERY LOW,4.4,VERY LOW,3.0,VERY LOW,1.9,VERY LOW,1.2,VERY LOW,0.7,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,82.5,82.5,79.3,73.6,68.6,38.1,QB_3_SEASON_GAME_BOOTSTRAP,1328,36,36.9,33.5,CAR,away,401872661,2026-09-13T17:00Z,Chicago Bears at Carolina Panthers
19,2026,REG,1,Regular Season Week 1,00-0039732,Bo Nix,DEN,ACT,2,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zvo9xatffmqn9lnukpgk",TEAM_BLEND,31.1,6.78,210.9,34,2025.0,237.8,237.5,236.6,231.2,222.1,36.0,35.6,36.0,6.57,6.65,6.43,35.4,6.59,233.9,78.13607844907571,NFL_HISTORY,35.4,35.4,FULL_GAME_WORKLOAD,regular,233.2,75.6,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,6.587,6.587,4.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,134.8,181.3,231.2,283.1,329.0,96.0,ELITE,94.8,ELITE,93.0,ELITE,91.2,ELITE,88.8,VERY HIGH,86.1,VERY HIGH,82.8,VERY HIGH,79.2,HIGH,75.5,HIGH,71.2,HIGH,66.3,SOLID,61.1,SOLID,55.9,LEAN,50.6,LEAN,45.1,COIN FLIP,39.8,LOW,34.9,LOW,30.5,LOW,26.1,LOW,22.4,VERY LOW,18.6,VERY LOW,15.4,VERY LOW,12.4,VERY LOW,9.7,VERY LOW,7.6,VERY LOW,5.7,VERY LOW,4.3,VERY LOW,3.3,VERY LOW,2.4,VERY LOW,1.8,VERY LOW,1.3,VERY LOW,82.5,82.5,81.9,78.4,71.2,56.8,QB_3_SEASON_GAME_BOOTSTRAP,1301,36,36.1,37.5,KC,away,401872931,2026-09-15T00:15Z,Denver Broncos at Kansas City Chiefs
20,2026,REG,1,Regular Season Week 1,00-0032950,Carson Wentz,MIN,ACT,10,11.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vuolixdvigc8axelug66",TEAM_BLEND,28.9,6.87,199.7,7,2025.0,243.2,211.0,211.0,243.2,98.0,33.8,30.0,33.8,7.2,6.93,7.2,32.3,7.09,211.8,90.12834192976635,NFL_HISTORY,32.3,32.3,FULL_GAME_WORKLOAD,regular,228.9,90.4,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,7.089,7.089,4.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,114.0,168.3,229.0,289.8,345.5,92.6,ELITE,90.8,ELITE,88.8,VERY HIGH,86.0,VERY HIGH,83.8,VERY HIGH,81.3,VERY HIGH,78.1,HIGH,74.4,HIGH,70.8,HIGH,66.5,SOLID,62.6,SOLID,58.3,LEAN,54.0,LEAN,49.6,COIN FLIP,45.1,COIN FLIP,40.7,COIN FLIP,36.1,LOW,32.2,LOW,28.4,LOW,24.9,VERY LOW,21.6,VERY LOW,18.5,VERY LOW,15.8,VERY LOW,13.4,VERY LOW,11.2,VERY LOW,9.2,VERY LOW,7.4,VERY LOW,5.9,VERY LOW,4.7,VERY LOW,3.7,VERY LOW,2.8,VERY LOW,82.5,82.5,72.2,61.7,58.6,34.8,QB_3_SEASON_GAME_BOOTSTRAP,239,8,29.9,34.8,GB,home,401872927,2026-09-13T20:25Z,Green Bay Packers at Minnesota Vikings
21,2026,REG,1,Regular Season Week 1,00-0023459,Aaron Rodgers,PIT,ACT,21,8.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",TEAM_BLEND,29.5,6.83,201.6,33,2025.0,247.2,205.2,205.2,207.6,229.2,37.6,32.6,31.1,6.74,6.41,6.79,34.3,6.67,224.0,57.002767585606556,NFL_HISTORY,34.3,34.3,FULL_GAME_WORKLOAD,regular,228.8,59.9,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,6.675,6.675,4.539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,153.2,188.6,228.8,269.1,304.0,98.6,ELITE,97.8,ELITE,96.8,ELITE,95.3,ELITE,93.4,ELITE,90.8,ELITE,87.7,VERY HIGH,83.8,VERY HIGH,79.7,HIGH,74.3,HIGH,68.7,SOLID,62.6,SOLID,55.6,LEAN,49.3,COIN FLIP,42.8,COIN FLIP,36.2,LOW,30.0,LOW,24.5,VERY LOW,19.3,VERY LOW,15.0,VERY LOW,11.3,VERY LOW,8.4,VERY LOW,6.2,VERY LOW,4.6,VERY LOW,3.3,VERY LOW,2.2,VERY LOW,1.5,VERY LOW,1.0,VERY LOW,0.7,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,80.0,80.0,79.6,73.2,64.1,39.3,QB_3_SEASON_GAME_BOOTSTRAP,1195,35,34.1,35.7,ATL,home,401872658,2026-09-13T17:00Z,Atlanta Falcons at Pittsburgh Steelers
22,2026,REG,1,Regular Season Week 1,00-0039917,Michael Penix Jr.,ATL,ACT,2,9.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mip4kogkqxwkkya6mvmh",TEAM_BLEND,29.6,6.91,205.1,12,2025.0,212.8,229.4,226.6,220.2,245.7,30.2,31.4,30.7,7.48,7.59,7.53,30.5,7.45,223.9,52.499521226529794,NFL_HISTORY,30.5,30.6,FULL_GAME_WORKLOAD,regular,227.6,57.1,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,7.45,7.45,5.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,153.7,188.8,228.8,266.3,302.0,98.5,ELITE,97.7,ELITE,96.8,ELITE,95.4,ELITE,93.6,ELITE,91.1,ELITE,87.9,VERY HIGH,84.0,VERY HIGH,79.5,HIGH,74.4,HIGH,68.5,SOLID,62.3,SOLID,55.7,LEAN,49.0,COIN FLIP,42.1,COIN FLIP,35.2,LOW,28.6,LOW,23.3,VERY LOW,18.3,VERY LOW,14.0,VERY LOW,10.5,VERY LOW,7.7,VERY LOW,5.8,VERY LOW,4.0,VERY LOW,2.7,VERY LOW,1.7,VERY LOW,1.0,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.1,VERY LOW,82.5,82.5,76.5,74.2,54.0,46.3,QB_3_SEASON_GAME_BOOTSTRAP,399,14,28.5,34.4,PIT,away,401872658,2026-09-13T17:00Z,Atlanta Falcons at Pittsburgh Steelers
23,2026,REG,1,Regular Season Week 1,00-0033949,Joshua Dobbs,DET,ACT,9,6.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/twaqqjexyi0vgyfbvzis",TEAM_BLEND,30.5,7.32,224.1,14,2024.0,212.6,197.6,199.3,326.0,189.5,32.8,33.7,43.0,6.18,5.71,7.58,34.7,6.5,227.5,82.77236911513764,NFL_HISTORY,34.7,34.6,FULL_GAME_WORKLOAD,regular,225.3,80.5,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,6.501,6.501,4.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,121.5,170.7,224.0,279.6,328.8,93.9,ELITE,92.4,ELITE,90.2,ELITE,88.1,VERY HIGH,85.7,VERY HIGH,82.8,VERY HIGH,79.4,HIGH,75.3,HIGH,70.9,HIGH,66.7,SOLID,62.2,SOLID,57.3,LEAN,52.1,LEAN,47.1,COIN FLIP,42.4,COIN FLIP,37.4,LOW,33.0,LOW,28.7,LOW,24.9,VERY LOW,21.2,VERY LOW,17.9,VERY LOW,15.0,VERY LOW,12.2,VERY LOW,9.7,VERY LOW,8.0,VERY LOW,6.2,VERY LOW,5.0,VERY LOW,3.8,VERY LOW,2.8,VERY LOW,2.0,VERY LOW,1.4,VERY LOW,78.1,78.1,73.8,64.0,44.9,16.5,QB_3_SEASON_GAME_BOOTSTRAP,509,19,26.8,26.4,NO,home,401872923,2026-09-13T17:00Z,New Orleans Saints at Detroit Lions
24,2026,REG,1,Regular Season Week 1,00-0039163,C.J. Stroud,HOU,ACT,3,7.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",TEAM_BLEND,29.7,6.74,200.6,45,2025.0,212.6,220.9,215.1,217.2,229.8,29.2,30.6,30.2,7.38,7.46,7.42,29.8,7.33,218.0,52.70732331180857,NFL_HISTORY,29.8,29.8,FULL_GAME_WORKLOAD,regular,218.6,56.9,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,7.333,7.333,4.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,145.2,179.7,217.8,256.2,290.1,98.2,ELITE,97.2,ELITE,95.9,ELITE,94.0,ELITE,91.4,ELITE,88.4,VERY HIGH,84.5,VERY HIGH,80.1,VERY HIGH,74.9,HIGH,68.9,SOLID,62.1,SOLID,55.4,LEAN,48.6,COIN FLIP,41.9,COIN FLIP,35.1,LOW,28.7,LOW,22.8,VERY LOW,17.8,VERY LOW,13.5,VERY LOW,10.0,VERY LOW,7.4,VERY LOW,5.6,VERY LOW,3.9,VERY LOW,2.6,VERY LOW,1.6,VERY LOW,1.1,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,82.5,82.5,80.8,76.9,69.3,54.9,QB_3_SEASON_GAME_BOOTSTRAP,1785,52,34.3,40.8,BUF,home,401872660,2026-09-13T17:00Z,Buffalo Bills at Houston Texans
25,2026,REG,1,Regular Season Week 1,00-0039107,Stetson Bennett,LAR,ACT,3,13.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s0eo3fstv6rkitzbefzu",TEAM_BLEND,30.9,7.06,220.0,0,,,,,,,,,,,,,30.9,7.06,220.0,73.7471664111962,TEAM_PRIOR_NO_NFL_HISTORY,30.9,30.9,FULL_GAME_WORKLOAD,regular,218.1,82.6,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,7.056,7.056,4.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,112.2,161.9,217.8,271.5,320.6,92.1,ELITE,90.5,ELITE,88.3,VERY HIGH,85.6,VERY HIGH,83.0,VERY HIGH,79.5,HIGH,75.8,HIGH,71.8,HIGH,67.6,SOLID,62.9,SOLID,58.6,LEAN,53.6,LEAN,49.0,COIN FLIP,43.9,COIN FLIP,38.9,LOW,34.6,LOW,30.1,LOW,25.7,LOW,21.8,VERY LOW,18.4,VERY LOW,15.4,VERY LOW,12.6,VERY LOW,10.2,VERY LOW,8.2,VERY LOW,6.6,VERY LOW,5.2,VERY LOW,3.8,VERY LOW,3.0,VERY LOW,2.3,VERY LOW,1.8,VERY LOW,1.2,VERY LOW,82.5,82.5,82.4,80.6,72.0,60.6,TEAM_3_SEASON_GAME_BOOTSTRAP,2077,57,36.4,40.5,SF,home,401872657,2026-09-11T00:35Z,San Francisco 49ers at Los Angeles Rams
26,2026,REG,1,Regular Season Week 1,00-0041568,Ty Simpson,LAR,ACT,0,15.0,,TEAM_BLEND,30.9,7.06,220.0,0,,,,,,,,,,,,,30.9,7.06,220.0,73.7471664111962,TEAM_PRIOR_NO_NFL_HISTORY,30.9,30.9,FULL_GAME_WORKLOAD,regular,218.1,82.6,True,QB2,DEPTH ROTATION,,1.0,1.0,0.35,0.0,7.056,7.056,4.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,NEUTRAL,110.8,161.9,218.1,274.3,323.1,91.9,ELITE,90.2,ELITE,88.0,VERY HIGH,85.3,VERY HIGH,81.9,VERY HIGH,79.2,HIGH,75.7,HIGH,71.9,HIGH,67.7,SOLID,63.3,SOLID,59.0,LEAN,54.2,LEAN,49.2,COIN FLIP,44.4,COIN FLIP,39.6,LOW,34.8,LOW,30.5,LOW,26.6,LOW,23.0,VERY LOW,19.2,VERY LOW,15.9,VERY LOW,13.2,VERY LOW,10.7,VERY LOW,8.4,VERY LOW,6.7,VERY LOW,5.4,VERY LOW,4.1,VERY LOW,3.2,VERY LOW,2.6,VERY LOW,1.9,VERY LOW,1.4,VERY LOW,82.5,82.5,82.4,80.6,71.8,60.3,TEAM_3_SEASON_GAME_BOOTSTRAP,2077,57,36.4,40.5,SF,home,401872657,2026-09-11T00:35Z,San Francisco 49ers at Los Angeles Rams
