Date,Away,Home,Game,First Pitch PT,First Pitch Local,Stadium,Projected Roof Status,Roof Status Basis,Weather Conditions,First Pitch Temperature F,First Pitch Relative Humidity %,First Pitch Wind,First Pitch Wind Speed MPH,First Pitch Wind Direction,First Pitch Wind Toward LF MPH,First Pitch Wind Toward CF MPH,First Pitch Wind Toward RF MPH,First Pitch Crosswind MPH,Official MLB Wind Text,Wind Data Source,First Pitch Precipitation %,Ball Flight AI Score,Ball Flight Grade,Ball Flight AI Summary,Estimated HR Distance Change,Estimated Fly Ball Distance Change,Expected HR Boost (%),Weather Confidence (%),HR Weather Rating,Game Effective Wind Vector MPH,Estimated FT Change by Wind2,Game Probability Wind Blowing Out %,Game Probability Wind Blowing In %,Game Wind Direction Spread Degrees,Game Wind Toward CF Spread MPH,Game Avg Air Density kg/m3,Game Avg Density Altitude Ft,Game Avg Pressure hPa,Game Avg Dew Point F,Game Avg Temp F,Game Avg RH %,Forecast Trend,Carry Score Change Since Last Run,Park Learned Calibration Points,Park Calibration Settled Games,Max Delay Risk,Max Delay Risk Score,Forecast Uncertainty,Forecast Uncertainty Score,Forecast Run PT,Forecast Age Minutes,Models Available
2026-08-04,Los Angeles Angels,Baltimore Orioles,Los Angeles Angels @ Baltimore Orioles,03:35 PM,06:35 PM EDT,Oriole Park at Camden Yards,OPEN,OPEN-AIR PARK,Overcast,83.5,54.7,⚪ Light Variable,4.6,E,0.5,-1.9,-3.6,-4.0,,FORECAST MODEL,0.4,54.8,B,Density 67 | Wind 48 | Temp 59 | Altitude 59 | Confidence 90%,3,2,1.4,89.8,🟨 Neutral,-0.5,0,0.0,45.0,29.6,1.1,1.1685,1366.0,1015.8,66.4,81.0,61.9,FIRST RUN,0.0,0.0,9,LOW,2.1,LOW,12.3,2026-08-03 09:31:22 PM PDT,97.3,5
2026-08-04,New York Mets,Cleveland Guardians,New York Mets @ Cleveland Guardians,03:40 PM,06:40 PM EDT,Progressive Field,OPEN,OPEN-AIR PARK,Clear,79.2,49.1,🔴 4.8 mph In from CF,5.5,NNE,-3.0,-4.8,-4.5,-1.5,,FORECAST MODEL,0.0,52.4,B,Density 70 | Wind 41 | Temp 56 | Altitude 63 | Confidence 92%,2,1,0.7,91.9,🟨 Neutral,-3.1,-3,0.0,92.5,19.5,1.0,1.1583,1719.0,998.5,58.4,77.4,53.9,FIRST RUN,0.0,-0.05,10,LOW,0.1,LOW,11.2,2026-08-03 09:31:24 PM PDT,509.7,5
2026-08-04,Athletics,Cincinnati Reds,Athletics @ Cincinnati Reds,03:40 PM,06:40 PM EDT,Great American Ball Park,OPEN,OPEN-AIR PARK,Clear,85.5,50.3,⚪ Calm,1.4,NE,-1.0,-0.4,0.4,1.3,,FORECAST MODEL,0.0,59.0,B,Density 76 | Wind 50 | Temp 62 | Altitude 66 | Confidence 89%,6,4,2.7,88.7,🟨 Neutral,0.0,0,16.9,0.0,37.7,0.4,1.1379,2304.0,992.2,62.6,83.1,55.4,FIRST RUN,0.0,-0.27,10,LOW,0.8,LOW,13.2,2026-08-03 09:31:25 PM PDT,510.9,5
2026-08-04,Washington Nationals,Philadelphia Phillies,Washington Nationals @ Philadelphia Phillies,03:40 PM,06:40 PM EDT,Citizens Bank Park,OPEN,OPEN-AIR PARK,Overcast,83.1,56.2,🟡 5.1 mph Cross (RF → LF),5.2,ESE,3.1,0.6,-2.3,-5.1,,FORECAST MODEL,0.0,56.2,B,Density 67 | Wind 51 | Temp 59 | Altitude 59 | Confidence 94%,4,3,1.9,93.7,🟨 Neutral,0.2,0,18.8,7.5,18.0,1.3,1.17,1328.0,1016.3,65.8,80.7,62.1,FIRST RUN,0.0,0.24,11,LOW,0.0,LOW,5.4,2026-08-03 09:31:26 PM PDT,502.1,5
2026-08-04,St. Louis Cardinals,New York Yankees,St. Louis Cardinals @ New York Yankees,04:05 PM,07:05 PM EDT,Yankee Stadium,OPEN,OPEN-AIR PARK,Partly cloudy,78.6,60.4,⚪ Light Variable,4.5,SE,0.6,-1.8,-3.5,-3.9,,FORECAST MODEL,0.0,53.7,B,Density 63 | Wind 49 | Temp 55 | Altitude 57 | Confidence 89%,2,2,1.1,88.8,🟨 Neutral,-0.4,0,0.0,22.5,10.6,0.3,1.1804,1028.0,1016.7,64.1,76.4,67.4,FIRST RUN,0.0,0.0,6,LOW,0.0,LOW,14.2,2026-08-03 09:31:28 PM PDT,100.6,5
2026-08-04,Chicago White Sox,Boston Red Sox,Chicago White Sox @ Boston Red Sox,04:10 PM,07:10 PM EDT,Fenway Park,OPEN,OPEN-AIR PARK,Mostly clear,81.0,52.4,⚪ Light Variable,4.2,SW,2.6,3.4,2.4,-0.4,,FORECAST MODEL,0.0,57.3,B,Density 64 | Wind 58 | Temp 55 | Altitude 57 | Confidence 90%,5,3,2.2,89.6,🟨 Neutral,3.2,2,100.0,0.0,9.6,0.6,1.1798,1068.0,1016.7,61.8,76.9,61.5,FIRST RUN,0.0,0.0,9,LOW,0.4,LOW,8.5,2026-08-03 09:31:29 PM PDT,529.1,5
2026-08-04,Miami Marlins,Atlanta Braves,Miami Marlins @ Atlanta Braves,04:15 PM,07:15 PM EDT,Truist Park,OPEN,OPEN-AIR PARK,Code 36,80.3,77.2,⚪ Light Variable,2.5,ESE,-2.1,-1.4,-0.1,1.9,,FORECAST MODEL,43.8,57.4,B,Density 78 | Wind 46 | Temp 57 | Altitude 67 | Confidence 84%,5,3,2.2,83.6,🟨 Neutral,-1.4,-1,0.0,82.5,18.1,0.5,1.1326,2355.0,981.7,71.6,78.4,82.1,FIRST RUN,0.0,0.86,11,MODERATE,43.0,MEDIUM,19.7,2026-08-03 09:31:31 PM PDT,604.3,5
2026-08-04,Minnesota Twins,Kansas City Royals,Minnesota Twins @ Kansas City Royals,04:40 PM,06:40 PM CDT,Kauffman Stadium,OPEN,OPEN-AIR PARK,Mostly clear,92.8,41.7,⚪ Light Variable,3.0,S,2.7,1.9,0.2,-2.3,,FORECAST MODEL,2.1,62.8,B+,Density 85 | Wind 52 | Temp 69 | Altitude 73 | Confidence 90%,8,6,3.8,89.5,🟢 Good,0.6,0,45.0,33.7,34.5,2.0,1.1096,3166.0,981.3,64.8,90.5,45.3,FIRST RUN,0.0,0.0,6,LOW,8.4,LOW,12.1,2026-08-03 09:31:32 PM PDT,64.4,5
2026-08-04,Pittsburgh Pirates,Milwaukee Brewers,Pittsburgh Pirates @ Milwaukee Brewers,04:40 PM,06:40 PM CDT,American Family Field,OPEN,PROJECTED: FAVORABLE,Overcast,81.6,63.1,🟡 5.5 mph Cross (RF → LF),6.0,WSW,4.0,1.8,-1.3,-5.5,,FORECAST MODEL,13.6,57.7,B,Density 75 | Wind 51 | Temp 57 | Altitude 65 | Confidence 87%,5,4,2.3,87.1,🟨 Neutral,0.3,0,41.8,0.0,31.3,1.5,1.1419,2121.0,989.7,68.0,78.9,69.9,FIRST RUN,0.0,-0.37,10,MODERATE,24.6,MEDIUM,21.3,2026-08-03 09:31:33 PM PDT,104.7,5
2026-08-04,Los Angeles Dodgers,Chicago Cubs,Los Angeles Dodgers @ Chicago Cubs,05:05 PM,07:05 PM CDT,Wrigley Field,OPEN,OPEN-AIR PARK,Mostly clear,77.3,66.5,🟡 6.1 mph Cross (RF → LF),8.9,S,6.8,5.7,0.9,-6.1,,FORECAST MODEL,0.0,61.3,B+,Density 66 | Wind 63 | Temp 54 | Altitude 59 | Confidence 83%,7,5,3.4,83.3,🟢 Good,5.2,4,100.0,0.0,21.9,1.5,1.1721,1254.0,1009.2,65.3,75.9,70.5,FIRST RUN,0.0,0.31,10,LOW,1.5,LOW,14.9,2026-08-03 09:31:35 PM PDT,180.0,5
