rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,roster_status,years_exp,jersey_number,headshot_url,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,data_through_season,last_5_avg,last_10_avg,last_15_avg,season_avg,prior_season_avg,last_5_attempts,last_10_attempts,season_attempts,last_5_ypa,last_10_ypa,season_ypa,normal_attempts,projected_ypa,baseline_yards,player_std,projection_source,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,projected_passing_yards,model_std,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,prob_100_plus,grade_100_plus,prob_110_plus,grade_110_plus,prob_120_plus,grade_120_plus,prob_130_plus,grade_130_plus,prob_140_plus,grade_140_plus,prob_150_plus,grade_150_plus,prob_160_plus,grade_160_plus,prob_170_plus,grade_170_plus,prob_180_plus,grade_180_plus,prob_190_plus,grade_190_plus,prob_200_plus,grade_200_plus,prob_210_plus,grade_210_plus,prob_220_plus,grade_220_plus,prob_230_plus,grade_230_plus,prob_240_plus,grade_240_plus,prob_250_plus,grade_250_plus,prob_260_plus,grade_260_plus,prob_270_plus,grade_270_plus,prob_280_plus,grade_280_plus,prob_290_plus,grade_290_plus,prob_300_plus,grade_300_plus,prob_310_plus,grade_310_plus,prob_320_plus,grade_320_plus,prob_330_plus,grade_330_plus,prob_340_plus,grade_340_plus,prob_350_plus,grade_350_plus,prob_360_plus,grade_360_plus,prob_370_plus,grade_370_plus,prob_380_plus,grade_380_plus,prob_390_plus,grade_390_plus,prob_400_plus,grade_400_plus,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,opponent,home_away,game_id,game_date,game_name
11,2026,PRE,1,Preseason Week 1,00-0041251,Jalon Daniels,TB,ACT,0,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hwhfl6i5drktwjvslfpn",TEAM_BLEND,30.3,6.93,211.4,0,,,,,,,,,,,,,30.3,6.93,211.4,76.75703374112926,TEAM_PRIOR_NO_NFL_HISTORY,30.3,20.0,AUTO_PRESEASON_USAGE,rookie,149.5,69.8,60.7,103.3,149.8,197.4,239.7,76.5,HIGH,71.8,HIGH,66.7,SOLID,61.3,SOLID,55.6,LEAN,49.9,COIN FLIP,44.3,COIN FLIP,38.7,LOW,33.4,LOW,28.4,LOW,23.8,VERY LOW,19.6,VERY LOW,15.9,VERY LOW,12.6,VERY LOW,9.9,VERY LOW,7.6,VERY LOW,5.7,VERY LOW,4.3,VERY LOW,3.1,VERY LOW,2.2,VERY LOW,1.6,VERY LOW,1.1,VERY LOW,0.7,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.9,99.3,94.0,80.5,61.4,46.1,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2899,NYJ,away,2026_PRE_W1_TB_NYJ,,TB at NYJ
12,2026,PRE,1,Preseason Week 1,00-0041561,Carson Beck,ARI,RES,0,19.0,,TEAM_BLEND,31.5,6.83,215.0,0,,,,,,,,,,,,,31.5,6.83,215.0,67.84229878654799,TEAM_PRIOR_NO_NFL_HISTORY,31.5,20.0,AUTO_PRESEASON_USAGE,rookie,148.3,60.5,70.7,107.3,147.8,188.5,224.8,78.6,HIGH,73.6,HIGH,67.9,SOLID,61.7,SOLID,55.2,LEAN,48.5,COIN FLIP,42.0,COIN FLIP,35.6,LOW,29.8,LOW,24.2,VERY LOW,19.3,VERY LOW,15.0,VERY LOW,11.5,VERY LOW,8.6,VERY LOW,6.4,VERY LOW,4.5,VERY LOW,3.1,VERY LOW,2.1,VERY LOW,1.4,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.2,94.1,79.8,57.8,44.5,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2832,LV,away,2026_PRE_W1_ARI_LV,,ARI at LV
13,2026,PRE,1,Preseason Week 1,00-0041194,Jack Strand,ATL,ACT,0,18.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oadw9h9otuauaiv1vxvz",TEAM_BLEND,29.6,6.91,205.1,0,,,,,,,,,,,,,29.6,6.91,205.1,70.84972775572558,TEAM_PRIOR_NO_NFL_HISTORY,29.6,20.0,AUTO_PRESEASON_USAGE,rookie,148.2,65.2,64.0,103.9,148.0,191.9,231.3,76.9,HIGH,71.9,HIGH,66.5,SOLID,60.9,SOLID,54.8,LEAN,48.7,COIN FLIP,42.6,COIN FLIP,36.7,LOW,31.2,LOW,25.9,LOW,21.2,VERY LOW,17.1,VERY LOW,13.4,VERY LOW,10.4,VERY LOW,7.8,VERY LOW,5.8,VERY LOW,4.2,VERY LOW,3.0,VERY LOW,2.1,VERY LOW,1.5,VERY LOW,1.0,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.2,94.1,77.7,57.1,46.1,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2610,DEN,home,2026_PRE_W1_DEN_ATL,,DEN at ATL
14,2026,PRE,1,Preseason Week 1,00-0041203,Joey Aguilar,JAX,ACT,0,17.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ftafwh4qrzhpxp8kq0ca",TEAM_BLEND,29.9,6.86,205.6,0,,,,,,,,,,,,,29.9,6.86,205.6,67.62900909900132,TEAM_PRIOR_NO_NFL_HISTORY,29.9,20.0,AUTO_PRESEASON_USAGE,rookie,147.4,61.9,68.4,106.0,147.5,189.2,226.9,78.0,HIGH,72.9,HIGH,67.2,SOLID,61.1,SOLID,54.8,LEAN,48.4,COIN FLIP,41.9,COIN FLIP,35.6,LOW,30.0,LOW,24.6,VERY LOW,19.8,VERY LOW,15.6,VERY LOW,12.1,VERY LOW,9.1,VERY LOW,6.7,VERY LOW,4.9,VERY LOW,3.4,VERY LOW,2.4,VERY LOW,1.6,VERY LOW,1.1,VERY LOW,0.7,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.4,94.2,83.9,65.4,49.5,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2830,NO,away,2026_PRE_W1_JAX_NO,,JAX at NO
15,2026,PRE,1,Preseason Week 1,00-0041565,Drew Allar,PIT,RES,0,16.0,,TEAM_BLEND,29.5,6.83,201.6,0,,,,,,,,,,,,,29.5,6.83,201.6,68.74960730582022,TEAM_PRIOR_NO_NFL_HISTORY,29.5,20.0,AUTO_PRESEASON_USAGE,rookie,146.4,63.4,65.5,104.0,146.6,189.1,228.3,77.0,HIGH,71.9,HIGH,66.2,SOLID,60.3,SOLID,54.2,LEAN,47.8,COIN FLIP,41.6,COIN FLIP,35.6,LOW,29.8,LOW,24.6,VERY LOW,20.0,VERY LOW,15.9,VERY LOW,12.4,VERY LOW,9.5,VERY LOW,7.1,VERY LOW,5.2,VERY LOW,3.8,VERY LOW,2.7,VERY LOW,1.8,VERY LOW,1.2,VERY LOW,0.8,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.1,93.9,83.4,68.3,55.7,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2683,GB,home,2026_PRE_W1_GB_PIT,,GB at PIT
16,2026,PRE,1,Preseason Week 1,00-0041156,Mark Gronowski,MIA,ACT,0,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yqbrulccgmwxaboyy3dx",TEAM_BLEND,29.2,6.82,200.4,0,,,,,,,,,,,,,29.2,6.82,200.4,73.3078371167153,TEAM_PRIOR_NO_NFL_HISTORY,29.2,20.0,AUTO_PRESEASON_USAGE,rookie,146.1,67.9,59.4,100.5,146.2,192.2,233.3,75.2,HIGH,70.3,HIGH,65.0,SOLID,59.4,LEAN,53.6,LEAN,47.8,COIN FLIP,42.1,COIN FLIP,36.4,LOW,31.0,LOW,26.0,LOW,21.5,VERY LOW,17.5,VERY LOW,14.0,VERY LOW,10.9,VERY LOW,8.4,VERY LOW,6.3,VERY LOW,4.6,VERY LOW,3.3,VERY LOW,2.4,VERY LOW,1.7,VERY LOW,1.2,VERY LOW,0.8,VERY LOW,0.5,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.4,94.5,76.0,52.2,34.2,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2698,WAS,away,2026_PRE_W1_MIA_WAS,,MIA at WAS
17,2026,PRE,1,Preseason Week 1,00-0041117,Athan Kaliakmanis,WAS,ACT,0,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ahtbv63jyg8ampmyrxn9",TEAM_BLEND,28.2,6.88,194.2,0,,,,,,,,,,,,,28.2,6.88,194.2,70.19315581302358,TEAM_PRIOR_NO_NFL_HISTORY,28.2,20.0,AUTO_PRESEASON_USAGE,rookie,146.0,66.2,62.4,101.6,146.2,190.7,231.3,75.8,HIGH,70.8,HIGH,65.5,SOLID,59.8,LEAN,53.8,LEAN,47.7,COIN FLIP,41.7,COIN FLIP,35.8,LOW,30.3,LOW,25.3,LOW,20.8,VERY LOW,16.7,VERY LOW,13.2,VERY LOW,10.3,VERY LOW,7.8,VERY LOW,5.8,VERY LOW,4.2,VERY LOW,3.0,VERY LOW,2.1,VERY LOW,1.4,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.2,93.4,78.9,68.6,49.5,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2869,MIA,home,2026_PRE_W1_MIA_WAS,,MIA at WAS
18,2026,PRE,1,Preseason Week 1,00-0041172,Miller Moss,CHI,ACT,0,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/p86kdskm2q45zetkrx03",TEAM_BLEND,30.5,6.76,206.8,0,,,,,,,,,,,,,30.5,6.76,206.8,67.7388097714107,TEAM_PRIOR_NO_NFL_HISTORY,30.5,20.0,AUTO_PRESEASON_USAGE,rookie,146.0,61.4,66.9,104.7,146.3,187.5,224.4,77.3,HIGH,72.0,HIGH,66.5,SOLID,60.5,SOLID,54.1,LEAN,47.6,COIN FLIP,41.2,COIN FLIP,35.0,LOW,29.0,LOW,23.7,VERY LOW,19.0,VERY LOW,14.9,VERY LOW,11.3,VERY LOW,8.6,VERY LOW,6.3,VERY LOW,4.5,VERY LOW,3.2,VERY LOW,2.2,VERY LOW,1.5,VERY LOW,1.0,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.2,95.5,81.1,68.8,53.4,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2856,CLE,home,2026_PRE_W1_CLE_CHI,,CLE at CHI
19,2026,PRE,1,Preseason Week 1,00-0034796,Lamar Jackson,BAL,ACT,8,8.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cruqs6qpbykh7a2whd7p",TEAM_BLEND,27.1,7.29,194.5,46,2025.0,190.8,182.7,195.6,196.1,245.4,21.4,22.7,23.2,9.95,8.64,8.91,22.6,9.06,198.9,52.86009001439921,NFL_HISTORY,22.6,15.0,AUTO_PRESEASON_USAGE,veteran_backup,145.3,46.6,85.7,113.6,145.1,176.6,204.6,83.4,VERY HIGH,77.4,HIGH,70.6,HIGH,62.8,SOLID,54.4,LEAN,45.8,COIN FLIP,37.6,LOW,29.7,LOW,22.7,VERY LOW,16.7,VERY LOW,11.9,VERY LOW,8.1,VERY LOW,5.3,VERY LOW,3.4,VERY LOW,2.1,VERY LOW,1.2,VERY LOW,0.7,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.9,99.4,96.9,89.1,72.1,60.1,QB_3_SEASON_EMPIRICAL,1668,PHI,home,2026_PRE_W1_PHI_BAL,,PHI at BAL
20,2026,PRE,1,Preseason Week 1,00-0039152,Will Levis,TEN,ACT,3,8.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/n7usvaleeuqvwomo68kf",TEAM_BLEND,29.6,6.68,196.5,19,2024.0,184.4,193.9,200.1,187.8,224.0,24.4,26.5,27.0,8.05,7.54,7.22,26.0,7.57,194.5,69.37677437286725,NFL_HISTORY,26.0,18.0,AUTO_PRESEASON_USAGE,young_backup,145.0,57.5,71.2,106.0,145.1,183.5,218.7,78.2,HIGH,72.7,HIGH,66.8,SOLID,60.3,SOLID,53.5,LEAN,46.5,COIN FLIP,39.7,LOW,33.0,LOW,26.9,LOW,21.6,VERY LOW,16.9,VERY LOW,12.9,VERY LOW,9.6,VERY LOW,7.0,VERY LOW,4.9,VERY LOW,3.4,VERY LOW,2.2,VERY LOW,1.4,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.9,99.0,95.3,87.7,77.1,60.5,QB_3_SEASON_EMPIRICAL,722,SF,away,2026_PRE_W1_TEN_SF,,TEN at SF
21,2026,PRE,1,Preseason Week 1,00-0039163,C.J. Stroud,HOU,ACT,3,7.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt4zrtxlhifaljhj0rn7",TEAM_BLEND,29.7,6.74,200.6,45,2025.0,212.6,220.9,215.1,217.2,229.8,29.2,30.6,30.2,7.38,7.46,7.42,29.8,7.33,218.0,52.70732331180857,NFL_HISTORY,29.8,18.0,AUTO_PRESEASON_USAGE,young_backup,144.9,44.2,88.2,115.2,145.1,174.8,201.7,84.5,VERY HIGH,78.6,HIGH,71.6,HIGH,63.4,SOLID,54.5,LEAN,45.6,COIN FLIP,36.7,LOW,28.6,LOW,21.4,VERY LOW,15.3,VERY LOW,10.7,VERY LOW,7.1,VERY LOW,4.5,VERY LOW,2.7,VERY LOW,1.6,VERY LOW,0.8,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.9,98.9,94.2,83.2,67.8,51.1,QB_3_SEASON_EMPIRICAL,2052,LAC,home,2026_PRE_W1_LAC_HOU,,LAC at HOU
22,2026,PRE,1,Preseason Week 1,00-0040906,Garrett Nussmeier,KC,ACT,0,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uyidfkzfhuqaks3pmdeo",TEAM_BLEND,30.5,6.63,205.2,0,,,,,,,,,,,,,30.5,6.63,205.2,76.608431349728,TEAM_PRIOR_NO_NFL_HISTORY,30.5,20.0,AUTO_PRESEASON_USAGE,rookie,143.5,69.5,54.8,96.6,143.7,190.6,232.5,73.4,HIGH,68.5,SOLID,63.2,SOLID,57.7,LEAN,52.1,LEAN,46.4,COIN FLIP,40.6,COIN FLIP,35.1,LOW,30.0,LOW,25.3,LOW,20.8,VERY LOW,17.0,VERY LOW,13.6,VERY LOW,10.6,VERY LOW,8.2,VERY LOW,6.3,VERY LOW,4.7,VERY LOW,3.5,VERY LOW,2.5,VERY LOW,1.8,VERY LOW,1.2,VERY LOW,0.8,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.0,91.1,81.3,64.4,47.4,TEAM_LEAGUE_3_SEASON_EMPIRICAL,3000,LAR,home,2026_PRE_W1_LAR_KC,,LAR at KC
23,2026,PRE,1,Preseason Week 1,00-0040673,Jalen Milroe,SEA,ACT,1,6.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gmucibahkrfu9xowwiio",TEAM_BLEND,29.1,7.24,209.5,0,,,,,,,,,,,,,29.1,7.24,209.5,71.14862695425265,TEAM_PRIOR_NO_NFL_HISTORY,29.1,18.0,AUTO_PRESEASON_USAGE,young_backup,142.2,62.7,62.5,100.0,142.0,184.6,222.3,75.0,HIGH,69.5,SOLID,63.7,SOLID,57.6,LEAN,51.3,LEAN,44.9,COIN FLIP,38.8,LOW,32.9,LOW,27.4,LOW,22.3,VERY LOW,17.7,VERY LOW,13.9,VERY LOW,10.7,VERY LOW,8.1,VERY LOW,5.9,VERY LOW,4.2,VERY LOW,2.9,VERY LOW,2.0,VERY LOW,1.4,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.9,99.0,93.9,77.6,65.1,45.6,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2809,DAL,home,2026_PRE_W1_DAL_SEA,,DAL at SEA
24,2026,PRE,1,Preseason Week 1,00-0041562,Fernando Mendoza,LV,RES,0,15.0,,TEAM_BLEND,28.9,6.65,193.2,0,,,,,,,,,,,,,28.9,6.65,193.2,75.64967657933504,TEAM_PRIOR_NO_NFL_HISTORY,28.9,20.0,AUTO_PRESEASON_USAGE,rookie,142.1,70.5,52.1,94.6,142.3,189.6,232.6,72.5,HIGH,67.6,SOLID,62.5,SOLID,56.9,LEAN,51.3,LEAN,45.6,COIN FLIP,40.0,COIN FLIP,34.6,LOW,29.5,LOW,24.8,VERY LOW,20.5,VERY LOW,16.7,VERY LOW,13.4,VERY LOW,10.7,VERY LOW,8.3,VERY LOW,6.3,VERY LOW,4.7,VERY LOW,3.5,VERY LOW,2.6,VERY LOW,1.8,VERY LOW,1.3,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,98.9,92.7,77.6,61.1,43.7,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2802,ARI,home,2026_PRE_W1_ARI_LV,,ARI at LV
25,2026,PRE,1,Preseason Week 1,00-0040996,Jacob Clark,LV,ACT,0,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zw2yzeb5jhowboogfpki",TEAM_BLEND,28.9,6.65,193.2,0,,,,,,,,,,,,,28.9,6.65,193.2,75.64967657933504,TEAM_PRIOR_NO_NFL_HISTORY,28.9,20.0,AUTO_PRESEASON_USAGE,rookie,142.1,70.5,52.6,95.3,142.7,190.2,233.3,72.8,HIGH,67.9,SOLID,62.6,SOLID,57.1,LEAN,51.5,LEAN,45.9,COIN FLIP,40.4,COIN FLIP,35.0,LOW,29.8,LOW,25.1,LOW,20.8,VERY LOW,17.0,VERY LOW,13.7,VERY LOW,10.8,VERY LOW,8.4,VERY LOW,6.4,VERY LOW,4.8,VERY LOW,3.5,VERY LOW,2.6,VERY LOW,1.9,VERY LOW,1.3,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.2,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.0,92.6,77.7,61.1,43.6,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2802,ARI,home,2026_PRE_W1_ARI_LV,,ARI at LV
26,2026,PRE,1,Preseason Week 1,00-0033319,Nick Mullens,JAX,ACT,9,14.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xrpcaavzkqoq1ybqthgm",TEAM_BLEND,29.9,6.86,205.6,5,2023.0,261.2,261.2,261.2,261.2,,29.6,29.6,29.6,8.22,8.22,8.22,29.6,8.06,261.2,154.98128919324424,NFL_HISTORY,29.6,15.0,AUTO_PRESEASON_USAGE,veteran_backup,141.9,98.5,15.8,76.0,142.6,209.0,269.3,66.6,SOLID,62.8,SOLID,59.1,LEAN,55.1,LEAN,51.1,LEAN,47.0,COIN FLIP,42.9,COIN FLIP,38.9,LOW,35.1,LOW,31.4,LOW,27.9,LOW,24.7,VERY LOW,21.5,VERY LOW,18.8,VERY LOW,16.2,VERY LOW,13.8,VERY LOW,11.7,VERY LOW,9.9,VERY LOW,8.3,VERY LOW,6.8,VERY LOW,5.6,VERY LOW,4.5,VERY LOW,3.6,VERY LOW,2.8,VERY LOW,2.2,VERY LOW,1.7,VERY LOW,1.3,VERY LOW,1.0,VERY LOW,0.8,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,99.7,98.5,91.6,88.0,73.1,42.1,QB_3_SEASON_EMPIRICAL,189,NO,away,2026_PRE_W1_JAX_NO,,JAX at NO
27,2026,PRE,1,Preseason Week 1,00-0041149,Haynes King,CAR,ACT,0,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qcloyq4ahyh0hfzo6i0i",TEAM_BLEND,29.5,6.6,195.7,0,,,,,,,,,,,,,29.5,6.6,195.7,73.01381465694534,TEAM_PRIOR_NO_NFL_HISTORY,29.5,20.0,AUTO_PRESEASON_USAGE,rookie,141.5,67.3,55.4,96.1,141.6,187.2,228.1,73.1,HIGH,67.9,SOLID,62.4,SOLID,56.8,LEAN,50.9,LEAN,45.1,COIN FLIP,39.3,LOW,33.7,LOW,28.5,LOW,23.7,VERY LOW,19.3,VERY LOW,15.5,VERY LOW,12.2,VERY LOW,9.5,VERY LOW,7.2,VERY LOW,5.3,VERY LOW,3.9,VERY LOW,2.8,VERY LOW,2.0,VERY LOW,1.4,VERY LOW,0.9,VERY LOW,0.6,VERY LOW,0.4,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,98.8,93.9,79.0,63.9,49.5,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2748,BUF,away,2026_PRE_W1_CAR_BUF,,CAR at BUF
28,2026,PRE,1,Preseason Week 1,00-0040014,Kyle McCord,GB,ACT,1,18.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hkbbhsm1fmmkfn87rdyl",TEAM_BLEND,28.0,7.26,201.2,0,,,,,,,,,,,,,28.0,7.26,201.2,72.53875558920684,TEAM_PRIOR_NO_NFL_HISTORY,28.0,18.0,AUTO_PRESEASON_USAGE,young_backup,141.2,65.2,57.2,96.9,141.0,184.7,224.3,73.5,HIGH,68.2,SOLID,62.7,SOLID,56.7,LEAN,50.6,LEAN,44.5,COIN FLIP,38.5,LOW,32.8,LOW,27.4,LOW,22.5,VERY LOW,18.2,VERY LOW,14.4,VERY LOW,11.2,VERY LOW,8.6,VERY LOW,6.4,VERY LOW,4.7,VERY LOW,3.4,VERY LOW,2.4,VERY LOW,1.7,VERY LOW,1.2,VERY LOW,0.8,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.2,94.3,83.6,69.2,53.9,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2665,PIT,away,2026_PRE_W1_GB_PIT,,GB at PIT
29,2026,PRE,1,Preseason Week 1,00-0041092,Taylen Green,CLE,ACT,0,15.0,,TEAM_BLEND,30.4,6.42,196.0,0,,,,,,,,,,,,,30.4,6.42,196.0,81.42517894021634,TEAM_PRIOR_NO_NFL_HISTORY,30.4,20.0,AUTO_PRESEASON_USAGE,rookie,138.5,74.0,43.8,88.9,138.4,188.2,233.6,70.0,SOLID,65.1,SOLID,59.9,LEAN,54.6,LEAN,49.1,COIN FLIP,43.8,COIN FLIP,38.5,LOW,33.5,LOW,28.6,LOW,24.3,VERY LOW,20.2,VERY LOW,16.7,VERY LOW,13.6,VERY LOW,10.9,VERY LOW,8.6,VERY LOW,6.7,VERY LOW,5.1,VERY LOW,3.8,VERY LOW,2.8,VERY LOW,2.0,VERY LOW,1.5,VERY LOW,1.0,VERY LOW,0.7,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,99.9,98.9,92.2,80.0,60.0,47.0,TEAM_LEAGUE_3_SEASON_EMPIRICAL,3000,CHI,away,2026_PRE_W1_CLE_CHI,,CLE at CHI
30,2026,PRE,1,Preseason Week 1,00-0041056,Cade Klubnik,NYJ,ACT,0,10.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sqsxavkryojbysy4kq85",TEAM_BLEND,28.6,6.47,188.0,0,,,,,,,,,,,,,28.6,6.47,188.0,74.90700657764373,TEAM_PRIOR_NO_NFL_HISTORY,28.6,20.0,AUTO_PRESEASON_USAGE,rookie,138.2,70.1,48.2,90.7,137.9,185.6,228.3,70.5,HIGH,65.5,SOLID,60.0,LEAN,54.5,LEAN,48.8,COIN FLIP,43.2,COIN FLIP,37.8,LOW,32.5,LOW,27.6,LOW,23.0,VERY LOW,18.9,VERY LOW,15.4,VERY LOW,12.2,VERY LOW,9.6,VERY LOW,7.4,VERY LOW,5.5,VERY LOW,4.2,VERY LOW,3.1,VERY LOW,2.2,VERY LOW,1.5,VERY LOW,1.0,VERY LOW,0.7,VERY LOW,0.5,VERY LOW,0.3,VERY LOW,0.2,VERY LOW,0.1,VERY LOW,0.1,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,0.0,VERY LOW,100.0,99.0,93.9,81.0,63.1,47.5,TEAM_LEAGUE_3_SEASON_EMPIRICAL,2818,TB,home,2026_PRE_W1_TB_NYJ,,TB at NYJ
