Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality
1,2026-07-30,824894,2026-07-30T23:15:00Z,Scheduled,Truist Park,Washington Nationals @ Atlanta Braves,Away,682928,CJ Abrams,Washington Nationals,Atlanta Braves,SS,L,No,,105,449,394,115,21,2,27,68,82,39,10,97,0.292,0.365,0.561,0.926,12,54,49,20,7,0.408,0.1296,21,94,83,30,9,0.361,0.0957,25,25,12.0,32.0,47.1,23.5,29.4,24.0,40.0,50.0,44.0,16.0,12.0,16.0,100.0,83.6,24.4,0.704,69.8,56.8,Average,3.5,Pull Power,A-,Elevated power plane,56.8,Average,1.019,Good,2.55,-24.45,Strong negative regression,Average Pull Power profile. 12.0% barrel rate; 83.6 mph average exit velocity; 40.0% air-ball rate; 50.0% pull-air rate; 16.0% HR-launch rate.,0.0601,0.0542,4.23,10,3,14.6,0.69,68.5,Recently homered,656550.0,Grant Holmes,R,LHB vs RHP,20,19,97.1,3.79,1.36,15,1.39,7.67,3.98,1.35,1.046,1.025,1.03,1.019,1.05,1.0,21.0,30.49,84.5,64.7,B-,Lineup unconfirmed
2,2026-07-30,824488,2026-07-30T23:10:00Z,Scheduled,Great American Ball Park,Pittsburgh Pirates @ Cincinnati Reds,Away,699013,Esmerlyn Valdez,Pittsburgh Pirates,Cincinnati Reds,RF,R,No,,40,155,133,37,8,1,14,26,36,20,1,56,0.278,0.374,0.669,1.043,12,50,39,8,4,0.205,0.08,23,101,85,22,8,0.259,0.0792,25,25,12.0,24.0,66.7,0.0,33.3,12.0,32.0,62.5,28.0,12.0,8.0,12.0,33.3,82.3,21.7,0.88,69.7,45.6,Below Average,3.0,Pull Power,A-,Elevated power plane,45.6,Below Average,0.988,Good,2.45,-11.55,Strong negative regression,Below Average Pull Power profile. 12.0% barrel rate; 82.3 mph average exit velocity; 32.0% air-ball rate; 62.5% pull-air rate; 12.0% HR-launch rate.,0.0903,0.0649,4.23,10,3,9.5,1.05,105.3,Near normal interval,695076.0,Rhett Lowder,R,RHB vs RHP,18,15,77.0,5.61,1.57,9,1.05,7.6,4.32,1.091,0.992,0.985,1.08,0.988,1.067,1.0,24.7,27.69,71.1,61.5,B-,Lineup unconfirmed
3,2026-07-30,823595,2026-07-30T23:10:00Z,Scheduled,Citi Field,Miami Marlins @ New York Mets,Away,665052,Griffin Conine,Miami Marlins,New York Mets,RF,L,No,,42,127,112,31,5,0,9,19,20,13,2,37,0.277,0.362,0.563,0.925,12,36,33,10,4,0.303,0.1111,23,71,63,17,6,0.27,0.0845,26,26,3.8,34.6,53.8,30.8,15.4,15.4,26.9,57.1,34.6,7.7,3.8,7.7,100.0,85.2,11.8,0.505,70.2,34.1,Weak,2.5,Pull Power,A,Excellent HR swing plane,34.1,Weak,0.955,Good,1.21,-7.79,Strong negative regression,Weak Pull Power profile. 3.8% barrel rate; 85.2 mph average exit velocity; 26.9% air-ball rate; 57.1% pull-air rate; 7.7% HR-launch rate.,0.0709,0.052,4.23,0,0,12.4,0.0,0.0,Very recent HR,690997.0,Nolan McLean,R,LHB vs RHP,21,21,119.1,3.32,1.11,11,0.83,10.71,3.24,1.35,0.957,1.025,1.03,0.955,0.984,0.98,20.21,25.21,66.8,53.8,C,Lineup unconfirmed
4,2026-07-30,824568,2026-07-30T18:10:00Z,Scheduled,Rate Field,New York Yankees @ Chicago White Sox,Home,808959,Munetaka Murakami,Chicago White Sox,New York Yankees,1B,L,No,,72,313,254,61,9,0,23,57,49,57,1,102,0.24,0.38,0.547,0.927,12,54,43,12,3,0.279,0.0556,15,67,54,13,3,0.241,0.0448,23,23,17.4,47.8,60.0,26.7,6.7,13.0,34.8,75.0,43.5,17.4,13.0,17.4,50.0,87.1,23.2,1.023,70.3,74.9,Great,4.0,Barrel Machine,A-,Elevated power plane,74.9,Great,1.07,Good,3.5,-19.5,Strong negative regression,Great Barrel Machine profile. 17.4% barrel rate; 87.1 mph average exit velocity; 34.8% air-ball rate; 75.0% pull-air rate; 17.4% HR-launch rate.,0.0735,0.062,4.25,0,0,11.0,0.0,0.0,Very recent HR,677960.0,Ryan Weathers,L,LHB vs LHP,20,20,108.0,4.25,1.27,17,1.42,10.17,2.5,0.927,1.051,0.985,1.03,1.07,1.102,0.98,23.81,24.59,79.7,54.7,C+,Lineup unconfirmed
5,2026-07-30,823921,2026-07-31T02:10:00Z,Scheduled,UNIQLO Field at Dodger Stadium,Seattle Mariners @ Los Angeles Dodgers,Away,686527,Dominic Canzone,Seattle Mariners,Los Angeles Dodgers,DH,L,No,,94,301,269,71,16,1,18,38,49,26,4,61,0.264,0.336,0.532,0.868,11,47,42,11,3,0.262,0.0638,19,82,75,18,5,0.24,0.061,33,33,9.1,27.3,47.4,31.6,21.1,18.2,30.3,40.0,33.3,15.2,12.1,15.2,100.0,82.2,19.0,1.017,73.3,45.9,Below Average,3.0,Contact-First Profile,A,Excellent HR swing plane,45.9,Below Average,0.989,Good,2.61,-15.39,Strong negative regression,Below Average Contact-First Profile profile. 9.1% barrel rate; 82.2 mph average exit velocity; 30.3% air-ball rate; 40.0% pull-air rate; 15.2% HR-launch rate.,0.0598,0.0519,4.15,3,1,14.9,0.2,20.1,Very recent HR,808963.0,Roki Sasaki,R,LHB vs RHP,18,18,93.2,4.71,1.29,20,1.92,9.03,3.46,1.082,1.131,1.025,1.03,0.989,1.018,0.98,19.83,24.32,80.1,53.4,C,Lineup unconfirmed
6,2026-07-30,823595,2026-07-30T23:10:00Z,Scheduled,Citi Field,Miami Marlins @ New York Mets,Home,621438,Tyrone Taylor,New York Mets,Miami Marlins,CF,R,No,,64,155,141,34,8,0,9,21,26,9,1,30,0.241,0.291,0.489,0.78,8,25,20,8,3,0.4,0.12,19,49,42,14,6,0.333,0.1224,11,11,18.2,63.6,71.4,28.6,0.0,27.3,45.5,80.0,36.4,18.2,18.2,18.2,100.0,94.0,19.4,1.234,71.4,70.7,Above Average,4.0,Pure Power,A,Excellent HR swing plane,70.7,Above Average,1.058,Small Statcast sample,1.97,-7.03,Strong negative regression,Above Average Pure Power profile. 18.2% barrel rate; 94.0 mph average exit velocity; 45.5% air-ball rate; 80.0% pull-air rate; 18.2% HR-launch rate.,0.0581,0.0467,3.99,5,2,15.7,0.32,31.9,Very recent HR,691587.0,Eury Pérez,R,RHB vs RHP,18,18,98.2,3.56,1.11,13,1.19,9.67,3.47,1.35,1.014,0.985,1.0,1.058,1.058,0.98,17.37,23.62,67.0,49.1,C,Lineup unconfirmed
7,2026-07-30,823921,2026-07-31T02:10:00Z,Scheduled,UNIQLO Field at Dodger Stadium,Seattle Mariners @ Los Angeles Dodgers,Home,571970,Max Muncy,Los Angeles Dodgers,Seattle Mariners,3B,L,No,,99,376,328,84,16,1,21,59,49,45,3,89,0.256,0.351,0.503,0.854,10,40,35,8,4,0.229,0.1,20,77,68,15,4,0.221,0.0519,14,14,21.4,35.7,62.5,25.0,12.5,35.7,35.7,60.0,14.3,14.3,7.1,14.3,66.7,87.9,21.1,0.789,72.3,59.2,Average,3.5,Pull Power,A-,Elevated power plane,59.2,Average,1.026,Small Statcast sample,2.42,-18.58,Strong negative regression,Average Pull Power profile. 21.4% barrel rate; 87.9 mph average exit velocity; 35.7% air-ball rate; 60.0% pull-air rate; 14.3% HR-launch rate.,0.0559,0.0501,4.09,4,1,15.6,0.26,25.6,Very recent HR,693433.0,Bryan Woo,R,LHB vs RHP,20,20,115.1,4.37,1.14,12,0.94,8.9,1.87,1.226,0.974,1.025,1.0,1.026,1.026,0.98,18.95,22.91,83.2,51.4,C,Lineup unconfirmed
8,2026-07-30,824568,2026-07-30T18:10:00Z,Scheduled,Rate Field,New York Yankees @ Chicago White Sox,Away,700250,Ben Rice,New York Yankees,Chicago White Sox,1B,L,No,,103,443,387,105,19,3,31,70,73,51,3,109,0.271,0.359,0.576,0.935,12,53,50,11,2,0.22,0.0377,23,101,89,25,8,0.281,0.0792,27,27,11.1,25.9,40.0,40.0,20.0,14.8,33.3,33.3,44.4,7.4,7.4,7.4,66.7,83.3,11.4,0.718,70.2,35.7,Below Average,2.5,Contact-First Profile,A,Excellent HR swing plane,35.7,Below Average,0.96,Good,2.24,-28.76,Strong negative regression,Below Average Contact-First Profile profile. 11.1% barrel rate; 83.3 mph average exit velocity; 33.3% air-ball rate; 33.3% pull-air rate; 7.4% HR-launch rate.,0.07,0.0619,4.23,13,3,12.5,1.04,104.1,Near normal interval,680732.0,Sean Burke,R,LHB vs RHP,21,17,118.1,3.19,1.12,13,0.99,9.89,2.66,0.965,0.982,1.025,1.03,0.96,0.989,1.0,23.68,22.83,85.0,54.0,C+,Lineup unconfirmed
9,2026-07-30,822946,2026-07-30T16:10:00Z,Scheduled,Tropicana Field,Texas Rangers @ Tampa Bay Rays,Home,683748,Victor Mesa Jr.,Tampa Bay Rays,Texas Rangers,RF,L,No,,42,129,112,25,2,0,8,17,17,15,0,32,0.223,0.313,0.455,0.768,9,25,23,6,3,0.261,0.12,19,58,51,13,5,0.255,0.0862,16,16,0.0,25.0,20.0,60.0,20.0,0.0,6.2,0.0,25.0,6.2,0.0,6.2,,76.2,11.9,0.422,69.4,16.2,Weak,1.5,Contact-First Profile,A,Excellent HR swing plane,16.2,Weak,0.905,Small Statcast sample,0.11,-7.89,Strong negative regression,Weak Contact-First Profile profile. 0.0% barrel rate; 76.2 mph average exit velocity; 6.2% air-ball rate; 0.0% pull-air rate; 6.2% HR-launch rate.,0.062,0.0476,3.99,11,5,14.0,0.79,78.6,Recently homered,668390.0,Cole Winn,R,LHB vs RHP,39,0,35.1,6.11,1.36,7,1.78,9.17,2.55,1.35,1.055,1.025,1.0,0.905,0.905,1.0,17.67,22.81,65.9,47.7,C-,Lineup unconfirmed
10,2026-07-30,824894,2026-07-30T23:15:00Z,Scheduled,Truist Park,Washington Nationals @ Atlanta Braves,Away,695578,James Wood,Washington Nationals,Atlanta Braves,RF,L,No,,109,513,420,114,26,1,30,98,72,86,4,148,0.271,0.398,0.552,0.95,12,59,51,11,2,0.216,0.0339,22,108,85,26,9,0.306,0.0833,21,21,9.5,33.3,43.8,18.8,37.5,23.8,33.3,0.0,33.3,4.8,0.0,4.8,100.0,89.4,10.3,0.765,71.5,27.0,Weak,2.0,Contact-First Profile,A,Excellent HR swing plane,27.0,Weak,0.936,Good,1.48,-28.52,Strong negative regression,Weak Contact-First Profile profile. 9.5% barrel rate; 89.4 mph average exit velocity; 33.3% air-ball rate; 0.0% pull-air rate; 4.8% HR-launch rate.,0.0585,0.0535,4.31,11,3,14.0,0.79,78.6,Recently homered,656550.0,Grant Holmes,R,LHB vs RHP,20,19,97.1,3.79,1.36,15,1.39,7.67,3.98,1.02,1.046,1.025,1.055,0.936,0.987,1.0,21.09,22.61,85.0,52.7,C,Lineup unconfirmed
