player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_pass_tds,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,projected_attempts,pass_td_rate_per_attempt,red_zone_pass_rate,goal_to_go_pass_rate,end_zone_target_rate,qb_pressure_rate,qb_interception_rate,recent_pass_td_per_game,last_5_pass_td_avg,last_10_pass_td_avg,last_15_pass_td_avg,attempt_stability,opp_pass_td_allowed_pg,opp_rz_pass_td_rate,opp_goal_to_go_pass_td_rate,opp_pressure_rate,opp_int_rate_forced,opp_pass_td_factor,preseason_usage_multiplier,data_source,simulations,model_version,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,prob_5_plus
00-0026498,Matthew Stafford,LAR,NO,QB,QB,ACT,17.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_NO_LAR,,home,1.929,1.929,2.0,0.0,4.0,1.75,18.23,6.93,16.56,8.51,7.59,14.27,1.43,2.5,2.4,2.5,2.733,91.3,1.294,17.86,31.58,13.46,2.38,1.18,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,77.05,50.59,30.68,17.57,9.57
00-0036442,Joe Burrow,CIN,CHI,QB,QB,ACT,6.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_CHI_CIN,,home,1.687,1.687,1.0,0.0,4.0,1.626,17.17,6.26,17.17,9.5,8.25,16.95,1.46,2.4,2.6,2.1,2.4,82.6,1.585,21.8,35.77,14.98,3.01,1.18,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,72.42,45.14,26.09,13.61,6.77
00-0033106,Jared Goff,DET,WAS,QB,QB,ACT,10.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_WAS_DET,,home,1.457,1.457,1.0,0.0,3.0,1.466,18.14,5.55,16.31,7.6,6.64,16.41,1.76,1.855,1.8,1.9,1.867,88.4,1.87,24.55,30.2,14.38,1.45,1.18,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,69.1,39.62,20.19,9.66,4.64
00-0033873,Patrick Mahomes,KC,TB,QB,QB,ACT,9.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_KC_TB,,away,1.219,1.219,1.0,0.0,3.0,1.322,17.47,4.68,17.55,8.95,7.57,17.45,1.92,1.315,1.0,1.5,1.667,90.8,1.574,20.37,31.67,14.64,1.59,1.18,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,63.51,32.86,14.84,6.53,2.7
00-0037834,Brock Purdy,SF,LAC,QB,QB,ACT,4.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_SF_LAC,,away,1.192,1.192,1.0,0.0,3.0,1.308,14.73,5.29,16.22,7.55,6.36,14.2,2.59,1.955,2.0,2.0,1.933,93.3,1.283,16.88,26.92,15.35,2.39,1.18,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,62.44,31.95,14.72,6.31,2.45
00-0039918,Caleb Williams,CHI,CIN,QB,QB,ACT,2.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_CHI_CIN,,away,1.174,1.174,1.0,0.0,3.0,1.289,18.04,4.64,13.63,5.8,5.27,14.23,1.36,1.83,2.0,1.8,1.533,91.2,1.686,25.32,33.33,16.09,2.52,1.18,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,62.42,31.53,13.93,5.82,2.47
00-0036971,Trevor Lawrence,JAX,CAR,QB,QB,ACT,5.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_CAR_JAX,,home,1.171,1.171,1.0,0.0,3.0,1.28,15.21,5.0,13.55,6.36,5.9,13.04,2.27,2.39,2.8,2.3,1.867,91.1,1.481,24.08,36.63,11.72,1.99,1.18,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,62.41,31.59,13.84,5.78,2.31
00-0039851,Drake Maye,NE,PHI,QB,QB,ACT,2.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_PHI_NE,,home,1.167,1.167,1.0,0.0,3.0,1.28,13.6,6.14,13.72,7.19,5.39,17.22,2.08,1.59,1.4,1.7,1.8,82.8,1.456,20.08,30.6,14.94,1.97,1.18,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,61.88,31.83,13.9,5.86,2.22
00-0039732,Bo Nix,DEN,GB,QB,QB,ACT,2.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_GB_DEN,,home,1.154,1.154,1.0,0.0,3.0,1.264,17.9,4.64,13.91,6.3,5.53,10.53,1.84,1.595,1.8,1.3,1.533,88.7,1.382,21.61,27.05,16.38,1.8,1.18,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,61.61,31.22,13.94,5.77,2.03
00-0034796,Lamar Jackson,BAL,MIN,QB,QB,ACT,8.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_BAL_MIN,,away,1.146,1.146,1.0,0.0,3.0,1.27,10.71,7.7,14.47,6.96,6.06,13.78,1.38,1.345,1.2,1.2,1.667,80.4,1.231,17.36,30.0,16.56,2.3,1.18,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,61.58,30.55,13.69,5.65,2.1
00-0034855,Baker Mayfield,TB,KC,QB,QB,ACT,8.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_KC_TB,,home,1.128,1.128,1.0,0.0,3.0,1.26,14.8,5.47,13.43,6.9,6.06,10.72,2.04,1.405,1.4,1.3,1.4,84.6,1.207,19.85,32.74,18.81,1.68,1.18,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,60.8,30.03,13.69,5.23,2.06
00-0034857,Josh Allen,BUF,CLE,QB,QB,ACT,8.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_BUF_CLE,,away,1.108,1.108,1.0,0.0,3.0,1.248,14.72,5.16,14.76,6.81,5.84,12.38,1.95,1.505,1.4,1.6,1.6,88.0,1.481,26.84,40.22,18.85,1.94,1.18,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,60.77,29.09,12.58,5.3,1.96
00-0036264,Jordan Love,GB,DEN,QB,QB,ACT,6.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_GB_DEN,,away,1.13,1.13,1.0,0.0,3.0,1.265,14.74,4.88,17.12,6.41,5.81,13.97,2.0,1.985,2.4,1.7,1.667,82.1,1.37,18.15,26.24,19.72,1.85,1.18,0.48,ADVANCED_PASS_TD_USAGE,10000,NFL_PASS_TD_V1,60.6,30.42,13.57,5.29,2.08
