player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_receiving_yards,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,projected_targets,projected_receptions,target_share,catch_rate,yards_per_target,yards_per_reception,last5_targets,target_trend_pct,targets,target_share_pct,projected_target_share,projected_rec,catch_rate_pct,receiving_yards_per_target,receiving_yards_per_reception,prob_10_plus,prob_20_plus,prob_30_plus,prob_40_plus,prob_50_plus,prob_60_plus,prob_70_plus,prob_80_plus,prob_90_plus,prob_100_plus,team_targets_pg,team_pass_attempts_pg,team_catch_rate,team_yards_per_target,team_yards_per_reception,team_explosive_rec_rate,team_epa_per_target,pace_plays_per_game,opp_rec_def_rating,opp_secondary_rating,opp_rec_yards_allowed_pg,opp_targets_allowed_pg,opp_receptions_allowed_pg,opp_catch_rate_allowed,opp_yards_per_target_allowed,opp_explosive_rec_rate_allowed,opp_epa_per_target_allowed,opp_pressure_rate,stadium_name,stadium_type,temperature_f,wind_mph,precipitation_pct,weather_condition,receiving_weather_rating,spread,game_total,team_implied_points,opp_implied_points,odds_details,receiving_matchup_score
00-0039021,Roschon Johnson,CHI,CIN,RB,RB,ACT,3.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_CHI_CIN,,away,9.976,9.976,7.393,0.0,24.952,10.461,18,9.4,18.2,17.133,14.857,2.4,0.5,1.009,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,1.391,1.135,9.7,81.63,5.245,6.425,2.4,-40.0,1.391,9.7,9.7,1.135,81.63,5.245,6.425,42.71,17.75,5.06,1.08,0.13,0.01,0.01,0.0,0.0,0.0,35.924528301886795,35.924528301886795,0.0,6.133403361344538,,8.403361344537815,,35.924528301886795,47.24966778059115,47.24966778059115,250.2941176470588,34.98039215686274,0.0,0.0,7.155269058295964,9.697309417040358,,0.0,Soldier Field,OUTDOOR,,,,,100.0,,,,,,97.3
00-0040187,Mitchell Evans,CAR,JAX,TE,TE,ACT,1.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_CAR_JAX,,away,9.967,9.967,8.143,0.0,23.759,9.599,13,10.6,13.0,13.154,13.154,2.2,0.68,1.0,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,1.248,0.912,7.57,73.08,6.577,9.0,2.2,37.5,1.248,7.57,7.57,0.912,73.08,6.577,9.0,43.78,16.54,3.44,0.45,0.05,0.0,0.0,0.0,0.0,0.0,35.23076923076923,35.23076923076923,0.0,5.638646288209607,,6.550218340611353,,35.23076923076923,49.71135308304035,49.71135308304035,255.6346153846154,38.17307692307692,0.0,0.0,6.696725440806046,8.41309823677582,,0.0,Highmark Stadium,OUTDOOR,,,,,100.0,,,,,,97.2
00-0032764,Derrick Henry,BAL,MIN,RB,RB,ACT,10.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_BAL_MIN,,away,9.94,9.94,7.104,0.0,25.292,10.619,41,19.0,11.4,12.733,11.538,1.6,0.5,0.974,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,1.078,0.705,6.76,65.38,6.654,10.176,1.6,0.0,1.078,6.76,6.76,0.705,65.38,6.654,10.176,42.05,18.0,5.43,1.15,0.2,0.02,0.0,0.0,0.0,0.0,29.545454545454547,29.545454545454547,0.0,7.558769230769231,,10.03076923076923,,29.545454545454547,51.417035676352654,51.417035676352654,232.53846153846155,35.88461538461539,0.0,0.0,6.480171489817792,7.395498392282958,,0.0,M&T Bank Stadium,OUTDOOR,,,,,100.0,,,,,,101.6
00-0040194,Jackson Hawes,BUF,CLE,TE,TE,ACT,1.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_BUF_CLE,,away,9.916,9.916,8.456,0.0,23.122,9.285,13,9.6,14.8,14.385,14.385,1.2,0.68,0.96,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,0.83,0.699,5.69,84.21,9.842,11.688,1.2,-40.0,0.83,5.69,5.69,0.699,84.21,9.842,11.688,44.73,15.65,3.11,0.33,0.01,0.0,0.0,0.0,0.0,0.0,33.172413793103445,33.172413793103445,0.0,7.210498960498961,,9.615384615384617,,33.172413793103445,50.490592487918775,50.490592487918775,204.44230769230768,32.75,0.0,0.0,6.242513211978861,8.396946564885496,,0.0,Highmark Stadium,OUTDOOR,,,,,100.0,,,,,,100.6
00-0036754,Brock Wright,DET,WAS,TE,TE,ACT,5.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_WAS_DET,,home,9.787,9.787,7.898,0.0,23.395,9.678,25,14.2,14.5,11.467,15.429,3.2,0.5,1.124,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,1.422,0.978,8.29,68.75,5.375,7.818,3.2,60.0,1.422,8.29,8.29,0.978,68.75,5.375,7.818,42.65,15.91,3.69,0.64,0.06,0.0,0.0,0.0,0.0,0.0,36.56363636363636,36.56363636363636,0.0,7.545997016409746,,10.59174540029836,,36.56363636363636,47.82956927731748,47.82956927731748,247.83333333333334,34.51851851851852,0.0,0.0,7.179721030042918,9.2274678111588,,0.0,Paycor Stadium,OUTDOOR,,,,,100.0,,,,,,100.3
00-0038589,Josh Whyle,GB,DEN,TE,TE,ACT,3.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_GB_DEN,,away,9.736,9.736,4.862,0.0,27.246,11.868,28,6.8,13.3,12.467,6.0,1.0,0.5,0.957,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,0.874,0.633,6.37,72.41,5.552,7.667,1.0,-66.67,0.874,6.37,6.37,0.633,72.41,5.552,7.667,38.62,19.68,7.65,2.3,0.47,0.1,0.01,0.0,0.0,0.0,32.30909090909091,32.30909090909091,0.0,7.368036015756894,,10.80472706809229,,32.30909090909091,51.761331181873786,51.761331181873786,235.90740740740742,37.94444444444444,0.0,0.0,6.217179111761835,7.46705710102489,,0.0,Acrisure Stadium,OUTDOOR,,,,,100.0,,,,,,101.4
00-0029892,Kyle Juszczyk,SF,LAC,RB,FB,ACT,13.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_SF_LAC,,away,9.732,9.732,6.516,0.0,25.511,10.765,36,15.8,12.2,14.2,14.2,1.8,0.5,0.899,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,0.831,0.72,6.89,86.67,7.867,9.077,2.0,0.0,0.831,6.89,6.89,0.72,86.67,7.867,9.077,40.53,18.16,5.71,1.22,0.14,0.01,0.0,0.0,0.0,0.0,33.57142857142857,33.57142857142857,0.0,7.774468085106383,,11.063829787234042,,33.57142857142857,50.38477255818596,50.38477255818596,231.67924528301887,35.528301886792455,0.0,0.0,6.520977164099841,8.12533191715348,,0.0,Levi's Stadium,OUTDOOR,,,,,100.0,,,,,,101.7
00-0040242,Jacory Croskey-Merritt,WAS,DET,RB,RB,ACT,1.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_WAS_DET,,away,9.73,9.73,6.998,0.0,24.813,10.414,10,2.8,6.8,6.8,6.8,1.2,0.68,1.087,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,1.267,0.877,4.81,69.23,5.231,7.556,1.2,-14.29,1.267,4.81,4.81,0.877,69.23,5.231,7.556,41.86,17.21,5.18,0.93,0.06,0.0,0.0,0.0,0.0,0.0,35.425925925925924,35.425925925925924,0.0,6.462101411395714,,7.631991636173549,,35.425925925925924,46.53190399038676,46.53190399038676,260.94545454545454,37.09090909090909,0.0,0.0,7.035294117647059,10.392156862745098,,0.0,Northwest Stadium,OUTDOOR,,,,,100.0,,,,,,97.7
00-0039379,Jamari Thrash,CLE,BUF,WR,WR,ACT,2.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_BUF_CLE,,home,9.624,9.624,7.778,0.0,22.974,9.273,14,17.8,10.7,9.214,13.375,2.0,0.68,0.907,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,1.317,0.778,5.47,59.09,5.864,9.923,2.0,42.86,1.317,5.47,5.47,0.778,59.09,5.864,9.923,42.5,15.19,2.89,0.25,0.0,0.0,0.0,0.0,0.0,0.0,39.75,39.75,0.0,5.555878084179971,,6.2409288824383164,,39.75,51.44642944241784,51.44642944241784,213.3793103448276,33.724137931034484,0.0,0.0,6.32719836400818,7.566462167689162,,0.0,Soldier Field,OUTDOOR,,,,,100.0,,,,,,97.6
00-0035685,David Montgomery,HOU,LV,RB,RB,ACT,7.0,2026,PRE,2,2026 PRE W2,2026_PRE_W2_LV_HOU,,home,9.599,9.599,6.374,0.0,25.43,10.598,41,11.4,11.4,11.6,12.0,1.4,0.5,0.937,PLAYER_HISTORY,10000,NFL_RECEIVING_YARDS_V1,0.907,0.726,5.55,80.0,6.96,8.7,1.4,-41.67,0.907,5.55,5.55,0.726,80.0,6.96,8.7,40.8,17.59,5.23,1.0,0.11,0.01,0.0,0.0,0.0,0.0,36.80701754385965,36.80701754385965,0.0,6.7016205910390845,,8.627264061010486,,36.80701754385965,51.62480214596115,51.62480214596115,228.54901960784315,34.86274509803921,0.0,0.0,6.555680539932508,7.142857142857142,,0.0,Reliant Stadium,INDOOR,,,,,100.0,,,,,,100.0
