rank,model_season,season_type,target_week,target_slate,player_id,player_name,team,opponent,home_away,game_date,roster_status,years_exp,jersey_number,projection_source,prior_context,team_prior_attempts,team_prior_ypa,team_prior_yards,games_sample,normal_projected_attempts,projected_attempts,preseason_usage_source,preseason_usage_bucket,projected_ypa,projected_passing_yards,model_std,last_5_avg,last_10_avg,last_15_avg,sim_p10,sim_p25,sim_median,sim_p75,sim_p90,pass_depth_prob_5_plus,pass_depth_prob_10_plus,pass_depth_prob_15_plus,pass_depth_prob_20_plus,pass_depth_prob_25_plus,pass_depth_prob_30_plus,pass_depth_source,pass_depth_attempt_sample,ladder_yards,probability_pct,grade
1,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,WAS,away,,ACT,4,2.0,NFL_HISTORY,TEAM_BLEND,29.2,6.82,200.4,5,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,10.5,187.2,82.4,173.8,173.8,173.8,81.5,132.1,187.4,242.6,292.9,100.0,99.8,98.8,96.3,94.1,93.1,QB_3_SEASON_EMPIRICAL,126,100,85.6,VERY HIGH
1,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,WAS,away,,ACT,4,2.0,NFL_HISTORY,TEAM_BLEND,29.2,6.82,200.4,5,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,10.5,187.2,82.4,173.8,173.8,173.8,81.5,132.1,187.4,242.6,292.9,100.0,99.8,98.8,96.3,94.1,93.1,QB_3_SEASON_EMPIRICAL,126,110,82.6,VERY HIGH
1,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,WAS,away,,ACT,4,2.0,NFL_HISTORY,TEAM_BLEND,29.2,6.82,200.4,5,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,10.5,187.2,82.4,173.8,173.8,173.8,81.5,132.1,187.4,242.6,292.9,100.0,99.8,98.8,96.3,94.1,93.1,QB_3_SEASON_EMPIRICAL,126,120,79.4,HIGH
1,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,WAS,away,,ACT,4,2.0,NFL_HISTORY,TEAM_BLEND,29.2,6.82,200.4,5,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,10.5,187.2,82.4,173.8,173.8,173.8,81.5,132.1,187.4,242.6,292.9,100.0,99.8,98.8,96.3,94.1,93.1,QB_3_SEASON_EMPIRICAL,126,130,75.8,HIGH
1,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,WAS,away,,ACT,4,2.0,NFL_HISTORY,TEAM_BLEND,29.2,6.82,200.4,5,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,10.5,187.2,82.4,173.8,173.8,173.8,81.5,132.1,187.4,242.6,292.9,100.0,99.8,98.8,96.3,94.1,93.1,QB_3_SEASON_EMPIRICAL,126,140,71.8,HIGH
1,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,WAS,away,,ACT,4,2.0,NFL_HISTORY,TEAM_BLEND,29.2,6.82,200.4,5,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,10.5,187.2,82.4,173.8,173.8,173.8,81.5,132.1,187.4,242.6,292.9,100.0,99.8,98.8,96.3,94.1,93.1,QB_3_SEASON_EMPIRICAL,126,150,67.7,SOLID
1,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,WAS,away,,ACT,4,2.0,NFL_HISTORY,TEAM_BLEND,29.2,6.82,200.4,5,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,10.5,187.2,82.4,173.8,173.8,173.8,81.5,132.1,187.4,242.6,292.9,100.0,99.8,98.8,96.3,94.1,93.1,QB_3_SEASON_EMPIRICAL,126,160,63.1,SOLID
1,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,WAS,away,,ACT,4,2.0,NFL_HISTORY,TEAM_BLEND,29.2,6.82,200.4,5,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,10.5,187.2,82.4,173.8,173.8,173.8,81.5,132.1,187.4,242.6,292.9,100.0,99.8,98.8,96.3,94.1,93.1,QB_3_SEASON_EMPIRICAL,126,170,58.4,LEAN
1,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,WAS,away,,ACT,4,2.0,NFL_HISTORY,TEAM_BLEND,29.2,6.82,200.4,5,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,10.5,187.2,82.4,173.8,173.8,173.8,81.5,132.1,187.4,242.6,292.9,100.0,99.8,98.8,96.3,94.1,93.1,QB_3_SEASON_EMPIRICAL,126,180,53.6,LEAN
1,2026,PRE,1,Preseason Week 1,00-0038128,Malik Willis,MIA,WAS,away,,ACT,4,2.0,NFL_HISTORY,TEAM_BLEND,29.2,6.82,200.4,5,17.0,18.0,AUTO_PRESEASON_USAGE,young_backup,10.5,187.2,82.4,173.8,173.8,173.8,81.5,132.1,187.4,242.6,292.9,100.0,99.8,98.8,96.3,94.1,93.1,QB_3_SEASON_EMPIRICAL,126,190,48.8,COIN FLIP
