player_id,player_name,team,opponent,position,depth_chart_position,status,season,season_type,week,target_slate,game_id,game_date,home_away,projected_pat_made,projected_pat_attempts,projected_xpa,pat_make_rate,season_pat_made,season_pat_attempts,season_pat_make_pct,career_pat_made,career_pat_attempts,career_pat_make_pct,career_history_start_season,pat_makes_5y,pat_attempts_5y,pat_make_pct_5y,team_ppg,team_td_per_game,team_scoring_games,projected_team_points,xp_opportunity_pct,recent_pat_made_pg,recent_pat_attempts_pg,td_environment_multiplier,kicker_role_stability,historical_kicking_games,preseason_usage_multiplier,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,data_source,simulations,model_version,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,prob_5_plus,prob_6_plus
00-0036162,Tyler Bass,BUF,LAC,K,K,ACT,2026,REG,3,2026 REG W3,401872953,2026-09-27T17:00Z,home,4.428,4.93,4.93,91.95,0,0,,122,128,95.31,2023.0,122,128,95.31,30.18,3.826,60,28.75,99.28,3.447,3.71,1.278,74.7,41,1.04,4.428,4.0,2.0,7.0,1.932,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,98.91,93.95,82.88,66.23,47.11,30.23
00-0039498,Harrison Mevis,LAR,DEN,K,K,ACT,2026,REG,3,2026 REG W3,401872962,2026-09-28T00:20Z,away,3.954,4.02,4.02,99.45,48,48,100.0,48,48,100.0,2025.0,48,48,100.0,26.38,3.189,59,24.0,98.2,3.622,3.622,1.067,78.2,14,1.04,3.954,4.0,2.0,7.0,1.912,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,98.18,90.69,75.89,56.33,36.98,21.46
00-0034173,Eddy Pineiro,SF,ARI,K,K,ACT,2026,REG,3,2026 REG W3,401872958,2026-09-27T20:05Z,home,3.881,4.33,4.33,90.74,36,41,87.8,86,96,89.58,2023.0,86,96,89.58,23.04,2.7,58,28.0,98.68,3.053,3.343,1.244,78.5,44,1.04,3.881,4.0,2.0,7.0,1.877,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,98.03,90.32,75.04,55.12,35.68,20.33
00-0039172,Jake Bates,DET,NYJ,K,K,ACT,2026,REG,3,2026 REG W3,401872954,2026-09-27T17:00Z,home,3.725,3.87,3.87,96.8,54,56,96.43,122,127,96.06,2024.0,122,127,96.06,25.4,2.957,57,27.0,97.92,2.987,3.103,1.2,72.7,37,1.04,3.725,4.0,1.0,6.0,1.866,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,97.65,88.83,72.33,51.68,32.24,17.8
00-0041145,Dominic Zvada,NYG,TEN,K,K,ACT,2026,REG,3,2026 REG W3,401872956,2026-09-27T17:00Z,home,3.69,3.88,3.88,95.6,0,0,,0,0,,,0,0,,20.03,2.188,52,21.0,97.94,4.0,4.0,0.933,55.0,1,1.04,3.69,4.0,1.0,6.0,1.855,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,97.48,88.57,71.88,51.05,31.56,17.06
00-0039409,Cam Little,JAX,NE,K,K,ACT,2026,REG,3,2026 REG W3,401872957,2026-09-27T17:00Z,home,3.451,3.54,3.54,97.92,53,54,98.15,80,81,98.77,2024.0,80,81,98.77,26.61,2.993,54,24.25,97.09,3.113,3.157,1.078,75.6,35,1.04,3.451,3.0,1.0,6.0,1.82,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,96.83,85.95,67.31,45.69,26.84,13.87
00-0040074,Tyler Loop,BAL,DAL,K,K,ACT,2026,REG,3,2026 REG W3,401872960,2026-09-27T20:25Z,away,3.453,3.61,3.61,96.05,44,46,95.65,44,46,95.65,2025.0,44,46,95.65,26.47,3.113,57,28.0,97.29,2.717,2.787,1.244,77.3,18,1.04,3.453,3.0,1.0,6.0,1.821,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,96.82,86.04,67.2,45.7,27.0,13.91
00-0031492,Jason Myers,SEA,WAS,K,K,ACT,2026,REG,3,2026 REG W3,401872955,2026-09-27T17:00Z,away,3.199,3.23,3.23,99.45,59,59,100.0,129,132,97.73,2023.0,129,132,97.73,25.42,2.608,56,23.75,96.05,2.943,2.943,1.056,72.5,53,1.04,3.199,3.0,1.0,6.0,1.759,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,96.04,83.02,62.11,40.03,22.12,10.56
00-0036854,Evan McPherson,CIN,PIT,K,K,ACT,2026,REG,3,2026 REG W3,401872950,2026-09-27T17:00Z,away,3.218,3.38,3.38,95.36,41,44,93.18,118,122,96.72,2023.0,118,122,96.72,27.38,3.223,52,23.0,96.6,2.933,3.18,1.022,76.3,42,1.04,3.218,3.0,1.0,6.0,1.764,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,96.03,83.3,62.61,40.28,22.49,10.86
00-0033303,Harrison Butker,KC,MIA,K,K,ACT,2026,REG,3,2026 REG W3,401872952,2026-09-27T17:00Z,away,3.192,3.52,3.52,90.96,31,35,88.57,111,117,94.87,2023.0,111,117,94.87,20.28,1.871,59,28.5,97.03,2.497,2.67,1.267,68.5,50,1.04,3.192,3.0,1.0,6.0,1.754,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,95.88,82.92,62.08,39.95,22.08,10.58
00-0037692,Brandon Aubrey,DAL,BAL,K,K,ACT,2026,REG,3,2026 REG W3,401872960,2026-09-27T20:25Z,home,3.083,3.22,3.22,96.29,47,48,97.92,127,132,96.21,2023.0,127,132,96.21,25.13,2.806,54,24.5,95.99,2.71,2.84,1.089,79.6,51,1.04,3.083,3.0,1.0,5.0,1.731,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,95.44,81.47,59.8,37.23,19.94,9.31
00-0031203,Cairo Santos,CHI,PHI,K,K,ACT,2026,REG,3,2026 REG W3,401872963,2026-09-29T00:15Z,home,2.656,2.67,2.67,99.45,43,43,100.0,99,102,97.06,2023.0,99,102,97.06,24.28,2.909,55,18.5,93.06,3.12,3.12,0.822,60.4,44,1.04,2.656,2.0,1.0,5.0,1.616,ADVANCED_PAT_MADE,100000,NFL_PAT_MADE_V1,93.13,74.35,49.72,27.66,13.03,5.25
