Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-15,Baltimore Orioles @ Tampa Bay Rays,Tropicana Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Baltimore Orioles,Gunnar Henderson,Ian Seymour,0.0,0,4,4.0,0.93,0.71,0.78,0.39,1.88,40.0,3.8,8|1|7|1|2,08/14|08/12|08/11|08/10|08/09,2.2,8|1|7|1|2|0|0|0|3|0,08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04,1.93,8|1|7|1|2|0|0|0|3|0|0|1|3|3|0,08/14|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/29|07/28,80.5,52.4,29.5,14.2,6.4,2.6,1.1,2.37,112.7
2026-08-15,Boston Red Sox @ Pittsburgh Pirates,PNC Park,0.982,1.005,78.3,77.0,2.7,E,90.0,5.0,Overcast,2.2,3.2,54.8,C,92.0,Boston Red Sox,Ceddanne Rafaela,Jared Jones,0.0,0,0,4.4,1.08,1.9,1.07,1.07,4.05,73.3,2.4,4|1|4|3|0,08/13|08/12|08/11|08/10|08/09,2.5,4|1|4|3|0|1|5|2|0|5,08/13|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04,3.27,4|1|4|3|0|1|5|2|0|5|5|6|7|4|2,08/13|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29,95.7,85.4,69.8,53.1,37.4,24.9,15.8,3.96,189.9
2026-08-15,Boston Red Sox @ Pittsburgh Pirates,PNC Park,0.982,1.005,78.3,77.0,2.7,E,90.0,5.0,Overcast,2.2,3.2,54.8,C,92.0,Boston Red Sox,Caleb Durbin,Jared Jones,0.0,0,0,4.6,1.08,1.38,1.03,1.37,3.8,60.0,2.8,1|9|4|0|0,08/14|08/13|08/12|08/11|08/10,2.8,1|9|4|0|0|0|3|3|6|2,08/14|08/13|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05,2.93,1|9|4|0|0|0|3|3|6|2|8|3|0|4|1,08/14|08/13|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30,95.5,83.9,67.5,49.4,33.7,21.5,13.0,3.71,176.0
2026-08-15,Boston Red Sox @ Pittsburgh Pirates,PNC Park,0.982,1.005,78.3,77.0,2.7,E,90.0,5.0,Overcast,2.2,3.2,54.8,C,92.0,Boston Red Sox,Andruw Monasterio,Jared Jones,0.0,0,0,4.8,1.08,1.44,0.63,1.16,3.23,80.0,1.4,2|1|2|2|0,08/14|08/13|08/12|08/11|08/10,2.1,2|1|2|2|0|0|3|4|5|2,08/14|08/13|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05,2.4,2|1|2|2|0|0|3|4|5|2|5|2|2|3|3,08/14|08/13|08/12|08/11|08/10|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30,92.9,77.6,57.6,39.1,24.7,14.7,8.0,2.97,155.2
2026-08-15,St. Louis Cardinals @ Chicago Cubs,Wrigley Field,1.018,1.003,73.6,95.0,8.4,ESE,119.0,26.0,Overcast,1.5,2.2,53.3,C,92.0,Chicago Cubs,Alex Bregman,Michael McGreevy,1.0,2,2,5.0,0.94,1.49,1.17,1.25,3.9,66.7,5.0,0|0|13|6|6,08/14|08/13|08/12|08/11|08/09,3.7,0|0|13|6|6|1|2|5|2|2,08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06|08/05|08/04,3.13,0|0|13|6|6|1|2|5|2|2|2|0|2|1|5,08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/30,95.5,84.3,68.4,51.4,35.2,23.2,14.4,3.91,185.5
2026-08-15,St. Louis Cardinals @ Chicago Cubs,Wrigley Field,1.018,1.003,73.6,95.0,8.4,ESE,119.0,26.0,Overcast,1.5,2.2,53.3,C,92.0,Chicago Cubs,Seiya Suzuki,Michael McGreevy,0.286,2,7,3.7,0.94,1.1,0.68,0.93,2.71,66.7,3.4,6|0|6|5|0,08/14|08/13|08/12|08/11|08/08,3.0,6|0|6|5|0|4|0|2|2|5,08/14|08/13|08/12|08/11|08/08|08/07|08/06|08/05|08/04|08/03,2.93,6|0|6|5|0|4|0|2|2|5|3|2|1|1|7,08/14|08/13|08/12|08/11|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/30|07/29|07/28,89.9,69.6,47.8,29.5,16.6,8.7,4.5,3.65,172.0
2026-08-15,St. Louis Cardinals @ Chicago Cubs,Wrigley Field,1.018,1.003,73.6,95.0,8.4,ESE,119.0,26.0,Overcast,1.5,2.2,53.3,C,92.0,Chicago Cubs,Pete Crow-Armstrong,Michael McGreevy,0.125,1,8,3.7,0.94,0.92,0.93,0.62,2.46,66.7,1.8,0|0|3|3|3,08/14|08/13|08/12|08/11|08/09,3.1,0|0|3|3|3|0|5|4|9|4,08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06|08/05|08/04,2.67,0|0|3|3|3|0|5|4|9|4|3|0|4|0|2,08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06|08/05|08/04|08/03|08/02|08/01|07/31|07/30,88.0,66.3,42.3,24.2,13.0,6.7,3.1,3.3,158.7
2026-08-15,Chicago White Sox @ Detroit Tigers,Comerica Park,0.982,1.006,84.3,50.0,5.6,S,187.0,5.0,Partly cloudy,2.8,4.1,56.2,C,92.0,Chicago White Sox,Chase Meidroth,Troy Melton,0.0,0,1,4.6,0.85,1.15,0.81,0.81,2.78,66.7,3.4,3|5|5|3|1,08/14|08/13|08/12|08/08|08/07,3.2,3|5|5|3|1|9|0|2|4|0,08/14|08/13|08/12|08/08|08/07|08/06|08/05|08/04|08/02|08/01,2.73,3|5|5|3|1|9|0|2|4|0|0|1|2|4|2,08/14|08/13|08/12|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28|07/27,90.6,71.6,49.6,30.4,17.3,9.3,4.9,3.37,162.8
2026-08-15,Chicago White Sox @ Detroit Tigers,Comerica Park,0.982,1.006,84.3,50.0,5.6,S,187.0,5.0,Partly cloudy,2.8,4.1,56.2,C,92.0,Chicago White Sox,Braden Montgomery,Troy Melton,0.0,0,1,4.8,0.85,0.78,0.56,0.49,1.85,40.0,2.0,6|2|1|0|1,08/14|08/13|08/12|08/11|08/09,2.2,6|2|1|0|1|3|4|4|0|1,08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06|08/05|08/04,1.73,6|2|1|0|1|3|4|4|0|1|1|0|0|0|3,08/14|08/13|08/12|08/11|08/09|08/08|08/07|08/06|08/05|08/04|08/01|07/31|07/30|07/29|07/28,80.5,52.4,28.7,13.7,5.9,2.2,0.8,2.13,104.3
2026-08-15,Chicago White Sox @ Detroit Tigers,Comerica Park,0.982,1.006,84.3,50.0,5.6,S,187.0,5.0,Partly cloudy,2.8,4.1,56.2,C,92.0,Chicago White Sox,Miguel Vargas,Troy Melton,0.0,0,2,3.7,0.85,0.71,0.54,0.43,1.69,53.3,3.4,10|0|3|2|2,08/14|08/13|08/11|08/09|08/08,2.6,10|0|3|2|2|0|2|2|1|4,08/14|08/13|08/11|08/09|08/08|08/07|08/06|08/05|08/04|08/02,2.07,10|0|3|2|2|0|2|2|1|4|0|3|0|1|1,08/14|08/13|08/11|08/09|08/08|08/07|08/06|08/05|08/04|08/02|08/01|07/31|07/30|07/29|07/28,78.5,48.6,24.7,10.8,4.3,1.5,0.5,2.53,121.8
