player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,probability,probability_grade,projected_pat_made,model_version
00-0040279,Ryan Fitzgerald,CAR,ARI,K,2026,PRE,0,0.5,82.44,ELITE,1.95,NFL_PAT_MADE_V1
00-0040279,Ryan Fitzgerald,CAR,ARI,K,2026,PRE,0,1.0,82.44,ELITE,1.95,NFL_PAT_MADE_V1
00-0040279,Ryan Fitzgerald,CAR,ARI,K,2026,PRE,0,1.5,55.2,ELITE,1.95,NFL_PAT_MADE_V1
00-0040279,Ryan Fitzgerald,CAR,ARI,K,2026,PRE,0,2.0,55.2,ELITE,1.95,NFL_PAT_MADE_V1
00-0040279,Ryan Fitzgerald,CAR,ARI,K,2026,PRE,0,2.5,31.07,ELITE,1.95,NFL_PAT_MADE_V1
00-0040279,Ryan Fitzgerald,CAR,ARI,K,2026,PRE,0,3.0,31.07,ELITE,1.95,NFL_PAT_MADE_V1
00-0040279,Ryan Fitzgerald,CAR,ARI,K,2026,PRE,0,3.5,15.27,ELITE,1.95,NFL_PAT_MADE_V1
00-0040279,Ryan Fitzgerald,CAR,ARI,K,2026,PRE,0,4.0,15.27,ELITE,1.95,NFL_PAT_MADE_V1
00-0040279,Ryan Fitzgerald,CAR,ARI,K,2026,PRE,0,4.5,6.73,ELITE,1.95,NFL_PAT_MADE_V1
00-0040279,Ryan Fitzgerald,CAR,ARI,K,2026,PRE,0,5.0,6.73,ELITE,1.95,NFL_PAT_MADE_V1
00-0040279,Ryan Fitzgerald,CAR,ARI,K,2026,PRE,0,5.5,2.71,ELITE,1.95,NFL_PAT_MADE_V1
00-0040279,Ryan Fitzgerald,CAR,ARI,K,2026,PRE,0,6.0,2.71,ELITE,1.95,NFL_PAT_MADE_V1
00-0040279,Ryan Fitzgerald,CAR,ARI,K,2026,PRE,0,6.5,1.01,ELITE,1.95,NFL_PAT_MADE_V1
