Run Timestamp,Target Date,Player ID,Player,Team,Game,Game Number,Model Version,Recommended Direction,Model Line,Projected FS,Sim Mean,Recommended Probability %,AI Score,Grade,Projection Edge,Lineup Spot,Lineup Source,Opp Pitcher,Opp Pitcher Hand,Weather Factor,Weather Note,Change From Previous,Change Reason
2026-07-31T15:28:25-07:00,2026-07-31,,Hao-Yu Lee,DET,DET @ ATH,1,V5 Stable,MORE,6.5,9.19,9.19,61.0,228.73,A,2.69,5,Today Posted,Jeffrey Springs,L,1.055,hot,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Endy Rodríguez,PIT,PIT @ CIN,1,V5 Stable,MORE,7.0,9.52,9.52,58.5,228.55,A,2.52,7,Today Posted,Hunter Greene,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Michael Massey,KC,KC @ COL,1,V5 Stable,MORE,7.5,9.6,9.6,59.7,224.92,A-,2.1,5,Today Posted,Tomoyuki Sugano,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Heriberto Hernández,MIA,MIA @ NYM,1,V5 Stable,MORE,6.0,9.08,9.08,58.3,222.49,A-,3.08,6,Today Posted,Kodai Senga,R,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Chase DeLauter,CLE,ARI @ CLE,1,V5 Stable,MORE,6.0,8.49,8.49,60.4,221.97,A-,2.49,3,Today Posted,Mitch Bratt,L,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Fernando Tatis Jr.,SD,SF @ SD,1,V5 Stable,MORE,4.5,7.92,7.92,58.3,221.9,A-,3.42,1,Today Posted,Carson Whisenhunt,L,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Spencer Torkelson,DET,DET @ ATH,1,V5 Stable,MORE,5.5,8.97,8.97,66.8,221.11,A-,3.47,6,Today Posted,Jeffrey Springs,L,1.055,hot,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Elly De La Cruz,CIN,PIT @ CIN,1,V5 Stable,MORE,4.5,8.15,8.15,68.3,220.84,A-,3.65,1,Today Posted,Paul Skenes,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Dylan Beavers,BAL,PHI @ BAL,1,V5 Stable,MORE,7.5,9.29,9.29,61.2,220.66,A-,1.79,1,Today Posted,Andrew Painter,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Kevin McGonigle,DET,DET @ ATH,1,V5 Stable,MORE,6.0,8.49,8.49,60.8,220.16,A-,2.49,1,Today Posted,Jeffrey Springs,L,1.055,hot,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Garrett Mitchell,MIL,MIL @ LAA,1,V5 Stable,MORE,7.0,9.04,9.04,58.5,218.66,A-,2.04,6,Today Posted,Ryan Johnson,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Shohei Ohtani,LAD,BOS @ LAD,1,V5 Stable,MORE,6.0,8.55,8.55,58.8,216.76,A-,2.55,1,Today Posted,Ranger Suarez,L,1.0,Weather unavailable,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Ty France,SD,SF @ SD,1,V5 Stable,MORE,5.0,7.53,7.53,62.5,214.46,A-,2.53,4,Today Posted,Carson Whisenhunt,L,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Christian Yelich,MIL,MIL @ LAA,1,V5 Stable,MORE,5.5,8.12,8.12,67.9,212.84,A-,2.62,3,Today Posted,Ryan Johnson,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Rhys Hoskins,CLE,ARI @ CLE,1,V5 Stable,MORE,6.5,9.31,9.31,59.7,211.91,A-,2.81,4,Today Posted,Mitch Bratt,L,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Bryan Reynolds,PIT,PIT @ CIN,1,V5 Stable,MORE,6.5,8.41,8.41,58.0,211.57,A-,1.91,3,Today Posted,Hunter Greene,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Mickey Moniak,COL,KC @ COL,1,V5 Stable,MORE,5.0,8.53,8.53,67.8,210.72,A-,3.53,2,Today Posted,Michael Wacha,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Joc Pederson,TEX,TEX @ HOU,1,V5 Stable,MORE,5.0,7.92,7.92,62.0,210.62,A-,2.92,1,Today Posted,Hunter Brown,R,1.0,Weather unavailable,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Manny Machado,SD,SF @ SD,1,V5 Stable,MORE,5.0,7.52,7.52,61.0,209.68,A-,2.52,3,Today Posted,Carson Whisenhunt,L,1.0,neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Cole Young,SEA,MIN @ SEA,1,V5 Stable,MORE,5.0,7.91,7.91,67.3,209.43,A-,2.91,1,Last 7 Confirmed,Zebby Matthews,R,1.0,Indoor/retractable neutral,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Jackson Holliday,BAL,PHI @ BAL,1,V5 Stable,MORE,6.5,8.62,8.62,62.0,208.61,A-,2.12,6,Today Posted,Andrew Painter,R,1.03,warm,0.0,Initial V5 model run
2026-07-31T15:28:25-07:00,2026-07-31,,Gunnar Henderson,BAL,PHI @ BAL,1,V5 Stable,MORE,5.5,8.02,8.02,66.0,208.53,A-,2.52,3,Today Posted,Andrew Painter,R,1.03,warm,0.0,Initial V5 model run
