player_key,player_id,player_name,team,opponent,position,depth_chart_position,roster_status,years_exp,game_id,game_date,game_name
bucky irving__TB,00-0039361,Bucky Irving,TB,JAX,RB,RB,ACT,2.0,2026_PRE_W3_TB_JAX,,TB at JAX
c j daniels__LAR,00-0041399,C.J. Daniels,LAR,LAC,WR,WR,ACT,0.0,2026_PRE_W3_LAR_LAC,,LAR at LAC
c j donaldson__NO,00-0041326,C.J. Donaldson,NO,DAL,RB,RB,ACT,0.0,2026_PRE_W3_NO_DAL,,NO at DAL
c j stroud__HOU,00-0039163,C.J. Stroud,HOU,CAR,QB,QB,ACT,3.0,2026_PRE_W3_HOU_CAR,,HOU at CAR
c j williams__JAX,00-0041106,C.J. Williams,JAX,TB,WR,WR,ACT,0.0,2026_PRE_W3_TB_JAX,,TB at JAX
cade klubnik__NYJ,00-0041056,Cade Klubnik,NYJ,NYG,QB,QB,ACT,0.0,2026_PRE_W3_NYG_NYJ,,NYG at NYJ
caleb douglas__MIA,00-0041523,Caleb Douglas,MIA,ATL,WR,WR,ACT,0.0,2026_PRE_W3_ATL_MIA,,ATL at MIA
caleb williams__CHI,00-0039918,Caleb Williams,CHI,TEN,QB,QB,ACT,2.0,2026_PRE_W3_CHI_TEN,,CHI at TEN
calvin austin iii__NYG,00-0037837,Calvin Austin III,NYG,NYJ,WR,WR,ACT,4.0,2026_PRE_W3_NYG_NYJ,,NYG at NYJ
calvin ridley__TEN,00-0034837,Calvin Ridley,TEN,CHI,WR,WR,ACT,8.0,2026_PRE_W3_CHI_TEN,,CHI at TEN
cam miller__MIA,00-0040222,Cam Miller,MIA,ATL,QB,QB,ACT,1.0,2026_PRE_W3_ATL_MIA,,ATL at MIA
cam ross__DEN,00-0041299,Cam Ross,DEN,MIN,WR,WR,ACT,0.0,2026_PRE_W3_MIN_DEN,,MIN at DEN
cam skattebo__NYG,00-0040715,Cam Skattebo,NYG,NYJ,RB,RB,ACT,1.0,2026_PRE_W3_NYG_NYJ,,NYG at NYJ
cam ward__TEN,00-0040676,Cam Ward,TEN,CHI,QB,QB,ACT,1.0,2026_PRE_W3_CHI_TEN,,CHI at TEN
camden brown__DAL,00-0040930,Camden Brown,DAL,NO,WR,WR,ACT,0.0,2026_PRE_W3_NO_DAL,,NO at DAL
cameron dorner__NE,00-0041319,Cameron Dorner,NE,CLE,WR,WR,ACT,0.0,2026_PRE_W3_NE_CLE,,NE at CLE
carlos washington__MIA,00-0038930,Carlos Washington,MIA,ATL,RB,RB,ACT,3.0,2026_PRE_W3_ATL_MIA,,ATL at MIA
carnell tate__TEN,00-0041438,Carnell Tate,TEN,CHI,WR,WR,ACT,0.0,2026_PRE_W3_CHI_TEN,,CHI at TEN
carson steele__PHI,00-0039325,Carson Steele,PHI,CIN,RB,RB,ACT,2.0,2026_PRE_W3_CIN_PHI,,CIN at PHI
carson wentz__MIN,00-0032950,Carson Wentz,MIN,DEN,QB,QB,ACT,10.0,2026_PRE_W3_MIN_DEN,,MIN at DEN
carter bradley__JAX,00-0039534,Carter Bradley,JAX,TB,QB,QB,ACT,2.0,2026_PRE_W3_TB_JAX,,TB at JAX
case keenum__CHI,00-0028986,Case Keenum,CHI,TEN,QB,QB,ACT,14.0,2026_PRE_W3_CHI_TEN,,CHI at TEN
casey washington__ATL,00-0039394,Casey Washington,ATL,MIA,WR,WR,ACT,2.0,2026_PRE_W3_ATL_MIA,,ATL at MIA
cash jones__ATL,00-0041191,Cash Jones,ATL,MIA,RB,RB,ACT,0.0,2026_PRE_W3_ATL_MIA,,ATL at MIA
caullin lacy__NYJ,00-0041199,Caullin Lacy,NYJ,NYG,WR,WR,ACT,0.0,2026_PRE_W3_NYG_NYJ,,NYG at NYJ
cedric tillman__CLE,00-0038979,Cedric Tillman,CLE,NE,WR,WR,ACT,3.0,2026_PRE_W3_NE_CLE,,NE at CLE
cedrick wilson jr__DET,00-0034418,Cedrick Wilson Jr.,DET,IND,WR,WR,ACT,8.0,2026_PRE_W3_DET_IND,,DET at IND
ceedee lamb__DAL,00-0036358,CeeDee Lamb,DAL,NO,WR,WR,ACT,6.0,2026_PRE_W3_NO_DAL,,NO at DAL
chandler brayboy__JAX,00-0040323,Chandler Brayboy,JAX,TB,WR,WR,ACT,1.0,2026_PRE_W3_TB_JAX,,TB at JAX
charlie jones__CIN,00-0038576,Charlie Jones,CIN,PHI,WR,WR,ACT,3.0,2026_PRE_W3_CIN_PHI,,CIN at PHI
chase brown__CIN,00-0038597,Chase Brown,CIN,PHI,RB,RB,ACT,3.0,2026_PRE_W3_CIN_PHI,,CIN at PHI
chase roberts__LV,00-0041004,Chase Roberts,LV,SF,WR,WR,ACT,0.0,2026_PRE_W3_SF_LV,,SF at LV
chimere dike__TEN,00-0040705,Chimere Dike,TEN,CHI,WR,WR,ACT,1.0,2026_PRE_W3_CHI_TEN,,CHI at TEN
chip trayanum__NYJ,00-0041239,Chip Trayanum,NYJ,NYG,RB,RB,ACT,0.0,2026_PRE_W3_NYG_NYJ,,NYG at NYJ
chris bell__MIA,00-0041525,Chris Bell,MIA,ATL,WR,WR,ACT,0.0,2026_PRE_W3_ATL_MIA,,ATL at MIA
chris blair__ATL,00-0036463,Chris Blair,ATL,MIA,WR,WR,ACT,6.0,2026_PRE_W3_ATL_MIA,,ATL at MIA
chris brazzell__CAR,00-0041047,Chris Brazzell,CAR,HOU,WR,WR,ACT,0.0,2026_PRE_W3_HOU_CAR,,HOU at CAR
chris brooks__GB,00-0038685,Chris Brooks,GB,ARI,RB,RB,ACT,3.0,2026_PRE_W3_ARI_GB,,ARI at GB
chris collier__LV,00-0039244,Chris Collier,LV,SF,RB,RB,ACT,2.0,2026_PRE_W3_SF_LV,,SF at LV
chris godwin jr__TB,00-0033921,Chris Godwin Jr.,TB,JAX,WR,WR,ACT,9.0,2026_PRE_W3_TB_JAX,,TB at JAX
chris hilton__WAS,00-0041179,Chris Hilton,WAS,BAL,WR,WR,ACT,0.0,2026_PRE_W3_WAS_BAL,,WAS at BAL
chris oladokun__KC,00-0037324,Chris Oladokun,KC,SEA,QB,QB,ACT,4.0,2026_PRE_W3_SEA_KC,,SEA at KC
chris olave__NO,00-0037239,Chris Olave,NO,DAL,WR,WR,ACT,4.0,2026_PRE_W3_NO_DAL,,NO at DAL
chris rodriguez jr__JAX,00-0038611,Chris Rodriguez Jr.,JAX,TB,RB,RB,ACT,3.0,2026_PRE_W3_TB_JAX,,TB at JAX
christian kirk__SF,00-0034775,Christian Kirk,SF,LV,WR,WR,ACT,8.0,2026_PRE_W3_SF_LV,,SF at LV
christian mccaffrey__SF,00-0033280,Christian McCaffrey,SF,LV,RB,RB,ACT,9.0,2026_PRE_W3_SF_LV,,SF at LV
christian watson__GB,00-0038124,Christian Watson,GB,ARI,WR,WR,ACT,4.0,2026_PRE_W3_ARI_GB,,ARI at GB
chuba hubbard__CAR,00-0036555,Chuba Hubbard,CAR,HOU,RB,RB,ACT,5.0,2026_PRE_W3_HOU_CAR,,HOU at CAR
cody schrader__DEN,00-0039703,Cody Schrader,DEN,MIN,RB,RB,ACT,2.0,2026_PRE_W3_MIN_DEN,,MIN at DEN
cody white__SEA,00-0035891,Cody White,SEA,KC,WR,WR,ACT,6.0,2026_PRE_W3_SEA_KC,,SEA at KC
colbie young__CIN,00-0041069,Colbie Young,CIN,PHI,WR,WR,ACT,0.0,2026_PRE_W3_CIN_PHI,,CIN at PHI
cole burgess__PIT,00-0039626,Cole Burgess,PIT,BUF,WR,WR,ACT,2.0,2026_PRE_W3_PIT_BUF,,PIT at BUF
cole payton__PHI,00-0040891,Cole Payton,PHI,CIN,QB,QB,ACT,0.0,2026_PRE_W3_CIN_PHI,,CIN at PHI
coleman bennett__CHI,00-0041165,Coleman Bennett,CHI,TEN,RB,RB,ACT,0.0,2026_PRE_W3_CHI_TEN,,CHI at TEN
coleman owen__IND,00-0040352,Coleman Owen,IND,DET,WR,WR,ACT,1.0,2026_PRE_W3_DET_IND,,DET at IND
colton dowell__SF,00-0038632,Colton Dowell,SF,LV,WR,WR,ACT,3.0,2026_PRE_W3_SF_LV,,SF at LV
connor bazelak__TB,00-0040415,Connor Bazelak,TB,JAX,QB,QB,ACT,1.0,2026_PRE_W3_TB_JAX,,TB at JAX
cooper kupp__SEA,00-0033908,Cooper Kupp,SEA,KC,WR,WR,ACT,9.0,2026_PRE_W3_SEA_KC,,SEA at KC
corey rucker__LV,00-0041005,Corey Rucker,LV,SF,WR,WR,RES,0.0,2026_PRE_W3_SF_LV,,SF at LV
cornelius johnson__BAL,00-0039437,Cornelius Johnson,BAL,WAS,WR,WR,ACT,2.0,2026_PRE_W3_WAS_BAL,,WAS at BAL
cortez braham__BAL,00-0040977,Cortez Braham,BAL,WAS,WR,WR,ACT,0.0,2026_PRE_W3_WAS_BAL,,WAS at BAL
courtland sutton__DEN,00-0034348,Courtland Sutton,DEN,MIN,WR,WR,ACT,8.0,2026_PRE_W3_MIN_DEN,,MIN at DEN
courtney jackson__TEN,00-0040445,Courtney Jackson,TEN,CHI,WR,WR,ACT,1.0,2026_PRE_W3_CHI_TEN,,CHI at TEN
cyrus allen__KC,00-0040890,Cyrus Allen,KC,SEA,WR,WR,ACT,0.0,2026_PRE_W3_SEA_KC,,SEA at KC
d andre swift__CHI,00-0036275,D'Andre Swift,CHI,TEN,RB,RB,ACT,6.0,2026_PRE_W3_CHI_TEN,,CHI at TEN
d j herman__MIA,00-0041436,D.J. Herman,MIA,ATL,RB,RB,ACT,0.0,2026_PRE_W3_ATL_MIA,,ATL at MIA
d t sheffield__NYJ,00-0041201,D.T. Sheffield,NYJ,NYG,WR,WR,ACT,0.0,2026_PRE_W3_NYG_NYJ,,NYG at NYJ
dak prescott__DAL,00-0033077,Dak Prescott,DAL,NO,QB,QB,ACT,10.0,2026_PRE_W3_NO_DAL,,NO at DAL
dalen cambre__NYG,00-0040431,Dalen Cambre,NYG,NYJ,WR,WR,ACT,1.0,2026_PRE_W3_NYG_NYJ,,NYG at NYJ
dalevon campbell__LAC,00-0040629,Dalevon Campbell,LAC,LAR,WR,WR,ACT,1.0,2026_PRE_W3_LAR_LAC,,LAR at LAC
dameon pierce__PHI,00-0037258,Dameon Pierce,PHI,CIN,RB,RB,ACT,4.0,2026_PRE_W3_CIN_PHI,,CIN at PHI
damien alford__NO,00-0040788,Damien Alford,NO,DAL,WR,WR,ACT,0.0,2026_PRE_W3_NO_DAL,,NO at DAL
damien martinez__GB,00-0040651,Damien Martinez,GB,ARI,RB,RB,ACT,1.0,2026_PRE_W3_ARI_GB,,ARI at GB
damon bankston__NYG,00-0041139,Damon Bankston,NYG,NYJ,RB,RB,ACT,0.0,2026_PRE_W3_NYG_NYJ,,NYG at NYJ
dan chisena__CAR,00-0035976,Dan Chisena,CAR,HOU,WR,WR,ACT,6.0,2026_PRE_W3_HOU_CAR,,HOU at CAR
dane key__DEN,00-0041293,Dane Key,DEN,MIN,WR,WR,ACT,0.0,2026_PRE_W3_MIN_DEN,,MIN at DEN
daniel jones__IND,00-0035710,Daniel Jones,IND,DET,QB,QB,ACT,7.0,2026_PRE_W3_DET_IND,,DET at IND
daniel sobkowicz__HOU,00-0041309,Daniel Sobkowicz,HOU,CAR,WR,WR,ACT,0.0,2026_PRE_W3_HOU_CAR,,HOU at CAR
danny gray__PHI,00-0037828,Danny Gray,PHI,CIN,WR,WR,ACT,4.0,2026_PRE_W3_CIN_PHI,,CIN at PHI
