Date,Game,Venue,Park Factor,Weather Factor,Temp F,Relative Humidity %,Wind MPH,Wind Direction,Wind Direction Deg,Precip %,Weather Conditions,Estimated Fly Ball Distance Change Ft,Expected HR Boost %,Ball Flight AI Score,Ball Flight Grade,Weather Confidence %,Team,Player,Opp Pitcher,BvP AVG,BvP Hits,BvP AB,Expected PA,Pitcher Weakness,Hits/G,Runs/G,RBI/G,Projected HRR,Median HRR,Floor HRR,Ceiling HRR,Simulation Dispersion,Projected Zero HRR %,Recent Games Used,Season Games Used,Hit Rate %,Recent 5 HRR Avg,Recent 5 HRR Scores,Recent 5 HRR Dates,Recent 10 HRR Avg,Recent 10 HRR Scores,Recent 10 HRR Dates,Recent 15 HRR Avg,Recent 15 HRR Scores,Recent 15 HRR Dates,MC Over 0.5 %,MC Over 1.5 %,MC Over 2.5 %,MC Over 3.5 %,MC Over 4.5 %,MC Over 5.5 %,MC Over 6.5 %,Bet Score,AI Score
2026-08-25,Baltimore Orioles @ St. Louis Cardinals,Busch Stadium,0.995,1.007,87.7,42.0,6.0,ENE,77.0,1.0,Overcast,3.4,4.9,57.4,B,92.0,Baltimore Orioles,Gunnar Henderson,Unknown,0.0,0,0,4.3,1.0,0.83,0.54,0.27,1.68,1.0,0.0,4.0,1.54,29.0,40,130,37.5,0.8,0|1|1|1|1,08/23|08/22|08/21|08/20|08/19,1.8,0|1|1|1|1|0|3|1|2|8,08/23|08/22|08/21|08/20|08/19|08/18|08/17|08/16|08/15|08/14,1.93,0|1|1|1|1|0|3|1|2|8|1|7|1|2|0,08/23|08/22|08/21|08/20|08/19|08/18|08/17|08/16|08/15|08/14|08/12|08/11|08/10|08/09|08/08,71.0,41.8,24.2,14.1,7.7,4.4,2.4,1.92,41.0
2026-08-25,Baltimore Orioles @ St. Louis Cardinals,Busch Stadium,0.995,1.007,87.7,42.0,6.0,ENE,77.0,1.0,Overcast,3.4,4.9,57.4,B,92.0,Baltimore Orioles,Dylan Beavers,Unknown,0.0,0,0,3.2,1.0,0.82,0.33,0.62,1.55,1.0,0.0,4.0,2.99,34.2,40,74,40.0,2.2,0|2|3|3|3,08/23|08/22|08/21|08/20|08/19,2.0,0|2|3|3|3|0|0|0|4|5,08/23|08/22|08/21|08/20|08/19|08/18|08/16|08/15|08/14|08/12,1.67,0|2|3|3|3|0|0|0|4|5|0|3|0|1|1,08/23|08/22|08/21|08/20|08/19|08/18|08/16|08/15|08/14|08/12|08/10|08/09|08/08|08/07|08/06,65.8,41.5,23.5,12.5,6.3,3.1,1.3,2.18,43.2
2026-08-25,Boston Red Sox @ Miami Marlins,loanDepot park,0.978,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Boston Red Sox,Ceddanne Rafaela,Unknown,0.0,0,0,4.6,1.0,1.3,0.57,0.59,2.43,2.0,0.0,5.0,4.54,14.7,40,124,65.0,2.0,1|5|1|2|1,08/24|08/23|08/22|08/21|08/19,2.3,1|5|1|2|1|2|6|0|1|4,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/13,2.13,1|5|1|2|1|2|6|0|1|4|1|4|3|0|1,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/13|08/12|08/11|08/10|08/09|08/08,85.3,63.1,41.7,24.6,13.6,7.1,3.4,2.95,64.3
2026-08-25,Boston Red Sox @ Miami Marlins,loanDepot park,0.978,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Boston Red Sox,Nick Sogard,Unknown,0.0,0,0,4.6,1.0,1.11,0.63,0.36,1.93,2.0,0.0,4.0,8.74,21.3,35,35,54.3,3.4,2|5|3|3|4,08/24|08/23|08/22|08/21|08/19,2.9,2|5|3|3|4|4|4|0|0|4,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/14,2.2,2|5|3|3|4|4|4|0|0|4|1|1|1|1|0,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/11|08/10|08/09,78.7,54.0,31.7,16.0,7.6,3.2,1.3,2.5,54.5
2026-08-25,Boston Red Sox @ Miami Marlins,loanDepot park,0.978,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Boston Red Sox,Wilyer Abreu,Unknown,0.0,0,0,4.5,1.0,0.98,0.69,0.6,2.2,2.0,0.0,5.0,1.74,26.1,40,128,52.5,2.0,2|0|1|5|2,08/24|08/23|08/22|08/21|08/19,2.2,2|0|1|5|2|1|5|0|5|1,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/14,2.07,2|0|1|5|2|1|5|0|5|1|3|2|3|0|1,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/11|08/10|08/09,74.0,51.7,34.9,22.5,14.2,8.8,5.5,2.82,55.2
2026-08-25,Chicago Cubs @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Chicago Cubs,Seiya Suzuki,Brandon Pfaadt,0.083,1,12,4.5,0.88,0.96,0.62,0.6,2.17,2.0,0.0,4.0,6.19,15.3,40,114,72.5,1.8,2|5|1|1|0,08/24|08/23|08/22|08/21|08/19,2.3,2|5|1|1|0|0|4|2|2|6,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/14,2.53,2|5|1|1|0|0|4|2|2|6|0|6|5|0|4,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/11|08/08|08/07,84.7,59.0,35.9,19.2,9.8,4.5,2.2,2.89,63.9
2026-08-25,Chicago Cubs @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Chicago Cubs,Alex Bregman,Brandon Pfaadt,0.0,0,4,4.5,0.88,1.03,0.68,0.71,2.42,2.0,0.0,6.0,1.03,29.4,40,129,57.5,3.4,2|4|3|8|0,08/24|08/23|08/22|08/21|08/19,2.5,2|4|3|8|0|4|3|0|1|0,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/14,3.4,2|4|3|8|0|4|3|0|1|0|0|13|6|6|1,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/11|08/09|08/08,70.6,50.1,35.6,25.1,17.9,12.4,8.8,3.23,58.5
2026-08-25,Chicago Cubs @ Arizona Diamondbacks,Chase Field,1.0,1.0,,,,,,,Roof / indoor neutral,0.0,0.0,50.0,Roof,95.0,Chicago Cubs,Pete Crow-Armstrong,Brandon Pfaadt,0.0,0,2,4.5,0.88,0.9,0.68,0.68,2.13,1.0,0.0,6.0,1.2,32.6,40,132,57.5,2.2,0|7|1|3|0,08/24|08/23|08/22|08/21|08/19,2.7,0|7|1|3|0|3|9|4|0|0,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/14,2.4,0|7|1|3|0|3|9|4|0|0|0|3|3|3|0,08/24|08/23|08/22|08/21|08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/11|08/09|08/08,67.4,46.8,31.8,22.1,14.8,10.0,6.8,3.02,55.6
2026-08-25,Texas Rangers @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Chicago White Sox,Miguel Vargas,Jacob deGrom,0.5,3,6,4.5,0.91,0.96,0.63,0.44,2.06,1.0,0.0,5.0,1.42,24.7,40,129,50.0,1.8,1|2|1|5|0,08/24|08/23|08/22|08/21|08/20,2.0,1|2|1|5|0|4|1|2|3|1,08/24|08/23|08/22|08/21|08/20|08/19|08/18|08/17|08/16|08/15,2.47,1|2|1|5|0|4|1|2|3|1|10|0|3|2|2,08/24|08/23|08/22|08/21|08/20|08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/11|08/09|08/08,75.3,48.6,31.3,19.6,12.4,7.4,4.7,2.56,51.4
2026-08-25,Texas Rangers @ Chicago White Sox,Rate Field,1.0,1.0,,,,,,,Unavailable,0.0,0.0,50.0,C,40.0,Chicago White Sox,Andrew Benintendi,Jacob deGrom,0.0,0,3,3.5,0.91,0.71,0.32,0.62,1.61,1.0,0.0,4.0,2.48,30.8,40,116,55.0,1.4,0|2|2|1|2,08/24|08/23|08/22|08/20|08/19,1.6,0|2|2|1|2|0|4|0|3|2,08/24|08/23|08/22|08/20|08/19|08/18|08/17|08/16|08/15|08/14,1.4,0|2|2|1|2|0|4|0|3|2|3|0|0|0|2,08/24|08/23|08/22|08/20|08/19|08/18|08/17|08/16|08/15|08/14|08/13|08/12|08/11|08/09|08/08,69.2,43.2,23.8,12.4,6.4,3.1,1.6,2.18,47.7
