Rank,Date,Game PK,Game Time UTC,Game Status,Venue,Matchup,Home/Away,Player ID,Player,Team,Opponent,Position,Bats,Confirmed Lineup,Lineup Spot,G,PA,AB,H,2B,3B,HR,R,RBI,BB,HBP,SO,AVG,OBP,SLG,OPS,L14 G,L14 PA,L14 AB,L14 H,L14 HR,L14 AVG,L14 HR/PA,L30 G,L30 PA,L30 AB,L30 H,L30 HR,L30 AVG,L30 HR/PA,Statcast BBE,L30 Statcast BBE,Barrel %,Hard Hit %,Pull %,Center %,Oppo %,Fly Ball %,Air Ball %,Pull Air %,Sweet Spot %,HR Launch %,Ideal HR Contact %,Ideal Contact %,HR/Barrel %,Avg Exit Velocity,Avg Launch Angle,xSLG on Contact,Avg Bat Speed,EV50,Max Exit Velocity,Fast Swing Rate %,Squared-Up Rate %,Blast Rate %,Ideal Attack Angle %,Power DNA Score,Power DNA Label,Power DNA Stars,Power Archetype,Swing Plane Grade,Swing Plane Label,Power Profile Score,Power Profile Label,Power Profile Multiplier,Power Profile Data Quality,L30 Barrel %,L30 Pull Air %,L30 EV50,L30 xSLG on Contact,Fast Swing Source,Squared-Up Source,Blast Source,Ideal Attack Angle Source,Barrels per PA,Barrels per PA %,Estimated xHR,xHR Minus Actual HR,HR Regression Label,AI Power Outlook,Raw HR/PA,Bayesian HR/PA,Expected PA,AB Since Last HR,Games Since Last HR,AB/HR,Due Ratio,Due Meter Pct,Due Label,Opposing SP ID,Opposing SP,Opposing SP Throws,Platoon,SP G,SP GS,SP IP,SP ERA,SP WHIP,SP HR,SP HR/9,SP K/9,SP BB/9,SP Statcast BBE,SP Barrel % Allowed,SP Hard Hit % Allowed,SP Fly Ball % Allowed,SP Pull Air % Allowed,SP Sweet Spot % Allowed,SP Avg EV Allowed,SP EV50 Allowed,SP Max EV Allowed,SP xSLG on Contact Allowed,SP Statcast HR Allowed,Pitch Type Matchup Score,Pitch Mix Coverage %,Weighted xSLG vs Pitch Mix,Weighted Barrel % vs Pitch Mix,Primary Pitch Matchup,Effective Batter Side,Handedness Matchup,Handedness Matchup Score,Hitter Split PA,Hitter Split AVG,Hitter Split OBP,Hitter Split SLG,Hitter Split OPS,Hitter Split HR,Hitter Split BB,Hitter Split K,Hitter HR/PA vs Hand,Hitter Barrel % vs Hand,Hitter xSLG vs Hand,Pitcher Split PA Allowed,Pitcher HR/PA Allowed vs Side,Pitcher Barrel % Allowed vs Side,Pitcher xSLG Allowed vs Side,Career BvP PA,Career BvP AB,Career BvP H,Career BvP Results,Career BvP AVG,Career BvP OBP,Career BvP SLG,Career BvP OPS,Career BvP HR,Career BvP BB,Career BvP K,Hitter vs Pitcher Matchup Score,Hitter vs Pitcher Matchup Label,Hitter vs Pitcher Matchup Band,Career BvP Component Score,Recent Pitch Mix Games,Recent Pitch Mix Source,Recent Pitch Mix Total,Recent Pitch 1 Name,Recent Pitch 1 Usage %,Recent Pitch 1 Count,Recent Pitch 2 Name,Recent Pitch 2 Usage %,Recent Pitch 2 Count,Recent Pitch 3 Name,Recent Pitch 3 Usage %,Recent Pitch 3 Count,Recent Pitch 4 Name,Recent Pitch 4 Usage %,Recent Pitch 4 Count,Weather Condition,Temperature F,Wind,Wind MPH,Roof Closed,Park HR Factor,Park Multiplier,Weather Multiplier,Environment Score,Pitch Fit Multiplier,Pitcher Contact Multiplier,Hitter Power Component,Hitter Power Primary Metric,Hitter Power Secondary Metric,Hitter Power Third Metric,Hitter Power Fourth Metric,Handedness Matchup Component,Pitcher Vulnerability Component,Pitch Type Component,Recent Power Component,Environment Component,Lineup Component,HR Target Score,Target Score Probability %,Recent Form Multiplier,Pitcher HR Multiplier,Platoon Multiplier,Legacy OPS/SLG Multiplier,Statcast Power Multiplier,Power Multiplier,Due Multiplier,Baseline HR Probability %,HR Probability %,Model Confidence %,HR Model Score,Grade,Data Quality,Recent Pitch 5 Name,Recent Pitch 5 Usage %,Recent Pitch 5 Count,Recent Pitch 6 Name,Recent Pitch 6 Usage %,Recent Pitch 6 Count,Recent Pitch 7 Name,Recent Pitch 7 Usage %,Recent Pitch 7 Count
1,2026-08-21,824559,2026-08-21T23:40:00Z,Scheduled,Rate Field,New York Mets @ Chicago White Sox,Home,808959,Munetaka Murakami,Chicago White Sox,New York Mets,1B,L,No,,92,402,330,75,13,0,29,67,58,69,2,132,0.227,0.363,0.53,0.893,12,52,42,7,4,0.167,0.0769,26,117,100,22,9,0.22,0.0769,363,101,13.4,37.9,46.0,28.5,24.3,20.5,30.6,46.1,30.6,9.0,5.0,9.0,62.0,86.4,18.1,0.885,72.0,100.1,113.9,41.7,15.7,10.8,45.5,57.2,Average,3.5,Pull Power,A,Excellent HR swing plane,57.2,Average,1.02,Good,14.9,48.5,100.0,0.917,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,39.11,10.11,Strong positive regression,Average Pull Power profile. 13.4% barrel rate; 86.4 mph average exit velocity; 30.6% air-ball rate; 46.1% pull-air rate; 9.0% HR-launch rate.,0.0721,0.0629,4.09,9,2,11.4,0.79,79.1,Recently homered,640455.0,Sean Manaea,L,LHB vs LHP,26,12,111.0,4.22,1.32,16,1.3,9.16,3.0,671.0,4.8,22.4,14.2,50.6,31.3,80.7,93.6,114.6,0.571,16.0,72.2,100.0,0.803,10.5,4-Seam Fastball,L,LHB vs LHP,49.4,126,0.192,0.325,0.404,0.729,6,21,47,0.0476,9.0,0.792,155,0.0258,4.1,0.553,0,0,0,0/0,,,,,0,0,0,57.5,Neutral Matchup,Average,50.0,5,Pitch-level Statcast · last 5 MLB games,457,4-Seam Fastball,53.82932166301969,246.0,Sweeper,26.695842450765863,122.0,Sinker,15.317286652078774,70.0,Changeup,2.4070021881838075,11.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.044,0.973,65.1,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,49.4,38.5,72.2,79.3,50.0,45.0,58.6,8.17,1.089,1.032,0.985,1.03,1.02,1.051,1.0,23.34,16.68,85.0,42.4,C-,Lineup unconfirmed,Cutter,1.75054704595186,8.0,,,,,,
2,2026-08-21,823911,2026-08-22T02:10:00Z,Scheduled,UNIQLO Field at Dodger Stadium,Pittsburgh Pirates @ Los Angeles Dodgers,Away,804668,Rafael Flores Jr.,Pittsburgh Pirates,Los Angeles Dodgers,C,R,No,,19,56,48,15,2,0,6,10,12,8,0,15,0.313,0.411,0.729,1.14,8,28,26,10,5,0.385,0.1786,11,37,33,11,5,0.333,0.1351,55,34,13.4,33.5,54.7,24.7,20.6,29.2,33.8,63.3,27.0,14.6,10.2,14.6,90.7,84.5,19.7,0.897,72.2,98.3,110.0,35.8,16.8,10.5,55.2,61.1,Average,3.5,Pull Power,A,Excellent HR swing plane,61.1,Average,1.031,Good,14.7,63.6,100.1,0.935,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,6.28,0.28,Near expected,Average Pull Power profile. 13.4% barrel rate; 84.5 mph average exit velocity; 33.8% air-ball rate; 63.3% pull-air rate; 14.6% HR-launch rate.,0.1071,0.0559,4.31,0,0,8.0,0.0,0.0,Very recent HR,808967.0,Yoshinobu Yamamoto,R,RHB vs RHP,22,22,145.1,2.6,0.89,15,0.93,8.42,2.11,711.0,3.8,23.3,12.9,44.9,28.3,81.9,94.4,114.2,0.467,15.0,80.9,73.1,0.831,13.4,4-Seam Fastball,R,RHB vs RHP,46.1,25,0.304,0.36,0.783,1.143,3,2,6,0.12,10.3,0.88,267,0.03,3.9,0.462,0,0,0,0/0,,,,,0,0,0,59.1,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,502,4-Seam Fastball,26.49402390438247,133.0,Split-Finger,25.298804780876495,127.0,Cutter,21.314741035856574,107.0,Sinker,12.151394422310757,61.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.062,0.963,63.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,46.1,29.6,80.9,82.5,50.0,45.0,57.3,7.61,1.35,0.973,0.985,1.08,1.031,1.114,0.98,21.96,17.87,59.0,42.9,C-,Small season sample; Lineup unconfirmed,Curveball,10.159362549800797,51.0,Slider,4.581673306772909,23.0,,,
3,2026-08-21,824072,2026-08-22T00:10:00Z,Scheduled,Kauffman Stadium,Detroit Tigers @ Kansas City Royals,Away,680664,Eduardo Valencia,Detroit Tigers,Kansas City Royals,C,R,No,,21,61,59,21,6,0,6,12,17,1,1,17,0.356,0.377,0.763,1.14,8,24,23,7,2,0.304,0.0833,15,48,47,16,4,0.34,0.0833,85,69,14.2,31.8,44.3,22.2,33.5,13.7,26.7,58.1,41.7,13.0,7.1,13.0,46.5,85.3,13.3,0.749,71.4,97.6,112.4,30.5,18.3,10.7,53.2,60.1,Average,3.5,Pull Power,A,Excellent HR swing plane,60.1,Average,1.028,Good,14.5,61.1,97.7,0.718,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,10.03,4.03,Strong positive regression,Average Pull Power profile. 14.2% barrel rate; 85.3 mph average exit velocity; 26.7% air-ball rate; 58.1% pull-air rate; 13.0% HR-launch rate.,0.0984,0.0544,4.23,7,3,9.8,0.71,71.2,Recently homered,702070.0,Noah Cameron,L,RHB vs LHP,24,23,138.1,4.16,1.22,14,0.91,8.2,2.8,740.0,5.1,25.7,14.5,46.3,31.2,82.6,95.5,115.9,0.542,14.0,57.8,82.7,0.67,9.9,4-Seam Fastball,R,RHB vs LHP,48.6,28,0.357,0.357,0.893,1.25,4,0,12,0.1429,14.0,0.991,436,0.0229,4.3,0.525,0,0,0,0/0,,,,,0,0,0,52.1,Neutral Matchup,Average,50.0,5,Pitch-level Statcast · last 5 MLB games,516,Changeup,21.705426356589147,112.0,Cutter,20.930232558139537,108.0,Slider,18.6046511627907,96.0,4-Seam Fastball,17.635658914728683,91.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.016,0.976,67.9,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,48.6,38.7,57.8,77.2,50.0,45.0,57.1,7.56,1.213,0.97,1.025,1.08,1.028,1.111,1.0,21.06,16.38,60.2,40.6,D+,Small season sample; Lineup unconfirmed,Curveball,16.666666666666668,86.0,Sinker,4.457364341085271,23.0,,,
4,2026-08-21,823420,2026-08-21T22:40:00Z,Scheduled,Citizens Bank Park,St. Louis Cardinals @ Philadelphia Phillies,Home,656941,Kyle Schwarber,Philadelphia Phillies,St. Louis Cardinals,DH,L,No,,122,545,454,111,15,1,37,73,74,80,6,184,0.244,0.362,0.526,0.888,11,52,43,11,4,0.256,0.0769,23,106,83,19,4,0.229,0.0377,607,112,8.8,31.0,63.0,17.1,19.6,15.1,27.9,59.3,30.0,9.0,6.4,9.0,58.8,85.4,18.9,0.772,74.1,97.8,112.6,65.9,15.2,15.5,63.0,53.8,Average,3.0,Pull Power,A,Excellent HR swing plane,53.8,Average,1.011,Good,6.2,59.4,96.2,0.67,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,48.51,11.51,Strong positive regression,Average Pull Power profile. 8.8% barrel rate; 85.4 mph average exit velocity; 27.9% air-ball rate; 59.3% pull-air rate; 9.0% HR-launch rate.,0.0679,0.0614,4.09,22,5,12.3,1.79,179.3,Above normal drought,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unknown,L,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.0,1.0,62.1,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,55.9,64.4,45.0,56.1,7.18,0.986,1.0,1.0,1.03,1.011,1.041,1.035,22.84,15.58,75.0,43.8,C-,Probable SP unavailable; Lineup unconfirmed,,,,,,,,,
5,2026-08-21,823830,2026-08-21T23:10:00Z,Scheduled,loanDepot park,Washington Nationals @ Miami Marlins,Away,694673,Abimelec Ortiz,Washington Nationals,Miami Marlins,1B,L,No,,17,52,50,13,2,0,5,7,9,2,0,13,0.26,0.288,0.6,0.888,11,36,35,10,4,0.286,0.1111,16,50,48,12,5,0.25,0.1,82,77,13.3,35.6,58.4,22.3,19.4,16.2,25.7,53.3,34.0,13.3,5.0,13.3,47.0,87.7,17.2,0.822,73.8,99.2,111.2,57.7,17.8,19.1,47.7,63.8,Above Average,3.5,Pull Power,A,Excellent HR swing plane,63.8,Above Average,1.039,Good,13.0,55.0,98.4,0.831,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,9.53,4.53,Strong positive regression,Above Average Pull Power profile. 13.3% barrel rate; 87.7 mph average exit velocity; 25.7% air-ball rate; 53.3% pull-air rate; 13.3% HR-launch rate.,0.0962,0.0514,4.09,10,3,10.0,1.0,100.0,Near normal interval,687473.0,Ryan Gusto,R,LHB vs RHP,16,11,53.2,4.7,1.32,8,1.34,8.22,2.35,318.0,5.7,27.0,13.8,32.3,31.1,84.8,95.6,113.3,0.537,8.0,70.3,93.1,0.748,12.3,4-Seam Fastball,L,LHB vs RHP,53.9,46,0.295,0.326,0.682,1.008,5,2,8,0.1087,14.1,0.836,138,0.0217,5.5,0.525,0,0,0,0/0,,,,,0,0,0,58.9,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,349,4-Seam Fastball,31.23209169054441,109.0,Sweeper,15.472779369627506,54.0,Cutter,13.46704871060172,47.0,Sinker,12.034383954154729,42.0,Unknown,,Unknown,,No,94.0,0.94,1.0,39.2,1.041,0.982,67.5,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,53.9,31.3,70.3,75.2,39.2,45.0,56.1,7.17,1.35,1.029,1.025,1.055,1.039,1.096,1.0,19.41,16.52,59.7,39.5,D+,Small season sample; Lineup unconfirmed,Changeup,10.02865329512894,35.0,Slider,9.455587392550143,33.0,Curveball,8.30945558739255,29.0
6,2026-08-21,823510,2026-08-21T23:05:00Z,Scheduled,Yankee Stadium,Toronto Blue Jays @ New York Yankees,Home,671277,Luis García Jr.,New York Yankees,Toronto Blue Jays,1B,L,No,,118,433,412,115,23,5,25,53,80,19,0,72,0.279,0.309,0.541,0.85,10,42,40,10,1,0.25,0.0238,23,95,90,25,4,0.278,0.0421,625,132,8.5,29.6,52.6,23.8,23.0,12.7,26.6,48.8,26.3,7.2,3.9,7.2,41.4,85.1,13.4,0.579,73.5,97.2,115.4,46.5,15.2,15.7,60.9,46.8,Below Average,3.0,Pull Power,A,Excellent HR swing plane,46.8,Below Average,0.991,Good,10.6,50.0,97.5,0.547,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,45.59,20.59,Strong positive regression,Below Average Pull Power profile. 8.5% barrel rate; 85.1 mph average exit velocity; 26.6% air-ball rate; 48.8% pull-air rate; 7.2% HR-launch rate.,0.0577,0.0522,4.09,0,0,16.5,0.0,0.0,Very recent HR,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unknown,L,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.0,1.0,59.6,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,66.3,64.4,45.0,56.0,7.13,0.846,1.0,1.0,1.03,0.991,1.021,0.98,19.67,12.07,74.6,32.8,D,Probable SP unavailable; Lineup unconfirmed,,,,,,,,,
7,2026-08-21,823830,2026-08-21T23:10:00Z,Scheduled,loanDepot park,Washington Nationals @ Miami Marlins,Home,665052,Griffin Conine,Miami Marlins,Washington Nationals,RF,L,No,,61,198,173,47,6,0,14,28,31,22,3,60,0.272,0.364,0.549,0.913,11,41,34,12,4,0.353,0.0976,25,88,76,21,7,0.276,0.0795,214,86,9.3,33.6,50.2,30.4,19.4,15.3,29.4,52.8,33.9,10.1,7.2,10.1,76.1,86.2,18.7,0.821,72.0,99.3,115.0,41.5,13.3,10.6,47.6,56.2,Average,3.0,Pull Power,A,Excellent HR swing plane,56.2,Average,1.017,Good,9.3,48.3,100.5,0.82,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,18.01,4.01,Strong positive regression,Average Pull Power profile. 9.3% barrel rate; 86.2 mph average exit velocity; 29.4% air-ball rate; 52.8% pull-air rate; 10.1% HR-launch rate.,0.0707,0.0561,4.17,4,1,12.4,0.32,32.4,Very recent HR,695418.0,Brad Lord,R,LHB vs RHP,30,3,62.1,4.04,1.25,7,1.01,8.23,3.61,414.0,3.6,22.7,8.7,34.8,28.0,81.9,94.0,115.9,0.515,7.0,75.3,99.6,0.852,9.7,4-Seam Fastball,L,LHB vs RHP,69.7,165,0.282,0.382,0.62,1.002,14,21,51,0.0848,11.0,0.891,129,0.0388,5.7,0.702,0,0,0,0/0,,,,,0,0,0,67.7,Slight Hitter Advantage,Above average,50.0,5,Pitch-level Statcast · last 5 MLB games,208,4-Seam Fastball,33.17307692307692,69.0,Sinker,27.403846153846153,57.0,Slider,25.0,52.0,Sweeper,11.538461538461538,24.0,Unknown,,Unknown,,No,94.0,0.94,1.0,39.2,1.051,0.961,71.0,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,69.7,24.0,75.3,67.7,39.2,45.0,55.7,7.04,1.238,0.987,1.025,1.03,1.017,1.048,0.98,21.4,15.4,73.2,38.8,D+,Lineup unconfirmed,Changeup,2.8846153846153846,6.0,,,,,,
8,2026-08-21,823510,2026-08-21T23:05:00Z,Scheduled,Yankee Stadium,Toronto Blue Jays @ New York Yankees,Home,700250,Ben Rice,New York Yankees,Toronto Blue Jays,DH,L,No,,122,523,455,114,20,3,34,78,80,62,4,131,0.251,0.344,0.532,0.876,11,48,43,7,3,0.163,0.0625,25,108,94,14,4,0.149,0.037,629,127,9.0,30.3,56.4,20.5,23.1,15.8,26.7,46.9,31.2,9.4,6.1,9.4,50.8,85.0,16.7,0.7,70.9,97.2,110.7,23.7,13.7,8.1,51.9,45.2,Below Average,3.0,Pull Power,A,Excellent HR swing plane,45.2,Below Average,0.987,Good,8.7,43.8,96.5,0.675,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,49.08,15.08,Strong positive regression,Below Average Pull Power profile. 9.0% barrel rate; 85.0 mph average exit velocity; 26.7% air-ball rate; 46.9% pull-air rate; 9.4% HR-launch rate.,0.065,0.0588,4.09,4,1,13.4,0.3,29.9,Very recent HR,,TBD,,Unknown,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,50.0,0.0,,,Unknown,L,Unknown,50.0,0,,,,,0,0,0,,,,0,,,,0,0,0,0/0,,,,,0,0,0,50.0,Neutral Matchup,Average,50.0,0,,0,,,,,,,,,,,,,Unknown,,Unknown,,No,108.0,1.08,1.0,64.4,1.0,1.0,57.9,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,50.0,50.0,50.0,54.0,64.4,45.0,54.4,6.61,0.947,1.0,1.0,1.03,0.987,1.016,0.98,21.97,13.69,75.0,35.8,D,Probable SP unavailable; Lineup unconfirmed,,,,,,,,,
9,2026-08-21,822857,2026-08-22T00:15:00Z,Scheduled,Globe Life Field,Los Angeles Angels @ Texas Rangers,Away,642350,Jose Siri,Los Angeles Angels,Texas Rangers,CF,R,No,,74,156,141,36,8,0,7,26,23,10,2,48,0.255,0.312,0.461,0.773,12,25,24,5,1,0.208,0.04,24,52,48,11,2,0.229,0.0385,184,61,8.4,27.6,47.5,27.2,24.6,17.3,26.5,48.0,25.4,8.2,6.2,8.2,44.2,81.8,18.7,0.755,71.4,95.4,111.5,40.9,12.4,10.8,49.0,44.2,Below Average,3.0,Pull Power,A,Excellent HR swing plane,44.2,Below Average,0.984,Good,9.8,50.0,95.9,0.849,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,12.62,5.62,Strong positive regression,Below Average Pull Power profile. 8.4% barrel rate; 81.8 mph average exit velocity; 26.5% air-ball rate; 48.0% pull-air rate; 8.2% HR-launch rate.,0.0449,0.0393,4.05,20,10,20.1,0.99,99.3,Near normal interval,669022.0,MacKenzie Gore,L,RHB vs LHP,26,26,139.2,4.45,1.26,18,1.16,9.92,3.29,807.0,5.2,23.3,12.5,42.1,28.9,81.7,94.2,115.7,0.53,18.0,70.6,100.0,0.828,8.4,4-Seam Fastball,R,RHB vs LHP,55.3,77,0.197,0.26,0.451,0.71,5,5,29,0.0649,9.3,0.89,445,0.036,5.1,0.534,8,8,1,1/8,0.125,0.125,0.125,0.25,0,0,5,55.6,Neutral Matchup,Average,30.0,5,Pitch-level Statcast · last 5 MLB games,492,4-Seam Fastball,51.6260162601626,254.0,Changeup,17.073170731707318,84.0,Slider,12.195121951219512,60.0,Curveball,10.16260162601626,50.0,Unknown,,Unknown,,No,104.0,1.04,1.0,57.2,1.041,0.977,58.5,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,55.3,34.3,70.6,61.4,57.2,45.0,53.9,6.46,1.0,1.01,1.025,1.0,0.984,0.984,1.0,14.98,10.78,67.3,29.6,F,Lineup unconfirmed,Sinker,7.723577235772358,38.0,Cutter,1.2195121951219512,6.0,,,
10,2026-08-21,823911,2026-08-22T02:10:00Z,Scheduled,UNIQLO Field at Dodger Stadium,Pittsburgh Pirates @ Los Angeles Dodgers,Away,665833,Oneil Cruz,Pittsburgh Pirates,Los Angeles Dodgers,CF,L,No,,66,290,256,68,10,0,15,46,47,31,3,101,0.266,0.352,0.48,0.832,2,7,6,2,1,0.333,0.1429,2,7,6,2,1,0.333,0.1429,293,7,10.3,34.0,48.5,26.6,23.7,13.1,26.5,48.2,29.0,8.4,5.9,8.4,55.9,84.7,12.0,0.885,75.8,99.3,118.0,65.5,14.3,13.6,39.8,55.3,Average,3.0,Pull Power,A,Excellent HR swing plane,55.3,Average,1.015,Good,14.3,50.0,82.8,1.523,Derived proxy,Derived proxy,Derived proxy,Derived proxy,,,24.81,9.81,Strong positive regression,Average Pull Power profile. 10.3% barrel rate; 84.7 mph average exit velocity; 26.5% air-ball rate; 48.2% pull-air rate; 8.4% HR-launch rate.,0.0517,0.046,4.15,3,1,17.1,0.18,17.6,Very recent HR,808967.0,Yoshinobu Yamamoto,R,LHB vs RHP,22,22,145.1,2.6,0.89,15,0.93,8.42,2.11,711.0,3.8,23.3,12.9,44.9,28.3,81.9,94.4,114.2,0.467,15.0,66.5,99.7,0.783,8.6,4-Seam Fastball,L,LHB vs RHP,48.7,206,0.247,0.35,0.472,0.821,11,26,66,0.0534,9.5,0.811,289,0.0242,3.7,0.472,3,2,1,1/2,0.5,0.667,0.5,1.167,0,1,1,55.9,Neutral Matchup,Average,53.8,5,Pitch-level Statcast · last 5 MLB games,502,4-Seam Fastball,26.49402390438247,133.0,Split-Finger,25.298804780876495,127.0,Cutter,21.314741035856574,107.0,Sinker,12.151394422310757,61.0,Unknown,,Unknown,,No,100.0,1.0,1.0,50.0,1.033,0.963,65.3,Current-Season Handedness Matchup,Pull Air %,Barrel %,Max Exit Velocity,48.7,29.6,66.5,55.4,50.0,45.0,53.5,6.34,1.0,0.973,1.025,1.0,1.015,1.015,0.98,17.73,11.37,73.3,31.2,D,Lineup unconfirmed; Limited recent games,Curveball,10.159362549800797,51.0,Slider,4.581673306772909,23.0,,,
