rank,date,game_pk,team,opp,batter_id,batter,batter_hand,batting_order,lineup_source,roster_role,lineup_confirmed,last7_starts,last7_start_rate_pct,last7_most_recent_order,starter_id,starter,starter_hand,expected_pa,starter_pa_share,bullpen_k_pa_pct,pp_goblin_line,pp_standard_line,pp_devil_line,dk_goblin_line,dk_standard_line,dk_devil_line,fd_goblin_line,fd_standard_line,fd_devil_line,dk_standard_over_odds,dk_standard_under_odds,fd_standard_over_odds,fd_standard_under_odds,proj_k,line,play,true_probability_pct,fair_odds,confidence,ai_score,l5_k_per_game,l10_k_per_game,l15_k_per_game,l5_1plus_pct,l10_1plus_pct,l15_1plus_pct,l5_2plus_pct,l10_2plus_pct,l15_2plus_pct,bvp_pa,bvp_k,bvp_k_rate_pct,bvp_k_rate_reg_pct,bvp_pitches,bvp_whiff_pct,bvp_csw_pct,bvp_chase_pct,bvp_contact_pct,bvp_zone_contact_pct,bvp_two_strike_whiff_pct,bvp_reliability,split_pa,split_k_rate_pct,sp_k_rate_pct,sp_whiff_pct,sp_csw_pct,top_pitch,top_pitch_usage_pct,top_pitch_batter_whiff_pct,arsenal_whiff_allowed_pct,arsenal_csw_allowed_pct,target_fb_velo,velo_band_width,velo_band_pitches,velo_band_swings,velo_band_whiffs,velo_band_whiff_raw_pct,velo_band_source,more_0_5_pct,less_0_5_pct,more_1_5_pct,less_1_5_pct,more_2_5_pct,less_2_5_pct,more_3_5_pct,less_3_5_pct,sim_p0_pct,sim_p1_pct,sim_p2_pct,sim_p3_pct,sim_p4plus_pct
1,2026-09-05,823904,WSH,LAD,660688,Keibert Ruiz,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,2,28.6,4.0,607192,Tyler Glasnow,R,1.15,0.78,24.9,,,,,,,,,,,,,,0.3216,1.5,LESS,97.4,-3818,68,86,0.4,0.2,0.2667,40.0,20.0,26.7,0.0,0.0,0.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,181,6.6,29.5,26.6,30.3,4-Seam,45.7,7.1,10.1,22.4,95.737,1.5,138,69,6,8.7,VELO_BAND_1.5,29.6,70.4,2.6,97.4,0.0,100.0,0.0,100.0,70.4,27.0,2.5,0.0,0.0
2,2026-09-05,822850,TB,TEX,689414,Liam Hicks,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,1,14.3,4.0,594798,Jacob deGrom,R,1.15,0.7778,22.4,,,,,,,,,,,,,,0.3316,1.5,LESS,96.9,-3164,82,90,0.6,0.5,0.5333,40.0,40.0,40.0,20.0,10.0,13.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,286,7.7,29.2,32.0,29.6,4-Seam,40.1,2.4,12.2,26.1,97.3561,1.5,167,69,2,2.9,VELO_BAND_1.5,30.1,69.9,3.1,96.9,0.0,100.0,0.0,100.0,69.9,27.0,3.1,0.0,0.0
3,2026-09-05,823904,LAD,WSH,500743,Miguel Rojas,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0.0,,676917,Cade Cavalli,R,1.15,0.78,20.1,,,,,,,,,,,,,,0.3537,1.5,LESS,96.5,-2790,70,87,0.2,0.3,0.2,20.0,20.0,13.3,0.0,10.0,6.7,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,46,8.7,28.8,23.7,29.0,4-Seam,32.5,5.3,12.7,25.2,96.3557,1.5,100,52,4,7.7,VELO_BAND_1.5,31.9,68.1,3.5,96.5,0.0,100.0,0.0,100.0,68.1,28.4,3.5,0.0,0.0
4,2026-09-05,824066,KC,TOR,686681,Michael Massey,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,3,42.9,7.0,453286,Max Scherzer,R,1.15,0.7593,23.0,,,,,,,,,,,,,,0.3672,1.5,LESS,96.5,-2722,76,88,0.0,0.1,0.6,0.0,10.0,33.3,0.0,0.0,13.3,3,0,0.0,21.1,13,40.0,30.8,37.5,60.0,100.0,0.0,0.0782,229,12.2,22.0,21.3,25.0,4-Seam,46.2,10.4,14.1,24.3,92.566,1.5,215,111,5,4.5,VELO_BAND_1.5,33.2,66.8,3.5,96.5,0.0,100.0,0.0,100.0,66.8,29.6,3.5,0.0,0.0
5,2026-09-05,823904,WSH,LAD,678391,Jorbit Vivas,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,4,57.1,9.01,607192,Tyler Glasnow,R,1.15,0.78,24.9,,,,,,,,,,,,,,0.362,1.5,LESS,96.4,-2641,69,86,0.0,0.2,0.2667,0.0,20.0,26.7,0.0,0.0,0.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,201,12.9,29.5,26.6,30.3,4-Seam,45.7,7.8,10.8,21.6,95.737,1.5,143,64,3,4.7,VELO_BAND_1.5,32.5,67.5,3.6,96.4,0.0,100.0,0.0,100.0,67.5,28.9,3.6,0.0,0.0
6,2026-09-05,823419,PHI,ATL,665561,Rafael Marchán,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,0,0.0,,527048,Martín Pérez,L,1.15,0.6111,22.8,,,,,,,,,,,,,,0.384,1.5,LESS,96.1,-2483,65,85,0.0,0.1,0.1538,0.0,10.0,15.4,0.0,0.0,0.0,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,12,16.7,18.4,21.2,27.4,Sinker,37.3,0.0,11.1,28.1,87.5344,,85,42,4,9.5,HITTER_FASTBALL_FALLBACK,34.5,65.5,3.9,96.1,0.0,100.0,0.0,100.0,65.5,30.7,3.9,0.0,0.0
7,2026-09-05,824389,DET,CLE,656716,Zach McKinstry,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,4,57.1,9.0,800048,Parker Messick,L,1.15,0.78,24.8,,,,,,,,,,,,,,0.3981,1.5,LESS,95.9,-2349,75,88,0.6,0.7,0.7333,40.0,60.0,60.0,20.0,10.0,13.3,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,66,15.2,24.3,22.9,26.3,4-Seam,42.6,7.1,12.5,24.1,93.7354,1.5,296,152,17,11.2,VELO_BAND_1.5,35.7,64.3,4.1,95.9,0.0,100.0,0.0,100.0,64.3,31.6,4.1,0.0,0.0
8,2026-09-05,824310,COL,STL,664954,Brett Sullivan,L,,ACTIVE_ROSTER,ACTIVE_BENCH,False,3,42.9,8.03,669461,Matthew Liberatore,L,1.15,0.78,20.6,,,,,,,,,,,,,,0.393,1.5,LESS,95.9,-2332,69,86,0.6,0.4,0.4667,40.0,30.0,40.0,20.0,10.0,6.7,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,36,11.1,27.2,24.3,29.2,4-Seam,29.1,8.0,12.5,24.9,93.9134,1.5,92,47,5,10.6,VELO_BAND_1.5,35.2,64.8,4.1,95.9,0.0,100.0,0.0,100.0,64.8,31.1,4.1,0.0,0.0
9,2026-09-05,824468,MIL,CIN,683734,Andrew Vaughn,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,3,42.9,5.0,671096,Andrew Abbott,L,1.15,0.78,20.6,,,,,,,,,,,,,,0.3966,1.5,LESS,95.9,-2315,76,88,0.4,0.6,0.4667,40.0,50.0,40.0,0.0,10.0,6.7,3,1,33.3,23.2,12,33.3,41.7,16.7,66.7,50.0,0.0,0.0754,112,12.5,18.6,20.3,25.8,4-Seam,43.5,8.9,17.3,26.6,92.1777,1.5,172,71,4,5.6,VELO_BAND_1.5,35.5,64.5,4.1,95.9,0.0,100.0,0.0,100.0,64.5,31.4,4.1,0.0,0.0
10,2026-09-05,824795,BOS,BAL,655316,Andruw Monasterio,R,,ACTIVE_ROSTER,ACTIVE_BENCH,False,3,42.9,2.02,605135,Chris Bassitt,R,1.15,0.78,21.0,,,,,,,,,,,,,,0.4034,1.5,LESS,95.8,-2290,73,87,0.4,0.3,0.3333,20.0,20.0,26.7,20.0,10.0,6.7,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,171,18.7,16.9,18.1,25.2,Sinker,38.0,8.8,15.1,28.9,91.5879,1.5,140,60,6,10.0,VELO_BAND_1.5,36.2,63.8,4.2,95.8,0.0,100.0,0.0,100.0,63.8,32.0,4.2,0.0,0.0
11,2026-09-05,824795,BOS,BAL,668939,Adley Rutschman,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,3,42.9,3.0,605135,Chris Bassitt,R,1.15,0.78,21.0,,,,,,,,,,,,,,0.4009,1.5,LESS,95.8,-2281,73,87,0.8,0.6,0.9333,60.0,50.0,60.0,20.0,10.0,26.7,0,0,22.5,22.5,0,11.5,28.5,28.5,75.5,82.5,11.5,0.0,177,19.2,16.9,18.1,25.2,Sinker,38.0,11.1,12.9,29.4,91.5879,1.5,131,45,3,6.7,VELO_BAND_1.5,35.9,64.1,4.2,95.8,0.0,100.0,0.0,100.0,64.1,31.7,4.2,0.0,0.0
12,2026-09-05,824795,BOS,BAL,681508,Mickey Gasper,S,,ACTIVE_ROSTER,ACTIVE_BENCH,False,3,42.9,2.0,605135,Chris Bassitt,R,1.15,0.78,21.0,,,,,,,,,,,,,,0.3956,1.5,LESS,95.7,-2241,70,87,1.0,0.5,0.4,80.0,40.0,33.3,20.0,10.0,6.7,2,0,0.0,21.5,8,0.0,12.5,0.0,100.0,100.0,11.5,0.0516,151,13.2,16.9,18.1,25.2,Sinker,38.0,9.5,13.1,27.1,91.5879,1.5,92,40,4,10.0,VELO_BAND_1.5,35.3,64.7,4.3,95.7,0.0,100.0,0.0,100.0,64.7,31.0,4.3,0.0,0.0
