player_id,player_name,team,opponent,position,depth_chart_position,status,years_exp,season,season_type,week,target_slate,game_id,game_date,home_away,projected_pat_made,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,historical_games,last_5_avg,last_10_avg,last_15_avg,season_avg,volume_last_5,preseason_usage_multiplier,opponent_adjustment,data_source,simulations,model_version,prob_0_5_plus,prob_1_plus,prob_1_5_plus,prob_2_plus,prob_2_5_plus,prob_3_plus,prob_3_5_plus,prob_4_plus,prob_4_5_plus,prob_5_plus,prob_5_5_plus,prob_6_plus,prob_6_5_plus
00-0041174,Gabriel Plascencia,CHI,CLE,K,K,ACT,0.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_CLE_CHI,,home,2.501,2.501,2.0,0.0,5.0,1.765,0,,,,,,0.92,1.15,TEAM_LEAGUE_PRIOR,100000,NFL_PAT_MADE_V1,89.3,89.3,67.82,67.82,44.06,44.06,25.29,25.29,13.06,13.06,6.21,6.21,2.69
00-0033862,Zane Gonzalez,MIA,WAS,K,K,ACT,9.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_MIA_WAS,,away,2.496,2.496,2.0,0.0,5.0,1.763,14,2.2,2.2,2.571,2.125,2.4,0.92,1.15,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,89.08,89.08,67.7,67.7,44.18,44.18,25.4,25.4,13.04,13.04,6.01,6.01,2.58
00-0041182,Drew Stevens,WAS,MIA,K,K,ACT,0.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_MIA_WAS,,home,2.378,2.378,2.0,0.0,5.0,1.716,0,,,,,,0.92,1.027,TEAM_LEAGUE_PRIOR,100000,NFL_PAT_MADE_V1,88.1,88.1,65.39,65.39,41.3,41.3,22.88,22.88,11.42,11.42,5.24,5.24,2.16
00-0039404,Will Reichard,MIN,NYG,K,K,ACT,2.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_MIN_NYG,,away,2.287,2.287,2.0,0.0,5.0,1.849,26,2.4,2.0,2.267,2.214,2.4,0.92,1.043,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,84.33,84.33,60.56,60.56,38.22,38.22,22.13,22.13,11.87,11.87,6.16,6.16,3.02
00-0038748,B.T. Potter,TB,NYJ,K,K,ACT,3.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_TB_NYJ,,away,2.26,2.26,2.0,0.0,5.0,1.681,0,,,,,,0.92,0.981,TEAM_LEAGUE_PRIOR,100000,NFL_PAT_MADE_V1,86.8,86.8,62.57,62.57,38.38,38.38,20.66,20.66,10.08,10.08,4.53,4.53,1.89
00-0040074,Tyler Loop,BAL,PHI,K,K,ACT,1.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_PHI_BAL,,home,2.219,2.219,2.0,0.0,4.0,1.656,16,3.0,2.6,2.667,2.75,3.2,0.92,0.863,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,86.35,86.35,61.81,61.81,37.55,37.55,19.94,19.94,9.45,9.45,4.13,4.13,1.65
00-0039576,Spencer Shrader,IND,NE,K,K,ACT,2.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_IND_NE,,away,2.211,2.211,2.0,0.0,4.0,1.66,8,2.8,2.875,2.875,2.8,2.8,0.92,0.895,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,86.1,86.1,61.42,61.42,37.3,37.3,19.96,19.96,9.54,9.54,4.21,4.21,1.69
00-0032569,Wil Lutz,DEN,ATL,K,K,ACT,10.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_DEN_ATL,,away,2.207,2.207,2.0,0.0,4.0,1.657,48,2.4,2.3,2.2,2.294,2.4,0.92,0.995,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,86.14,86.14,61.3,61.3,37.38,37.38,19.81,19.81,9.45,9.45,4.11,4.11,1.61
00-0039229,Charlie Smyth,NO,JAX,K,K,E14,2.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_JAX_NO,,home,2.199,2.199,2.0,0.0,4.0,1.65,5,2.6,2.6,2.6,2.6,2.6,0.92,1.031,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,86.16,86.16,61.36,61.36,36.88,36.88,19.67,19.67,9.26,9.26,4.03,4.03,1.66
00-0041333,Mason Shipley,NO,JAX,K,K,ACT,0.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_JAX_NO,,home,2.177,2.177,2.0,0.0,4.0,1.65,0,,,,,,0.92,1.031,TEAM_LEAGUE_PRIOR,100000,NFL_PAT_MADE_V1,85.62,85.62,60.63,60.63,36.6,36.6,19.25,19.25,9.12,9.12,3.93,3.93,1.6
00-0041582,Kansei Matsuzawa,LV,ARI,K,K,E14,0.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_ARI_LV,,home,2.143,2.143,2.0,0.0,4.0,1.626,0,,,,,,0.92,1.138,TEAM_LEAGUE_PRIOR,100000,NFL_PAT_MADE_V1,85.41,85.41,60.01,60.01,35.8,35.8,18.49,18.49,8.6,8.6,3.66,3.66,1.49
00-0038097,Cade York,NYJ,TB,K,K,ACT,4.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_TB_NYJ,,home,2.099,2.099,2.0,0.0,4.0,1.615,6,2.8,2.667,2.667,2.667,3.0,0.92,0.984,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,84.65,84.65,58.98,58.98,34.7,34.7,17.79,17.79,8.18,8.18,3.52,3.52,1.36
00-0035269,Matt Gay,LV,ARI,K,K,ACT,7.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_ARI_LV,,home,2.098,2.098,2.0,0.0,4.0,1.618,43,1.6,2.2,2.4,2.167,1.6,0.92,1.138,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,84.73,84.73,58.76,58.76,34.62,34.62,17.81,17.81,8.21,8.21,3.51,3.51,1.4
00-0037692,Brandon Aubrey,DAL,SEA,K,K,ACT,4.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_DAL_SEA,,away,2.085,2.085,2.0,0.0,4.0,1.612,48,2.0,2.4,3.0,2.938,2.0,0.92,0.958,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,84.38,84.38,58.64,58.64,34.29,34.29,17.65,17.65,8.06,8.06,3.42,3.42,1.36
00-0031136,Chris Boswell,PIT,GB,K,K,ACT,12.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_GB_PIT,,home,2.051,2.051,2.0,0.0,4.0,1.599,45,2.6,2.6,2.8,2.8,2.8,0.92,0.85,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,83.96,83.96,57.82,57.82,33.31,33.31,16.98,16.98,7.75,7.75,3.26,3.26,1.31
00-0040899,Trey Smack,GB,PIT,K,K,ACT,0.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_GB_PIT,,away,2.041,2.041,2.0,0.0,4.0,1.596,0,,,,,,0.92,0.884,TEAM_LEAGUE_PRIOR,100000,NFL_PAT_MADE_V1,83.94,83.94,57.35,57.35,33.14,33.14,16.82,16.82,7.7,7.7,3.22,3.22,1.26
00-0038152,Lucas Havrisik,GB,PIT,K,K,ACT,4.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_GB_PIT,,away,2.021,2.021,2.0,0.0,4.0,1.587,10,2.4,2.6,2.6,2.333,3.2,0.92,0.884,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,83.53,83.53,57.02,57.02,32.84,32.84,16.28,16.28,7.43,7.43,3.15,3.15,1.22
00-0038562,Jake Moody,WAS,MIA,K,K,ACT,3.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_MIA_WAS,,home,1.99,1.99,2.0,0.0,4.0,1.579,38,2.0,2.2,2.2,1.875,2.2,0.92,1.027,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,83.04,83.04,56.15,56.15,31.92,31.92,15.95,15.95,7.15,7.15,3.02,3.02,1.17
00-0041145,Dominic Zvada,NYG,MIN,K,K,ACT,0.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_MIN_NYG,,home,1.962,1.962,2.0,0.0,4.0,1.563,0,,,,,,0.92,0.905,TEAM_LEAGUE_PRIOR,100000,NFL_PAT_MADE_V1,82.62,82.62,55.41,55.41,31.33,31.33,15.54,15.54,6.97,6.97,2.76,2.76,1.01
00-0041262,Laith Marjan,PIT,GB,K,K,ACT,0.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_GB_PIT,,home,1.951,1.951,2.0,0.0,4.0,1.558,0,,,,,,0.92,0.85,TEAM_LEAGUE_PRIOR,100000,NFL_PAT_MADE_V1,82.63,82.63,55.02,55.02,31.01,31.01,15.31,15.31,6.81,6.81,2.78,2.78,1.07
00-0032726,Ka'imi Fairbairn,HOU,LAC,K,K,ACT,10.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_LAC_HOU,,home,1.921,1.921,2.0,0.0,4.0,1.558,40,2.4,2.4,2.067,2.154,2.4,0.92,0.915,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,81.94,81.94,54.25,54.25,30.2,30.2,14.67,14.67,6.56,6.56,2.73,2.73,1.08
00-0040530,Ben Sauls,NYG,MIN,K,K,ACT,1.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_MIN_NYG,,home,1.879,1.879,1.0,0.0,4.0,1.797,3,2.333,2.333,2.333,2.333,2.333,0.92,0.905,PLAYER_PRIOR_BLEND,100000,NFL_PAT_MADE_V1,75.53,75.53,49.0,49.0,29.18,29.18,16.46,16.46,8.85,8.85,4.54,4.54,2.36
00-0035358,Chase McLaughlin,TB,NYJ,K,K,ACT,7.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_TB_NYJ,,away,1.869,1.869,2.0,0.0,4.0,1.53,47,1.8,1.8,2.0,2.0,1.8,0.92,0.981,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,81.0,81.0,53.04,53.04,29.13,29.13,13.92,13.92,6.02,6.02,2.35,2.35,0.92
00-0038428,Andre Szmyt,CLE,CHI,K,K,ACT,3.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_CLE_CHI,,away,1.855,1.855,2.0,0.0,4.0,1.517,14,2.0,2.0,1.786,1.786,2.0,0.92,1.045,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,80.98,80.98,52.6,52.6,28.81,28.81,13.67,13.67,5.89,5.89,2.27,2.27,0.85
00-0035192,Joey Slye,TEN,SF,K,K,ACT,7.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_TEN_SF,,away,1.838,1.838,2.0,0.0,4.0,1.518,44,2.6,2.2,1.933,2.0,2.6,0.92,0.918,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,80.58,80.58,52.01,52.01,28.38,28.38,13.48,13.48,5.79,5.79,2.31,2.31,0.87
00-0033787,Jake Elliott,PHI,BAL,K,K,ACT,9.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_PHI_BAL,,away,1.818,1.818,1.0,0.0,4.0,1.644,51,2.2,2.1,2.4,2.412,2.2,0.92,0.85,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,77.14,77.14,49.43,49.43,27.97,27.97,14.63,14.63,7.01,7.01,3.24,3.24,1.43
00-0034794,Jason Sanders,NYJ,TB,K,K,ACT,8.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_TB_NYJ,,home,1.788,1.788,1.0,0.0,4.0,1.752,30,1.2,2.2,1.933,2.0,1.6,0.92,0.984,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,73.96,73.96,46.83,46.83,27.18,27.18,15.04,15.04,7.92,7.92,4.1,4.1,2.03
00-0037224,Cameron Dicker,LAC,HOU,K,K,ACT,4.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_LAC_HOU,,away,1.785,1.785,2.0,0.0,4.0,1.492,44,2.2,2.5,2.267,2.267,2.4,0.92,0.85,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,79.76,79.76,50.73,50.73,26.91,26.91,12.59,12.59,5.35,5.35,2.07,2.07,0.78
00-0033303,Harrison Butker,KC,LAR,K,K,ACT,9.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_LAR_KC,,home,1.757,1.757,1.0,0.0,4.0,1.583,42,1.6,2.4,2.2,2.214,1.8,0.92,0.922,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,76.68,76.68,48.47,48.47,26.63,26.63,13.21,13.21,6.13,6.13,2.67,2.67,1.16
00-0038905,Blake Grupe,IND,NE,K,K,ACT,3.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_IND_NE,,away,1.562,1.562,1.0,0.0,3.0,1.395,42,2.0,1.7,1.667,1.667,2.0,0.92,0.895,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,75.24,75.24,44.25,44.25,21.74,21.74,9.38,9.38,3.6,3.6,1.32,1.32,0.46
00-0040279,Ryan Fitzgerald,CAR,BUF,K,K,ACT,1.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_CAR_BUF,,away,1.522,1.522,1.0,0.0,3.0,1.38,16,2.2,1.5,1.733,1.688,2.2,0.92,0.891,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,74.27,74.27,42.93,42.93,20.86,20.86,9.05,9.05,3.4,3.4,1.18,1.18,0.4
00-0025565,Nick Folk,ATL,DEN,K,K,ACT,19.0,2026,PRE,1,2026 PRE W1,2026_PRE_W1_DEN_ATL,,home,1.521,1.521,1.0,0.0,3.0,1.374,38,1.6,1.9,1.933,1.833,1.6,0.92,0.926,PLAYER_HISTORY,100000,NFL_PAT_MADE_V1,74.39,74.39,43.1,43.1,20.68,20.68,8.77,8.77,3.34,3.34,1.19,1.19,0.4
