Top 30 Rank,Overall Rank,Date,Player,Team,Opponent,Game,Side,Position,Analytical Projected FS,Projected FS,Sim Mean,Sim Median,Historical FS Std,Target FS Std,Raw Sim Std,Volatility-Calibrated Sim Std,Volatility Multiplier,Last 5 Avg FS,Last 10 Avg FS,Last 15 Avg FS,Last 5 Fantasy Scores,Last 10 Fantasy Scores,Last 15 Fantasy Scores,P Over 2.5 FS %,P Over 3.0 FS %,P Over 3.5 FS %,P Over 4.0 FS %,P Over 4.5 FS %,P Over 5.0 FS %,P Over 5.5 FS %,P Over 6.0 FS %,P Over 6.5 FS %,P Over 7.0 FS %,P Over 7.5 FS %,P Over 8.0 FS %,P Over 8.5 FS %,P Over 9.0 FS %,P Over 9.5 FS %,P Over 10.0 FS %,P Over 10.5 FS %,P Over 11.0 FS %,P Over 11.5 FS %,P Over 12.0 FS %,P Over 12.5 FS %,P Over 13.0 FS %,P Over 13.5 FS %,P Over 14.0 FS %,P Over 14.5 FS %,P Over 15.0 FS %,P Over 15.5 FS %,AI Score,Grade,Suggested Lean,Recommended Direction,Recommended Line,Recommended Probability %,Projection Edge,Even-Money EV %,Recommendation Strength,Lineup Spot,Lineup Source,Today Lineup Spot,Last 7 Mode Spot,Starts in Last 7,Last 7 Lineup Spots,Lineup Consistency %,Start Probability %,Expected PA,Rest/Usage Note,Recent Start Guess 14,Usage Factor,Opp Pitcher,Opp Pitcher Hand,Pitcher ERA,Pitcher WHIP,Pitcher H/BF,Pitcher HR/BF,Pitcher BB/BF,Bullpen ERA,Bullpen WHIP,Bullpen H/BF,Bullpen HR/BF,Venue,Park Factor,Weather Factor,Temp F,Wind MPH,Wind Direction,Precip %,Weather Note,PA,AB,AVG,OBP,SLG,OPS,Hand Split PA,Hand Split OPS,Season H,Season 2B,Season 3B,Season HR,Season R,Season RBI,Season BB,Season HBP,Season SB,Last 5 Fantasy Score Details,Last 10 Fantasy Score Details,Last 15 Fantasy Score Details,Recent FS Games Available,Historical Volatility Games,Historical FS Mean,Historical FS Median,Volatility Source,Last 7 FS/G,Last 14 FS/G,Last 14 AVG,14-Game Batter Status,Last 30 FS/G,Last 14 FS/PA,Last 14 Hit Rate,Last 14 XBH Rate,Last 14 HR Rate,Last 14 BB Rate,Last 14 SB Rate,Season Projected FS,Last 30 Projected FS,Last 14 Projected FS,Last 7 Projected FS,Hand Split Projected FS,Season Weight %,Last 30 Weight %,Last 14 Weight %,Last 7 Weight %,Hand Split Weight %,Model Version,Starter Expected BF,Starter Exposure %,Bullpen Exposure %,Starter Workload Source,Opener Risk,Recent Contact Reliability %,Recent Power Reliability %,Hand Split Reliability %,Statcast Reliability %,Pitch Location Matchup Factor,Pitch Location Samples,Pitcher Velo Trend,V6 Park Walk Factor,V6 Park Run Factor,V6 Weather HR Factor,V6 Weather Confidence,Statcast Samples,Avg Exit Velo,Hard Hit %,Barrel %,Sweet Spot %,Statcast xwOBA,Statcast Quality Factor,Elite Single Floor Boost,Walk Floor Boost,Run Scoring Boost,Pitch-Type Matchup Factor,Pitch-Type Samples,Pitch-Type Data Source,Release/Movement Matchup Factor,Release/Movement Samples,Release/Movement Source,Contact Quality Samples,Contact EV Mean,Contact EV Std,Contact LA Mean,Contact LA Std,Pull %,Center %,Oppo %,Directional Weather Factor,Park Single Factor,Park Double Factor,Park Triple Factor,Park HR Factor,EWMA Form Factor,EWMA Fantasy Score,EWMA Trend,Umpire,Umpire Source,Umpire Run Factor,Umpire BB Factor,Umpire K Factor,Defense Factor,Outfield Defense Factor,Infield Defense Factor,Defense Source,Bullpen Fatigue Factor,Bullpen Recent Games,Bullpen Recent Innings Proxy,Running Matchup Factor,Sprint Speed,Matchup DNA Factor,Single Rate,Double Rate,Triple Rate,HR Rate,BB Rate,HBP Rate,K Rate Model,Groundout Share,Flyout Share,Lineout Share,Run Rate Model,RBI Rate Model,SB Rate,_run_scoring_boost,Confirmed Starter,Sim Std,P25,P75,P90,Simulated PA,Zero PA Probability %,Probability Calibration,Raw P Over 2.5 FS %,Raw P Over 3.0 FS %,Raw P Over 3.5 FS %,Raw P Over 4.0 FS %,Raw P Over 4.5 FS %,Raw P Over 5.0 FS %,Raw P Over 5.5 FS %,Raw P Over 6.0 FS %,Raw P Over 6.5 FS %,Raw P Over 7.0 FS %,Raw P Over 7.5 FS %,Raw P Over 8.0 FS %,Raw P Over 8.5 FS %,Raw P Over 9.0 FS %,Raw P Over 9.5 FS %,Raw P Over 10.0 FS %,Raw P Over 10.5 FS %,Raw P Over 11.0 FS %,Raw P Over 11.5 FS %,Raw P Over 12.0 FS %,Raw P Over 12.5 FS %,Raw P Over 13.0 FS %,Raw P Over 13.5 FS %,Raw P Over 14.0 FS %,Raw P Over 14.5 FS %,Raw P Over 15.0 FS %,Raw P Over 15.5 FS %,Floor Uplift 2.5 FS,Floor Uplift 3.0 FS,Floor Uplift 3.5 FS,Floor Uplift 4.0 FS,Floor Uplift 4.5 FS,Floor Uplift 5.0 FS,Floor Uplift 5.5 FS,Floor Uplift 6.0 FS,Floor Uplift 6.5 FS,Floor Uplift 7.0 FS,Floor Uplift 7.5 FS,Floor Uplift 8.0 FS,Floor Uplift 8.5 FS,Floor Uplift 9.0 FS,Floor Uplift 9.5 FS,Floor Uplift 10.0 FS,Floor Uplift 10.5 FS,Floor Uplift 11.0 FS,Floor Uplift 11.5 FS,Floor Uplift 12.0 FS,Floor Uplift 12.5 FS,Floor Uplift 13.0 FS,Floor Uplift 13.5 FS,Floor Uplift 14.0 FS,Floor Uplift 14.5 FS,Floor Uplift 15.0 FS,Floor Uplift 15.5 FS,Confidence,Full Game Projected FS
1,1,2026-08-16,Alec Burleson,STL,CHC,STL @ CHC,AWAY,1B,13.19,12.37,12.37,10.66,6.63,6.4,8.92,6.42,0.72,12.2,9.2,11.0,22|0|18|3|18,22|0|18|3|18|18|4|2|5|2,22|0|18|3|18|18|4|2|5|2|48|5|8|7|5,99.5,99.5,96.9,96.8,96.6,93.2,93.0,87.7,85.3,84.9,76.6,71.2,70.2,63.9,58.4,54.0,54.0,48.6,45.4,45.4,41.3,39.0,39.0,34.5,32.6,28.8,28.8,296.04,A+,MORE 9.5 | 58.4% | Edge +2.9,MORE,9.5,58.4,2.87,16.8,Playable,3,Last 7 Confirmed,,3,7,4-3-3-4-3-3-4,57.1,97.0,4.92,Regular,13,1.04,Edward Cabrera,R,5.1,1.4,0.233,0.0453,0.0939,4.1,1.25,0.2206,0.0404,Wrigley Field,1.03,1.03,83.5,7.4,277.0,3.0,warm,516,463,0.285,0.353,0.484,0.837,359,0.977,132,30,1,20,68,86,45,5,3,2026-08-15 @ Chicago Cubs: 22 FS|2026-08-14 @ Chicago Cubs: 0 FS|2026-08-12 vs Philadelphia Phillies: 18 FS|2026-08-11 vs Philadelphia Phillies: 3 FS|2026-08-10 vs Philadelphia Phillies: 18 FS,2026-08-15 @ Chicago Cubs: 22 FS|2026-08-14 @ Chicago Cubs: 0 FS|2026-08-12 vs Philadelphia Phillies: 18 FS|2026-08-11 vs Philadelphia Phillies: 3 FS|2026-08-10 vs Philadelphia Phillies: 18 FS|2026-08-09 vs Colorado Rockies: 18 FS|2026-08-08 vs Colorado Rockies: 4 FS|2026-08-07 vs Colorado Rockies: 2 FS|2026-08-05 @ New York Yankees: 5 FS|2026-08-04 @ New York Yankees: 2 FS,2026-08-15 @ Chicago Cubs: 22 FS|2026-08-14 @ Chicago Cubs: 0 FS|2026-08-12 vs Philadelphia Phillies: 18 FS|2026-08-11 vs Philadelphia Phillies: 3 FS|2026-08-10 vs Philadelphia Phillies: 18 FS|2026-08-09 vs Colorado Rockies: 18 FS|2026-08-08 vs Colorado Rockies: 4 FS|2026-08-07 vs Colorado Rockies: 2 FS|2026-08-05 @ New York Yankees: 5 FS|2026-08-04 @ New York Yankees: 2 FS|2026-08-03 @ New York Yankees: 48 FS|2026-08-02 @ Toronto Blue Jays: 5 FS|2026-08-01 @ Toronto Blue Jays: 8 FS|2026-07-31 @ Toronto Blue Jays: 7 FS|2026-07-30 vs Chicago Cubs: 5 FS,15,30,8.8,6.0,Last 30 games + shrinkage,11.86,11.43,0.312,Hot,8.8,2.759,0.2586,0.1552,0.0862,0.1552,0.0,12.61,12.82,13.25,12.75,12.23,28.0,16.0,20.0,16.0,20.0,6.0,20.04,58.9,41.1,Recent workload,No,50.3,38.6,67.9,74.6,1.15,139,2.58,1.0,1.0,1.0,75.0,323,86.97,34.37,1.55,34.37,0.423,1.02,1.0,1.0,1.0,1.0431,608,Statcast,1.1256,69,Statcast,323,86.97,12.0,15.65,30.74,9.0,65.6,25.4,1.0027,1.0086,1.0345,1.0173,1.0604,1.0224,10.67,1.87,Unknown/neutral,Neutral fallback,1.0,1.0,1.0,1.0,1.0,1.0,Neutral fallback,1.072,3,27.0,0.8625,27.0,1.0,0.2151,0.0947,0.0021,0.0745,0.1146,0.013,0.18,0.4762,0.245,0.2788,0.0665,0.2058,0.0001,1.0,Projected,6.42,7.06,16.42,20.74,4.34,0.0,Raw,100.0,100.0,95.1,95.1,95.1,91.0,91.0,84.6,82.2,82.2,74.1,70.2,70.2,63.9,58.4,54.0,54.0,48.6,45.4,45.4,41.3,39.0,39.0,34.5,32.6,28.8,28.8,0.0,0.0,1.8,1.7,1.5,2.2,2.0,3.1,3.1,2.7,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,
2,2,2026-08-16,Jac Caglianone,KC,LAA,KC @ LAA,AWAY,RF,12.5,11.46,11.46,9.48,8.08,7.37,9.17,7.37,0.804,16.2,14.4,13.27,8|30|5|17|21,8|30|5|17|21|3|42|8|7|3,8|30|5|17|21|3|42|8|7|3|15|5|16|0|19,94.6,94.6,94.4,91.6,91.0,83.8,81.2,80.7,71.0,70.5,66.3,59.1,58.1,53.0,49.3,49.3,44.2,44.2,41.5,37.9,37.9,35.6,35.6,31.3,29.5,29.5,26.0,285.07,A+,MORE 8.5 | 58.1% | Edge +3.0,MORE,8.5,58.1,2.96,16.2,Playable,3,Last 7 Confirmed,,3,7,3-3-3-3-3-3-3,100.0,97.0,4.92,Regular,14,1.04,Ryan Johnson,R,6.71,1.56,0.2369,0.0562,0.1084,4.42,1.36,0.203,0.028,Angel Stadium,1.0,1.03,84.9,7.5,247.0,1.0,warm,446,413,0.274,0.325,0.494,0.819,310,0.854,113,21,2,22,56,58,28,4,6,2026-08-15 @ Los Angeles Angels: 8 FS|2026-08-14 @ Los Angeles Angels: 30 FS|2026-08-12 @ Los Angeles Dodgers: 5 FS|2026-08-11 @ Los Angeles Dodgers: 17 FS|2026-08-10 @ Los Angeles Dodgers: 21 FS,2026-08-15 @ Los Angeles Angels: 8 FS|2026-08-14 @ Los Angeles Angels: 30 FS|2026-08-12 @ Los Angeles Dodgers: 5 FS|2026-08-11 @ Los Angeles Dodgers: 17 FS|2026-08-10 @ Los Angeles Dodgers: 21 FS|2026-08-09 vs Chicago Cubs: 3 FS|2026-08-08 vs Chicago Cubs: 42 FS|2026-08-07 vs Chicago Cubs: 8 FS|2026-08-06 vs Minnesota Twins: 7 FS|2026-08-05 vs Minnesota Twins: 3 FS,2026-08-15 @ Los Angeles Angels: 8 FS|2026-08-14 @ Los Angeles Angels: 30 FS|2026-08-12 @ Los Angeles Dodgers: 5 FS|2026-08-11 @ Los Angeles Dodgers: 17 FS|2026-08-10 @ Los Angeles Dodgers: 21 FS|2026-08-09 vs Chicago Cubs: 3 FS|2026-08-08 vs Chicago Cubs: 42 FS|2026-08-07 vs Chicago Cubs: 8 FS|2026-08-06 vs Minnesota Twins: 7 FS|2026-08-05 vs Minnesota Twins: 3 FS|2026-08-04 vs Minnesota Twins: 15 FS|2026-08-02 @ Colorado Rockies: 5 FS|2026-08-01 @ Colorado Rockies: 16 FS|2026-07-31 @ Colorado Rockies: 0 FS|2026-07-30 @ Minnesota Twins: 19 FS,15,30,9.37,7.0,Last 30 games + shrinkage,18.0,12.86,0.4,Hot,9.37,3.214,0.3929,0.1607,0.0893,0.0179,0.0536,11.78,12.79,13.66,13.94,10.81,28.0,16.0,20.0,16.0,20.0,6.0,18.81,55.3,44.7,Recent workload,No,48.0,36.5,64.6,71.1,0.9742,59,4.42,1.0,1.0,1.0,75.0,270,86.46,34.81,1.85,25.93,0.455,1.0421,1.0,1.0,1.0,0.993,276,Statcast,1.14,25,Statcast,270,86.46,12.0,9.4,32.36,9.3,59.6,31.1,1.0163,1.0046,1.0334,1.0092,1.0474,1.0417,12.84,3.47,Unknown/neutral,Neutral fallback,1.0,1.0,1.0,1.0,1.0,1.0,Neutral fallback,1.072,3,27.0,1.0949,27.0,1.0,0.211,0.0707,0.005,0.0707,0.0799,0.003,0.2374,0.5532,0.234,0.2128,0.0605,0.2189,0.0167,1.0,Projected,7.37,6.27,15.91,21.54,4.37,0.0,Raw,91.0,91.0,91.0,87.1,87.1,78.8,76.7,76.7,67.5,67.5,63.8,58.1,58.1,53.0,49.3,49.3,44.2,44.2,41.5,37.9,37.9,35.6,35.6,31.3,29.5,29.5,26.0,3.6,3.6,3.4,4.5,3.9,5.0,4.5,4.0,3.5,3.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,
3,3,2026-08-16,Pete Alonso,BAL,TB,BAL @ TB,AWAY,1B,11.46,11.09,11.09,9.49,7.3,6.84,8.91,6.84,0.768,13.0,11.6,10.13,20|6|10|24|5,20|6|10|24|5|41|5|0|5|0,20|6|10|24|5|41|5|0|5|0|7|3|0|23|3,99.5,95.1,94.9,94.7,90.3,83.4,82.9,78.5,69.4,68.9,64.5,55.9,54.9,50.1,46.2,46.2,42.0,42.0,39.4,36.7,36.7,35.0,30.6,30.6,29.4,25.6,25.6,272.47,A+,MORE 7.5 | 64.5% | Edge +3.6,MORE,7.5,64.5,3.59,29.0,Good,2,Last 7 Confirmed,,2,7,2-1-2-2-2-2-2,85.7,97.0,5.02,Regular,13,1.04,Freddy Peralta,R,5.33,1.5,0.2432,0.036,0.0901,3.71,1.15,0.2089,0.0339,Tropicana Field,1.0,1.0,,,,,Indoor/retractable neutral,534,462,0.264,0.356,0.487,0.843,378,0.876,122,22,0,27,75,78,61,7,5,2026-08-15 @ Tampa Bay Rays: 20 FS|2026-08-14 @ Tampa Bay Rays: 6 FS|2026-08-12 @ Minnesota Twins: 10 FS|2026-08-11 @ Minnesota Twins: 24 FS|2026-08-10 @ Minnesota Twins: 5 FS,2026-08-15 @ Tampa Bay Rays: 20 FS|2026-08-14 @ Tampa Bay Rays: 6 FS|2026-08-12 @ Minnesota Twins: 10 FS|2026-08-11 @ Minnesota Twins: 24 FS|2026-08-10 @ Minnesota Twins: 5 FS|2026-08-09 @ Texas Rangers: 41 FS|2026-08-08 @ Texas Rangers: 5 FS|2026-08-07 @ Texas Rangers: 0 FS|2026-08-06 vs Los Angeles Angels: 5 FS|2026-08-05 vs Los Angeles Angels: 0 FS,2026-08-15 @ Tampa Bay Rays: 20 FS|2026-08-14 @ Tampa Bay Rays: 6 FS|2026-08-12 @ Minnesota Twins: 10 FS|2026-08-11 @ Minnesota Twins: 24 FS|2026-08-10 @ Minnesota Twins: 5 FS|2026-08-09 @ Texas Rangers: 41 FS|2026-08-08 @ Texas Rangers: 5 FS|2026-08-07 @ Texas Rangers: 0 FS|2026-08-06 vs Los Angeles Angels: 5 FS|2026-08-05 vs Los Angeles Angels: 0 FS|2026-08-04 vs Los Angeles Angels: 7 FS|2026-08-02 vs Philadelphia Phillies: 3 FS|2026-08-01 vs Philadelphia Phillies: 0 FS|2026-07-31 vs Philadelphia Phillies: 23 FS|2026-07-29 @ Detroit Tigers: 3 FS,15,30,9.63,7.0,Last 30 games + shrinkage,15.86,10.64,0.385,Hot,9.63,2.569,0.3448,0.1034,0.0862,0.0862,0.0,11.16,11.45,11.83,12.46,10.15,28.0,16.0,20.0,16.0,20.0,6.0,21.79,64.1,35.9,Recent workload,No,51.1,39.3,69.0,71.5,0.995,156,1.67,1.0,1.0,1.0,100.0,276,85.26,29.35,2.17,35.14,0.518,1.0611,1.0,1.0,1.0,1.0138,595,Statcast,1.0,11,Fallback,276,85.26,12.0,21.66,29.2,13.4,72.8,13.8,1.0,1.0066,1.0242,1.0132,1.0441,1.0216,11.43,1.8,Unknown/neutral,Neutral fallback,1.0,1.0,1.0,1.0,1.0,1.0,Neutral fallback,1.072,3,27.0,0.9661,27.0,1.0,0.188,0.0507,0.0001,0.0747,0.1152,0.0172,0.2332,0.3717,0.3363,0.2921,0.0572,0.1559,0.0051,1.0,Projected,6.84,5.65,15.63,20.24,4.45,0.0,Raw,100.0,91.9,91.9,91.9,86.2,78.4,78.4,74.5,65.9,65.9,62.0,54.9,54.9,50.1,46.2,46.2,42.0,42.0,39.4,36.7,36.7,35.0,30.6,30.6,29.4,25.6,25.6,0.0,3.2,3.0,2.8,4.1,5.0,4.5,4.0,3.5,3.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,
4,4,2026-08-16,Francisco Lindor,NYM,WSH,WSH @ NYM,HOME,SS,10.99,11.05,11.05,9.22,9.06,8.05,9.03,8.05,0.891,11.8,11.2,9.93,12|16|0|5|26,12|16|0|5|26|11|3|16|21|2,12|16|0|5|26|11|3|16|21|2|0|5|6|19|7,94.5,90.5,90.1,84.4,83.4,78.4,77.9,68.8,68.3,64.0,57.2,55.7,50.0,50.0,46.1,46.1,42.2,42.2,39.7,36.9,36.9,35.3,35.3,30.9,30.9,29.6,25.9,267.25,A+,MORE 7.0 | 64.0% | Edge +4.1,MORE,7.0,64.0,4.05,28.0,Good,2,Last 7 Confirmed,,2,7,2-2-2-2-2-2-2,100.0,97.0,4.94,Regular,13,1.04,Jake Irvin,R,5.79,1.32,0.2028,0.0385,0.0979,4.73,1.39,0.2274,0.036,Citi Field,1.0,1.04,81.7,11.0,160.0,1.0,"warm, light wind",292,258,0.244,0.332,0.442,0.774,204,0.791,63,7,4,12,38,32,31,3,3,2026-08-15 vs Washington Nationals: 12 FS|2026-08-14 vs Washington Nationals: 16 FS|2026-08-12 @ Atlanta Braves: 0 FS|2026-08-11 @ Atlanta Braves: 5 FS|2026-08-10 @ Atlanta Braves: 26 FS,2026-08-15 vs Washington Nationals: 12 FS|2026-08-14 vs Washington Nationals: 16 FS|2026-08-12 @ Atlanta Braves: 0 FS|2026-08-11 @ Atlanta Braves: 5 FS|2026-08-10 @ Atlanta Braves: 26 FS|2026-08-09 @ Pittsburgh Pirates: 11 FS|2026-08-08 @ Pittsburgh Pirates: 3 FS|2026-08-07 @ Pittsburgh Pirates: 16 FS|2026-08-06 @ Cleveland Guardians: 21 FS|2026-08-05 @ Cleveland Guardians: 2 FS,2026-08-15 vs Washington Nationals: 12 FS|2026-08-14 vs Washington Nationals: 16 FS|2026-08-12 @ Atlanta Braves: 0 FS|2026-08-11 @ Atlanta Braves: 5 FS|2026-08-10 @ Atlanta Braves: 26 FS|2026-08-09 @ Pittsburgh Pirates: 11 FS|2026-08-08 @ Pittsburgh Pirates: 3 FS|2026-08-07 @ Pittsburgh Pirates: 16 FS|2026-08-06 @ Cleveland Guardians: 21 FS|2026-08-05 @ Cleveland Guardians: 2 FS|2026-08-04 @ Cleveland Guardians: 0 FS|2026-08-02 vs Miami Marlins: 5 FS|2026-08-01 vs Miami Marlins: 6 FS|2026-07-31 vs Miami Marlins: 19 FS|2026-07-30 vs Miami Marlins: 7 FS,15,30,9.57,5.0,Last 30 games + shrinkage,10.43,10.14,0.309,Hot,9.57,2.254,0.2698,0.0952,0.0635,0.1111,0.0159,11.01,12.01,11.93,11.82,10.01,28.0,16.0,20.0,16.0,20.0,6.0,18.54,54.5,45.5,Recent workload,No,51.8,40.0,54.5,69.1,1.15,131,-3.37,1.0,1.0,1.0,75.0,246,85.11,33.74,2.03,29.27,0.408,0.9882,1.0,1.0,1.0,1.0337,557,Statcast,1.129,46,Statcast,246,85.11,12.0,21.29,32.03,15.0,64.2,20.7,1.0461,1.006,1.0692,1.012,1.0881,1.0088,10.3,0.74,Unknown/neutral,Neutral fallback,1.0,1.0,1.0,1.0,1.0,1.0,Neutral fallback,1.072,3,27.0,1.0793,27.0,1.0,0.1694,0.0397,0.0112,0.0706,0.1216,0.0136,0.1985,0.3419,0.3846,0.2735,0.0789,0.1344,0.0048,1.0,Projected,8.05,4.77,16.35,21.7,4.49,0.0,Raw,90.8,84.2,84.2,77.4,77.4,73.4,73.4,64.8,64.8,61.0,54.7,54.7,50.0,50.0,46.1,46.1,42.2,42.2,39.7,36.9,36.9,35.3,35.3,30.9,30.9,29.6,25.9,3.7,6.3,5.9,7.0,6.0,5.0,4.5,4.0,3.5,3.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium,
5,5,2026-08-16,Griffin Conine,MIA,CIN,MIA @ CIN,AWAY,RF,11.43,11.19,11.19,9.53,7.63,7.06,9.32,7.06,0.757,8.8,8.9,7.8,7|0|3|29|5,7|0|3|29|5|32|8|0|5|0,7|0|3|29|5|32|8|0|5|0|2|0|19|7|0,99.5,94.4,94.1,93.9,89.2,82.7,82.2,77.6,77.1,67.9,63.8,62.3,54.5,50.4,50.4,46.3,42.1,42.1,39.5,36.6,36.6,35.0,30.7,30.7,29.6,26.0,26.0,264.77,A+,MORE 8.0 | 62.3% | Edge +3.2,MORE,8.0,62.3,3.19,24.6,Good,4,Last 7 Confirmed,,4,7,4-4-4-3-3-4-5,57.1,97.0,4.73,Regular,13,1.04,Nick Lodolo,L,4.86,1.46,0.2357,0.0404,0.0909,4.5,1.4,0.2143,0.0322,Great American Ball Park,1.08,1.03,82.4,4.9,265.0,23.0,warm,185,161,0.273,0.368,0.553,0.921,29,0.498,44,6,0,13,26,28,21,3,2,2026-08-15 @ Cincinnati Reds: 7 FS|2026-08-14 @ Cincinnati Reds: 0 FS|2026-08-13 vs Pittsburgh Pirates: 3 FS|2026-08-12 vs Pittsburgh Pirates: 29 FS|2026-08-11 vs Pittsburgh Pirates: 5 FS,2026-08-15 @ Cincinnati Reds: 7 FS|2026-08-14 @ Cincinnati Reds: 0 FS|2026-08-13 vs Pittsburgh Pirates: 3 FS|2026-08-12 vs Pittsburgh Pirates: 29 FS|2026-08-11 vs Pittsburgh Pirates: 5 FS|2026-08-09 vs Los Angeles Angels: 32 FS|2026-08-08 vs Los Angeles Angels: 8 FS|2026-08-07 vs Los Angeles Angels: 0 FS|2026-08-06 @ Atlanta Braves: 5 FS|2026-08-05 @ Atlanta Braves: 0 FS,2026-08-15 @ Cincinnati Reds: 7 FS|2026-08-14 @ Cincinnati Reds: 0 FS|2026-08-13 vs Pittsburgh Pirates: 3 FS|2026-08-12 vs Pittsburgh Pirates: 29 FS|2026-08-11 vs Pittsburgh Pirates: 5 FS|2026-08-09 vs Los Angeles Angels: 32 FS|2026-08-08 vs Los Angeles Angels: 8 FS|2026-08-07 vs Los Angeles Angels: 0 FS|2026-08-06 @ Atlanta Braves: 5 FS|2026-08-05 @ Atlanta Braves: 0 FS|2026-08-04 @ Atlanta Braves: 2 FS|2026-08-02 @ New York Mets: 0 FS|2026-08-01 @ New York Mets: 19 FS|2026-07-31 @ New York Mets: 7 FS|2026-07-30 @ New York Mets: 0 FS,15,30,7.6,4.5,Last 30 games + shrinkage,12.0,8.36,0.289,Neutral,7.6,2.167,0.2407,0.0926,0.0741,0.1481,0.0,11.79,11.68,11.62,12.26,10.2,28.0,16.0,20.0,16.0,20.0,6.0,21.2,62.4,37.6,Recent workload,No,45.6,34.2,14.6,60.7,1.15,88,0.58,1.0,1.0,1.0,75.0,170,84.99,31.18,1.18,31.18,0.511,1.0499,1.0,1.0,1.0,1.0499,360,Statcast,1.0,8,Fallback,170,84.99,12.0,16.0,35.0,8.2,66.5,25.3,1.0061,1.0035,1.0596,0.9264,1.1425,1.0095,8.39,0.79,Unknown/neutral,Neutral fallback,1.0,1.0,1.0,1.0,1.0,1.0,Neutral fallback,1.072,3,27.0,0.9579,27.0,1.0,0.185,0.0382,0.0016,0.0779,0.1105,0.018,0.2612,0.4501,0.275,0.275,0.1276,0.1687,0.0055,1.0,Projected,7.06,5.74,15.59,20.89,4.36,0.0,Raw,100.0,90.6,90.6,90.6,84.6,77.7,77.7,73.6,73.6,64.9,61.3,61.3,54.5,50.4,50.4,46.3,42.1,42.1,39.5,36.6,36.6,35.0,30.7,30.7,29.6,26.0,26.0,0.0,3.8,3.5,3.3,4.6,5.0,4.5,4.0,3.5,3.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High,
